ml;pH;sec;dpH/dml
0.000;2.579;2.090000;5.517836
0.024;2.581;4.563000;6.606703
0.048;2.584;7.039000;8.225474
0.072;2.588;9.510000;12.712562
0.096;2.595;11.983000;14.565515
0.120;2.600;14.455000;10.377567
0.144;2.604;16.925000;10.517735
0.168;2.609;19.396000;14.615087
0.192;2.616;21.868000;15.172341
0.216;2.621;24.339000;11.487800
0.240;2.625;26.811000;10.375002
0.264;2.630;29.284000;12.050182
0.288;2.635;31.758000;13.469811
0.312;2.641;34.232000;15.448403
0.336;2.648;36.703000;14.986874
0.360;2.654;39.173000;11.024562
0.384;2.657;41.643000;10.623715
0.408;2.662;44.114000;15.994546
0.432;2.670;46.585000;16.163773
0.456;2.676;49.060000;11.312590
0.480;2.680;51.531000;10.261330
0.504;2.684;54.002000;14.635599
0.528;2.692;56.472000;15.978307
0.552;2.698;58.945000;11.342504
0.576;2.701;61.416000;10.140819
0.600;2.706;63.889000;13.120246
0.624;2.712;66.362000;15.081744
0.648;2.718;68.833000;13.963818
0.672;2.724;71.305000;11.385238
0.696;2.728;73.775000;13.731344
0.720;2.735;76.246000;15.619340
0.744;2.741;78.717000;12.000610
0.768;2.745;81.189000;10.457907
0.792;2.750;83.662000;13.460410
0.816;2.756;86.134000;15.725321
0.840;2.763;88.607000;13.556989
0.864;2.767;91.079000;11.913433
0.888;2.772;93.550000;12.593761
0.912;2.778;96.021000;15.041574
0.936;2.785;98.491000;13.878350
0.960;2.789;100.961000;10.607476
0.984;2.794;103.431000;13.173236
1.008;2.800;105.904000;14.753546
1.032;2.806;108.374000;12.643332
1.056;2.811;110.846000;12.962129
1.080;2.817;113.317000;14.164669
1.104;2.823;115.788000;15.344987
1.128;2.829;118.262000;13.319387
1.152;2.834;120.737000;10.554486
1.176;2.838;123.208000;10.641664
1.200;2.842;125.679000;13.489469
1.224;2.849;128.150000;14.917645
1.248;2.855;130.620000;11.162166
1.272;2.859;133.091000;11.310026
1.296;2.864;135.562000;15.350115
1.320;2.871;138.032000;12.984351
1.344;2.875;140.504000;10.122871
1.368;2.880;142.978000;11.512586
1.392;2.885;145.448000;13.674081
1.416;2.891;147.919000;12.751877
1.440;2.895;150.390000;9.873303
1.464;2.899;152.861000;12.924523
1.488;2.906;155.332000;13.658696
1.512;2.911;157.806000;10.410044
1.536;2.914;160.276000;11.881809
1.560;2.920;162.746000;13.857838
1.584;2.926;165.218000;9.988686
1.608;2.929;167.690000;9.874158
1.632;2.934;170.160000;13.354429
1.656;2.940;172.631000;11.006614
1.680;2.943;175.103000;10.149366
1.704;2.948;177.574000;13.459555
1.728;2.954;180.044000;12.313425
1.752;2.958;182.518000;9.019474
1.776;2.962;184.989000;10.731405
1.800;2.967;187.461000;13.502289
1.824;2.973;189.931000;9.437415
1.848;2.975;192.401000;9.733990
1.872;2.981;194.871000;13.299729
1.896;2.986;197.343000;10.447651
1.920;2.990;199.815000;9.610061
1.944;2.994;202.286000;12.391201
1.968;3.000;204.756000;11.456177
1.992;3.004;207.226000;8.420341
2.016;3.007;209.697000;11.734804
2.040;3.013;212.168000;13.674935
2.064;3.018;214.640000;9.570745
2.088;3.021;217.115000;7.371645
2.112;3.024;219.585000;10.264748
2.136;3.030;222.057000;12.338210
2.160;3.035;224.528000;9.601514
2.184;3.038;227.001000;7.686168
2.208;3.041;229.473000;10.380985
2.232;3.046;231.944000;11.429682
2.256;3.051;234.414000;8.535724
2.280;3.053;236.885000;8.306668
2.304;3.057;239.357000;11.109176
2.328;3.063;241.829000;11.562158
2.352;3.067;244.299000;7.809243
2.376;3.069;246.769000;6.528072
2.400;3.072;249.242000;10.965589
2.424;3.078;251.712000;12.046763
2.448;3.082;254.183000;7.782748
2.472;3.085;256.653000;7.043446
2.496;3.088;259.125000;9.858774
2.520;3.093;261.598000;11.378401
2.544;3.098;264.070000;10.985246
2.568;3.102;266.542000;9.422030
2.592;3.106;269.015000;6.424656
2.616;3.107;271.486000;7.116949
2.640;3.111;273.956000;11.186097
2.664;3.117;276.427000;9.438269
2.688;3.119;278.898000;6.281923
2.712;3.122;281.368000;8.072485
2.736;3.126;283.840000;9.475875
2.760;3.130;286.316000;10.804054
2.784;3.135;288.786000;8.458802
2.808;3.137;291.256000;6.581917
2.832;3.140;293.733000;7.266519
2.856;3.143;296.204000;8.251114
2.880;3.147;298.675000;10.633972
2.904;3.151;301.150000;9.099815
2.928;3.155;303.622000;6.594738
2.952;3.157;306.095000;5.987912
2.976;3.160;308.568000;8.311797
3.000;3.164;311.038000;9.674162
3.024;3.168;313.508000;7.110966
3.048;3.170;315.978000;6.721231
3.072;3.173;318.448000;10.522863
3.096;3.178;320.919000;8.669909
3.120;3.180;323.389000;5.510999
3.144;3.183;325.863000;6.708410
3.168;3.186;328.334000;8.457947
3.192;3.190;330.806000;8.981868
3.216;3.194;333.277000;6.423801
3.240;3.195;335.749000;5.860564
3.264;3.198;338.219000;9.665615
3.288;3.203;340.690000;9.202377
3.312;3.206;343.162000;5.492196
3.336;3.208;345.634000;5.863128
3.360;3.211;348.107000;8.011803
3.384;3.215;350.581000;9.188702
3.408;3.218;353.053000;6.507560
3.432;3.220;355.523000;5.383651
3.456;3.223;357.994000;8.958792
3.480;3.227;360.466000;8.443418
3.504;3.230;362.937000;5.404163
3.528;3.232;365.409000;5.952870
3.552;3.235;367.880000;8.984432
3.576;3.239;370.352000;7.279339
3.600;3.241;372.823000;4.532386
3.624;3.243;375.293000;7.728902
3.648;3.247;377.764000;8.607517
3.672;3.250;380.240000;6.541747
3.696;3.253;382.712000;5.705867
3.720;3.255;385.186000;3.920433
3.744;3.256;387.656000;5.356301
3.768;3.259;390.126000;7.875908
3.792;3.263;392.600000;7.517796
3.816;3.266;395.073000;7.848558
3.840;3.269;397.545000;6.344315
3.864;3.271;400.016000;4.799048
3.888;3.273;402.486000;6.507560
3.912;3.276;404.957000;8.467349
3.936;3.280;407.429000;7.048574
3.960;3.282;409.900000;5.007590
3.984;3.284;412.370000;4.855457
4.008;3.286;414.840000;7.646853
4.032;3.291;417.310000;8.657089
4.056;3.293;419.784000;5.546896
4.080;3.295;422.254000;3.665737
4.104;3.296;424.724000;5.071692
4.128;3.299;427.196000;7.658818
4.152;3.303;429.668000;8.322907
4.176;3.306;432.139000;6.714393
4.200;3.308;434.610000;3.661464
4.224;3.309;437.080000;4.687939
4.248;3.312;439.550000;8.050263
4.272;3.316;442.021000;7.616939
4.296;3.318;444.491000;3.875989
4.320;3.319;446.961000;4.888789
4.344;3.323;449.432000;7.369935
4.368;3.325;451.904000;7.841721
4.392;3.329;454.376000;6.233206
4.416;3.330;456.847000;2.813618
4.440;3.331;459.317000;4.445209
4.464;3.334;461.788000;7.512668
4.488;3.338;464.259000;8.054537
4.512;3.341;466.730000;5.244338
4.536;3.342;469.201000;3.893083
4.560;3.344;471.673000;6.305855
4.584;3.347;474.143000;7.587025
4.608;3.350;476.613000;5.963126
4.632;3.352;479.084000;3.053784
4.656;3.353;481.554000;3.873425
4.680;3.355;484.028000;6.193891
4.704;3.358;486.502000;7.278484
4.728;3.361;488.975000;8.286156
4.752;3.365;491.446000;4.984514
4.776;3.365;493.916000;1.946969
4.800;3.366;496.387000;3.864024
4.824;3.369;498.860000;6.744307
4.848;3.372;501.333000;8.291284
4.872;3.376;503.804000;6.427220
4.896;3.377;506.275000;3.080279
4.920;3.378;508.745000;3.809324
4.944;3.381;511.217000;7.612666
4.968;3.384;513.688000;6.826357
4.992;3.386;516.158000;2.852079
5.016;3.387;518.629000;4.422132
5.040;3.390;521.099000;7.734031
5.064;3.393;523.570000;6.089620
5.088;3.395;526.041000;3.150363
5.112;3.396;528.511000;5.589630
5.136;3.400;530.981000;7.238314
5.160;3.402;533.451000;3.349504
5.184;3.402;535.922000;3.467451
5.208;3.405;538.395000;6.591319
5.232;3.408;540.868000;7.587025
5.256;3.411;543.338000;5.108443
