ml;pH;sec;dpH/dml
0.000;2.128;2.089000;2.958914
0.024;2.130;4.559000;5.004172
0.048;2.132;7.030000;11.949329
0.072;2.139;9.501000;20.645734
0.096;2.150;11.971000;25.510592
0.120;2.161;14.441000;21.074785
0.144;2.167;16.912000;23.335422
0.168;2.180;19.383000;25.037097
0.192;2.188;21.853000;17.608189
0.216;2.195;24.324000;20.086771
0.240;2.204;26.795000;23.444822
0.264;2.214;29.270000;30.336989
0.288;2.230;32.690000;30.445534
0.312;2.239;35.163000;25.333672
0.336;2.251;37.633000;25.801184
0.360;2.261;40.103000;24.817443
0.384;2.271;42.574000;24.224293
0.408;2.281;45.044000;30.617325
0.432;2.297;48.465000;32.904458
0.456;2.308;50.935000;35.266803
0.480;2.326;54.741000;35.478765
0.504;2.337;57.213000;22.787570
0.528;2.345;59.684000;20.220956
0.552;2.354;62.156000;27.109704
0.576;2.367;64.627000;43.949533
0.600;2.391;68.618000;39.661586
0.624;2.400;71.088000;26.687491
0.648;2.413;73.559000;31.309619
0.672;2.426;76.033000;29.242140
0.696;2.437;78.503000;38.029140
0.720;2.458;81.924000;45.728984
0.744;2.475;85.346000;32.409597
0.768;2.484;87.818000;22.942268
0.792;2.494;90.288000;44.170041
0.816;2.521;94.849000;46.318715
0.840;2.532;97.320000;42.208542
0.864;2.556;101.121000;39.282106
0.888;2.565;103.597000;27.975499
0.912;2.579;107.018000;45.279420
0.936;2.602;111.010000;54.715125
0.960;2.625;115.192000;40.960705
0.984;2.636;117.667000;29.557518
1.008;2.649;120.137000;39.641073
1.032;2.669;123.938000;55.890315
1.056;2.695;128.120000;57.150119
1.080;2.717;132.110000;33.746322
1.104;2.723;134.580000;32.207037
1.128;2.743;138.382000;52.303209
1.152;2.767;142.562000;54.501455
1.176;2.788;146.552000;40.450459
1.200;2.800;149.023000;32.179687
1.224;2.815;151.494000;42.827333
1.248;2.836;155.296000;47.299037
1.272;2.854;158.338000;55.023666
1.296;2.881;162.902000;59.503917
1.320;2.904;166.895000;36.971897
1.344;2.912;169.367000;23.814045
1.368;2.923;171.841000;42.150424
1.392;2.947;175.834000;45.604200
1.416;2.961;178.304000;44.052095
1.440;2.984;182.486000;53.311735
1.464;3.005;186.288000;35.153985
1.488;3.013;188.760000;25.431961
1.512;3.027;191.231000;40.062432
1.536;3.046;195.413000;38.482123
1.560;3.058;197.884000;39.426548
1.584;3.079;201.497000;35.860808
1.608;3.088;203.967000;25.178975
1.632;3.099;206.438000;27.919090
1.656;3.111;208.909000;26.803728
1.680;3.122;211.379000;33.365133
1.704;3.139;214.610000;36.699253
1.728;3.152;217.081000;28.696852
1.752;3.163;219.556000;26.299465
1.776;3.174;222.028000;23.746525
1.800;3.183;224.500000;22.377322
1.824;3.193;226.971000;25.766997
1.848;3.204;229.442000;25.299485
1.872;3.213;231.913000;23.510632
1.896;3.223;234.383000;27.444740
1.920;3.236;236.855000;26.469547
1.944;3.245;239.325000;20.056002
1.968;3.253;241.797000;17.543233
1.992;3.260;244.269000;19.838058
2.016;3.269;246.740000;25.084959
2.040;3.281;249.212000;23.420036
2.064;3.289;251.684000;19.367127
2.088;3.297;254.154000;19.803016
2.112;3.305;256.624000;13.578356
2.136;3.308;259.095000;13.762113
2.160;3.317;261.569000;20.578214
2.184;3.325;264.042000;19.520970
2.208;3.333;266.513000;20.612401
2.232;3.342;268.986000;23.249954
2.256;3.352;271.456000;17.868867
2.280;3.357;273.926000;14.502269
2.304;3.364;276.396000;15.574042
2.328;3.370;278.868000;14.004843
2.352;3.376;281.338000;17.280845
2.376;3.384;283.808000;20.486762
2.400;3.393;286.279000;16.723591
2.424;3.398;288.749000;14.269795
2.448;3.404;291.219000;15.668912
2.472;3.411;293.690000;14.623634
2.496;3.417;296.163000;15.109094
2.520;3.424;298.634000;14.344152
2.544;3.428;301.104000;14.133900
2.568;3.435;303.577000;17.117600
2.592;3.443;306.047000;15.664638
2.616;3.448;308.522000;10.435685
2.640;3.451;310.992000;10.428848
2.664;3.457;313.462000;15.467206
2.688;3.464;315.934000;15.006532
2.712;3.469;318.406000;10.904906
2.736;3.473;320.877000;12.137360
2.760;3.479;323.348000;16.368043
2.784;3.487;325.819000;14.423638
2.808;3.491;328.293000;9.000671
2.832;3.494;330.764000;12.719399
2.856;3.502;333.235000;16.829572
2.880;3.508;335.708000;13.229645
2.904;3.513;338.182000;12.611709
2.928;3.519;340.653000;13.671517
2.952;3.524;343.124000;13.558698
2.976;3.530;345.594000;12.851020
3.000;3.535;348.069000;9.036568
3.024;3.537;350.541000;8.889563
3.048;3.542;353.012000;13.402291
3.072;3.548;355.483000;13.697157
3.096;3.554;357.955000;10.328850
3.120;3.557;360.425000;11.809161
3.144;3.563;362.896000;15.874890
3.168;3.570;365.366000;11.835656
3.192;3.573;367.836000;9.594676
3.216;3.578;370.307000;13.228791
3.240;3.584;372.778000;13.855273
3.264;3.590;375.252000;9.717751
3.288;3.592;377.722000;10.262184
3.312;3.598;380.192000;13.398018
3.336;3.603;382.666000;10.279278
3.360;3.607;385.136000;6.328931
3.384;3.609;387.606000;9.135711
3.408;3.614;390.076000;13.463828
3.432;3.620;392.547000;12.900592
3.456;3.625;395.020000;9.192121
3.480;3.627;397.492000;9.081012
3.504;3.632;399.967000;11.292078
3.528;3.637;402.439000;12.235648
3.552;3.643;404.909000;12.774954
3.576;3.647;407.383000;7.663947
3.600;3.649;409.853000;5.810138
3.624;3.652;412.324000;10.056206
3.648;3.657;414.794000;11.373273
3.672;3.662;417.268000;8.396410
3.696;3.664;419.739000;6.598156
3.720;3.667;422.210000;10.028001
3.744;3.673;424.682000;11.722838
3.768;3.677;427.152000;6.516107
3.792;3.678;429.622000;5.686209
3.816;3.681;432.093000;10.527136
3.840;3.687;434.565000;12.648460
3.864;3.692;437.037000;6.187054
3.888;3.692;439.507000;4.137523
3.912;3.695;441.980000;7.695570
3.936;3.698;444.451000;6.053723
3.960;3.700;446.922000;7.341731
3.984;3.704;449.397000;9.632283
4.008;3.708;451.867000;7.681895
4.032;3.711;454.337000;4.752895
4.056;3.712;456.809000;6.524653
4.080;3.716;459.285000;10.832258
4.104;3.721;461.755000;9.683564
4.128;3.724;464.231000;4.469994
4.152;3.725;466.701000;5.002462
4.176;3.728;469.172000;9.155369
4.200;3.733;471.642000;6.603284
4.224;3.734;474.115000;2.985409
4.248;3.735;476.586000;9.740827
4.272;3.742;479.056000;10.667304
4.296;3.744;481.531000;5.177672
4.320;3.746;484.006000;3.494801
4.344;3.747;486.477000;4.170001
4.368;3.750;488.950000;7.510104
4.392;3.753;491.421000;7.583606
4.416;3.756;493.893000;6.285342
4.440;3.758;496.367000;3.105920
4.464;3.758;498.837000;4.911866
4.488;3.762;501.308000;8.135732
4.512;3.765;503.783000;5.012718
4.536;3.767;506.253000;2.140127
4.560;3.767;508.724000;3.244378
4.584;3.769;511.195000;3.352069
4.608;3.770;513.670000;0.766651
4.632;3.769;516.141000;2.481146
4.656;3.768;518.613000;0.753831
4.680;3.769;521.085000;1.123909
4.704;3.769;523.555000;2.562341
4.728;3.767;526.025000;0.098289
4.752;3.769;528.495000;1.629881
4.776;3.768;530.971000;2.142691
4.800;3.767;533.441000;3.237541
