ml;pH;sec;dpH/dml
0.000;1.997;2.093000;2.340123
0.024;1.998;4.557000;0.875196
0.048;1.998;7.028000;1.017928
0.072;1.999;9.499000;4.683665
0.096;2.002;11.970000;2.914471
0.120;2.002;14.440000;0.589732
0.144;2.002;16.912000;4.527258
0.168;2.005;19.382000;3.831546
0.192;2.006;21.853000;1.622189
0.216;2.007;24.324000;4.311023
0.240;2.009;26.796000;5.054598
0.264;2.011;29.266000;3.339248
0.288;2.012;31.737000;3.975133
0.312;2.014;34.210000;4.997334
0.336;2.016;36.684000;4.908447
0.360;2.018;39.159000;3.322155
0.384;2.019;41.630000;3.376854
0.408;2.021;44.101000;5.646894
0.432;2.024;46.571000;3.748642
0.456;2.024;49.043000;3.003358
0.480;2.026;51.515000;3.805051
0.504;2.027;53.988000;3.860605
0.528;2.029;56.459000;3.287113
0.552;2.030;58.929000;3.921288
0.576;2.032;61.400000;6.267394
0.600;2.035;63.871000;3.347795
0.624;2.035;66.341000;4.156326
0.648;2.039;68.812000;7.358825
0.672;2.041;71.283000;4.549480
0.696;2.042;73.756000;3.753770
0.720;2.044;76.226000;5.670825
0.744;2.047;78.697000;4.857166
0.768;2.049;81.170000;3.275147
0.792;2.050;83.643000;5.016992
0.816;2.053;86.113000;6.296453
0.840;2.055;88.587000;5.915264
0.864;2.058;91.058000;4.742638
0.888;2.059;93.529000;3.735821
0.912;2.061;96.001000;5.811847
0.936;2.064;98.475000;5.801591
0.960;2.065;100.946000;4.960583
0.984;2.068;103.419000;5.630655
1.008;2.070;105.889000;7.069942
1.032;2.074;108.360000;4.773407
1.056;2.074;110.830000;2.799088
1.080;2.076;113.302000;6.495594
1.104;2.079;115.772000;5.328951
1.128;2.081;118.246000;4.339228
1.152;2.083;120.719000;7.155410
1.176;2.086;123.189000;7.340022
1.200;2.089;125.662000;5.651167
1.224;2.091;128.139000;4.640931
1.248;2.093;130.613000;4.689648
1.272;2.095;133.086000;4.930669
1.296;2.097;135.557000;5.716123
1.320;2.100;138.029000;6.730632
1.344;2.103;140.499000;4.998189
1.368;2.104;142.969000;4.427260
1.392;2.106;145.445000;4.580249
