ml;pH;sec;dpH/dml
0.000;1.939;2.090000;6.428929
0.024;1.942;4.565000;3.268310
0.048;1.942;7.035000;0.452982
0.072;1.942;9.507000;5.021265
0.096;1.946;11.981000;4.136668
0.120;1.946;14.454000;2.849515
0.144;1.948;16.925000;7.257117
0.168;1.952;19.395000;6.401579
0.192;1.954;21.866000;2.524735
0.216;1.950;24.340000;3.703343
0.240;1.951;26.811000;3.340103
0.264;1.952;29.284000;1.302538
0.288;1.952;31.754000;4.058892
0.312;1.956;34.226000;7.254553
0.336;1.958;36.697000;1.318777
0.360;1.957;39.167000;3.856332
0.384;1.961;41.639000;7.579333
0.408;1.963;44.111000;3.378564
0.432;1.964;46.583000;2.207647
0.456;1.965;49.053000;2.412771
0.480;1.966;51.527000;4.546916
0.504;1.969;53.999000;3.847785
0.528;1.969;56.470000;6.069962
0.552;1.974;58.940000;7.252844
0.576;1.975;61.413000;0.495716
0.600;1.973;63.885000;0.876051
0.624;1.976;66.357000;3.318736
0.648;1.976;68.827000;2.321320
0.672;1.978;71.297000;6.334059
0.696;1.981;73.767000;4.546061
0.720;1.981;76.238000;3.068314
0.744;1.984;78.713000;5.029812
0.768;1.986;81.183000;0.767506
0.792;1.985;83.655000;0.331617
0.816;1.986;86.127000;3.810179
0.840;1.988;88.597000;62.345739
0.864;2.038;92.973000;15.573187
0.888;2.001;97.535000;51.295537
0.912;1.995;100.006000;5.102460
0.936;1.996;102.478000;0.698276
0.960;1.996;104.948000;2.569178
0.984;1.999;107.420000;4.181111
1.008;1.999;109.890000;2.099103
1.032;2.000;112.361000;4.784518
1.056;2.003;114.831000;3.671720
1.080;2.003;117.301000;3.453776
1.104;2.006;119.771000;5.745182
1.128;2.008;122.241000;4.686229
1.152;2.010;124.711000;2.158930
1.176;2.010;127.181000;3.052075
1.200;2.012;129.651000;5.679372
1.224;2.015;132.122000;3.608474
1.248;2.015;134.597000;4.916994
1.272;2.019;137.067000;4.881952
1.296;2.019;139.537000;3.127287
1.320;2.021;142.013000;6.309273
1.344;2.025;144.483000;6.034920
1.368;2.026;146.954000;2.346961
1.392;2.027;149.426000;4.119574
1.416;2.030;151.901000;5.744327
1.440;2.031;154.371000;5.016992
1.464;2.034;156.841000;6.212694
1.488;2.036;159.311000;3.524715
1.512;2.037;161.785000;3.835819
1.536;2.040;164.255000;6.664822
1.560;2.042;166.726000;3.505057
1.584;2.043;169.196000;5.758857
1.608;2.047;171.668000;6.208421
1.632;2.048;174.139000;1.786288
1.656;2.049;176.610000;5.416129
1.680;2.052;179.080000;5.877658
1.704;2.053;181.551000;3.942655
1.728;2.055;184.025000;6.177652
1.752;2.058;186.495000;4.934088
1.776;2.060;188.965000;3.697361
1.800;2.062;191.436000;7.109257
1.824;2.065;193.907000;6.880202
1.848;2.067;196.378000;4.436662
1.872;2.069;198.848000;4.741784
