ml;pH;sec;dpH/dml
0.000;1.814;2.090000;6.557131
0.024;1.817;4.560000;8.815205
0.048;1.821;7.030000;11.410024
0.072;1.826;9.501000;7.871635
0.096;1.828;11.971000;10.146802
0.120;1.835;14.442000;10.432266
0.144;1.837;16.913000;3.624713
0.168;1.838;19.386000;6.800716
0.192;1.842;21.856000;10.068171
0.216;1.846;24.326000;6.122952
0.240;1.847;26.796000;6.022100
0.264;1.851;29.268000;9.804074
0.288;1.855;31.739000;6.172524
0.312;1.856;34.212000;4.826397
0.336;1.859;36.683000;7.745996
0.360;1.863;39.156000;4.441790
0.384;1.863;41.627000;4.927250
0.408;1.867;44.097000;9.381006
0.432;1.871;46.567000;7.630614
0.456;1.873;49.037000;5.955434
0.480;1.876;51.507000;5.152032
0.504;1.877;53.978000;5.345190
0.528;1.880;56.449000;6.941739
0.552;1.883;58.919000;4.447773
0.576;1.884;61.390000;9.421176
0.600;1.891;63.861000;4.972548
0.624;1.888;66.333000;1.076901
0.648;1.890;68.803000;8.739138
0.672;1.895;71.273000;5.792190
0.696;1.895;73.745000;3.023015
0.720;1.898;76.216000;7.005840
0.744;1.901;78.686000;5.325533
0.768;1.902;81.158000;4.666572
0.792;1.904;83.630000;6.632344
0.816;1.908;86.100000;4.191368
0.840;1.908;88.572000;2.751226
0.864;1.910;91.044000;5.342626
0.888;1.912;93.515000;6.317820
0.912;1.915;95.985000;5.825522
0.936;1.917;98.460000;5.113571
0.960;1.920;100.930000;4.468285
0.984;1.921;103.401000;3.349504
1.008;1.922;105.871000;7.878472
1.032;1.927;108.343000;5.092204
1.056;1.927;110.813000;0.446999
1.080;1.928;113.284000;6.155430
1.104;1.932;115.757000;7.298142
1.128;1.934;118.227000;3.592235
1.152;1.935;120.700000;4.158035
1.176;1.937;123.171000;9.264769
1.200;1.942;125.644000;5.183655
1.224;1.942;128.114000;2.064061
1.248;1.944;130.585000;5.570827
1.272;1.946;133.057000;7.003276
1.296;1.950;135.531000;3.286258
1.320;1.949;138.001000;2.510205
1.344;1.952;140.471000;4.861439
1.368;1.953;142.941000;3.927270
1.392;1.955;145.411000;6.782768
1.416;1.959;147.883000;4.685375
1.440;1.959;150.353000;3.551210
1.464;1.962;152.824000;5.580228
1.488;1.964;155.294000;5.937486
1.512;1.966;157.764000;6.252864
1.536;1.969;160.235000;3.905049
1.560;1.970;162.706000;2.256364
1.584;1.971;165.176000;6.267394
1.608;1.975;167.646000;6.367392
1.632;1.976;170.116000;3.484544
1.656;1.978;172.586000;7.144299
1.680;1.982;175.056000;3.882827
1.704;1.981;177.527000;2.673450
1.728;1.984;179.999000;8.116929
1.752;1.988;182.470000;9.019474
1.776;1.992;184.945000;6.349443
1.800;1.993;187.415000;2.117906
1.824;1.993;189.888000;3.875989
1.848;1.996;192.359000;15.015934
1.872;2.006;194.830000;4.746057
1.896;2.000;197.300000;4.861439
1.920;2.002;199.770000;4.168291
1.944;2.004;202.241000;3.562321
1.968;2.005;204.713000;6.253719
1.992;2.009;207.184000;7.920352
2.016;2.011;209.661000;9.451090
2.040;2.017;212.132000;3.801632
2.064;2.014;214.603000;4.298203
2.088;2.020;217.075000;8.925459
2.112;2.022;219.546000;3.175149
2.136;2.023;222.017000;7.093873
2.160;2.028;224.490000;5.546896
2.184;2.027;226.960000;3.132415
2.208;2.030;229.432000;3.575141
2.232;2.030;231.903000;3.393948
2.256;2.033;234.373000;6.604994
2.280;2.036;236.843000;6.802426
2.304;2.039;239.315000;7.698989
2.328;2.042;241.786000;4.669136
2.352;2.043;244.258000;7.405832
2.376;2.048;246.729000;7.178486
2.400;2.049;249.199000;2.295680
2.424;2.050;251.670000;7.177632
2.448;2.055;254.141000;6.081927
2.472;2.055;256.611000;1.969191
2.496;2.056;259.083000;7.136607
2.520;2.061;261.555000;8.497263
2.544;2.063;264.029000;4.225555
2.568;2.065;266.500000;2.196536
2.592;2.065;268.970000;9.993814
2.616;2.073;271.440000;10.381840
2.640;2.074;273.913000;3.504202
2.664;2.076;276.387000;4.012739
2.688;2.077;278.859000;4.540933
2.712;2.080;281.330000;7.106693
2.736;2.083;283.800000;7.147718
2.760;2.086;286.272000;6.646019
2.784;2.088;288.744000;3.747787
2.808;2.089;291.216000;4.365723
2.832;2.092;293.687000;8.664781
2.856;2.096;296.158000;8.944262
2.880;2.099;298.629000;3.923852
2.904;2.099;301.099000;2.872591
2.928;2.102;303.574000;11.009178
2.952;2.108;306.045000;10.008343
2.976;2.110;308.518000;2.885411
3.000;2.111;310.988000;3.821290
3.024;2.113;313.460000;8.100690
3.048;2.117;315.932000;5.954580
3.072;2.118;318.402000;8.116074
3.096;2.124;320.872000;10.343379
3.120;2.127;323.344000;5.348609
3.144;2.129;325.818000;2.987119
3.168;2.129;328.289000;3.330701
3.192;2.131;330.762000;10.503205
3.216;2.138;333.232000;9.386134
3.240;2.139;335.704000;2.545247
3.264;2.140;338.175000;8.464785
3.288;2.146;340.645000;10.090393
3.312;2.148;343.115000;3.157201
3.336;2.149;345.585000;5.792190
3.360;2.153;348.055000;14.611668
3.384;2.161;350.526000;8.641704
3.408;2.160;352.997000;3.238396
3.432;2.164;355.472000;4.972548
3.456;2.165;357.943000;8.861358
3.480;2.171;360.414000;7.197289
3.504;2.171;362.886000;3.576850
3.528;2.174;365.357000;11.289514
3.552;2.180;367.827000;6.856271
3.576;2.180;370.301000;4.699904
3.600;2.184;372.771000;9.292119
3.624;2.187;375.243000;6.336623
3.648;2.189;377.713000;5.616125
3.672;2.192;380.185000;8.756232
3.696;2.196;382.655000;8.959647
3.720;2.199;385.129000;6.810972
3.744;2.202;387.599000;10.851916
3.768;2.208;390.069000;8.860503
3.792;2.209;392.540000;0.040170
3.816;2.208;395.010000;8.157954
3.840;2.216;397.480000;15.152683
3.864;2.221;399.953000;6.463116
3.888;2.221;402.423000;11.931381
3.912;2.231;405.273000;9.416902
3.936;2.229;407.744000;2.018762
3.960;2.232;410.214000;9.692965
3.984;2.237;412.684000;11.166439
4.008;2.242;415.156000;5.011864
4.032;2.241;417.626000;8.598970
4.056;2.249;420.097000;12.058729
4.080;2.251;422.567000;3.928980
4.104;2.252;425.038000;4.762296
4.128;2.255;427.514000;12.225392
4.152;2.262;429.985000;12.749313
4.176;2.266;432.455000;6.733196
4.200;2.268;434.926000;6.230642
4.224;2.271;437.397000;10.733970
4.248;2.277;439.868000;12.366415
4.272;2.281;442.340000;6.764820
4.296;2.282;444.813000;6.640890
4.320;2.287;447.283000;12.437354
4.344;2.293;449.754000;9.388698
4.368;2.295;452.224000;10.363892
4.392;2.301;454.696000;7.222930
4.416;2.301;457.167000;6.734906
4.440;2.307;459.637000;16.844956
4.464;2.315;462.109000;10.156203
4.488;2.315;464.582000;6.448587
4.512;2.320;467.057000;12.466413
4.536;2.326;469.527000;14.405690
4.560;2.332;471.997000;7.289595
4.584;2.332;474.467000;5.846035
4.608;2.337;476.938000;9.787835
4.632;2.340;479.408000;8.046845
4.656;2.343;481.881000;12.970676
4.680;2.350;484.352000;12.299750
4.704;2.354;486.823000;11.031399
4.728;2.360;489.294000;13.980912
4.752;2.365;491.764000;8.480169
4.776;2.367;494.234000;8.603244
4.800;2.372;496.706000;13.281781
4.824;2.378;499.177000;11.569850
4.848;2.382;501.648000;13.630492
4.872;2.389;504.119000;10.041676
4.896;2.390;506.589000;6.519525
4.920;2.394;509.064000;13.044179
4.944;2.401;511.534000;14.444150
4.968;2.406;514.004000;15.599682
4.992;2.414;516.474000;9.626300
5.016;2.414;518.946000;12.398038
5.040;2.424;521.416000;19.288496
5.064;2.430;523.891000;14.597993
5.088;2.436;526.362000;8.779308
5.112;2.438;528.833000;12.500600
5.136;2.447;531.684000;10.341670
5.160;2.446;534.155000;7.511813
5.184;2.453;536.625000;13.551006
5.208;2.457;539.096000;8.628884
5.232;2.460;541.566000;16.623593
5.256;2.471;544.036000;15.596264
5.280;2.473;546.507000;14.173216
5.304;2.483;548.978000;17.102216
5.328;2.487;551.450000;9.094687
5.352;2.490;553.922000;11.621131
5.376;2.497;556.395000;18.601331
5.400;2.506;558.867000;16.133005
5.424;2.510;561.339000;8.345129
5.448;2.513;563.810000;11.936509
5.472;2.520;566.281000;15.655237
5.496;2.526;568.757000;17.973993
5.520;2.535;571.230000;14.758674
5.544;2.538;573.700000;15.216784
5.568;2.548;576.170000;27.955841
5.592;2.561;578.643000;16.787692
5.616;2.562;581.113000;9.614334
5.640;2.569;583.583000;13.794591
5.664;2.573;586.054000;13.327934
5.688;2.580;588.524000;17.732972
5.712;2.588;590.996000;19.269693
5.736;2.596;593.468000;20.974787
5.760;2.605;596.508000;16.127022
5.784;2.610;598.979000;12.012576
5.808;2.615;601.449000;19.410716
5.832;2.626;603.922000;24.892656
5.856;2.636;606.393000;10.663885
5.880;2.634;608.864000;13.080076
5.904;2.647;611.337000;23.031155
5.928;2.654;613.810000;18.244073
5.952;2.662;616.282000;18.593639
5.976;2.669;618.753000;16.805641
6.000;2.676;621.223000;18.957734
6.024;2.685;623.693000;21.700413
6.048;2.694;626.924000;15.580879
6.072;2.698;629.396000;33.510429
6.096;2.721;633.389000;27.065261
6.120;2.720;635.859000;5.205022
6.144;2.726;638.330000;15.591990
6.168;2.733;640.800000;26.203740
6.192;2.747;643.650000;23.161922
6.216;2.752;646.122000;13.875786
6.240;2.759;648.594000;15.843267
6.264;2.765;651.065000;14.012535
6.288;2.771;653.536000;33.312142
6.312;2.793;657.336000;21.104699
6.336;2.788;659.807000;3.458049
6.360;2.796;662.277000;38.819722
6.384;2.820;666.649000;45.824708
6.408;2.834;669.692000;19.462852
6.432;2.836;672.163000;17.397082
6.456;2.848;674.638000;18.342362
6.480;2.852;677.109000;31.085692
6.504;2.874;680.909000;45.478561
6.528;2.889;683.950000;27.646446
6.552;2.897;686.420000;12.862986
6.576;2.900;688.891000;18.759447
6.600;2.912;691.364000;24.246515
6.624;2.920;693.834000;30.416475
6.648;2.938;697.067000;30.854073
6.672;2.946;699.537000;21.248285
6.696;2.955;702.009000;26.297755
6.720;2.967;705.239000;47.279379
6.744;2.995;709.423000;44.699090
6.768;3.004;711.894000;5.963126
6.792;2.999;714.370000;12.249323
6.816;3.015;717.224000;30.798518
6.840;3.025;719.694000;26.825950
6.864;3.037;722.165000;39.760729
