ml;pH;sec;dpH/dml
0.000;1.196;2.089000;1.490568
0.024;1.195;4.562000;1.293136
0.048;1.195;7.033000;2.044403
0.072;1.197;9.504000;3.006776
0.096;1.197;11.975000;0.464948
0.120;1.197;14.446000;1.855518
0.144;1.199;16.916000;1.488859
0.168;1.198;19.386000;0.927332
0.192;1.198;21.856000;1.065790
0.216;1.199;24.327000;3.412751
0.240;1.201;26.798000;0.334181
0.264;1.199;29.268000;0.319652
0.288;1.201;31.742000;3.055493
0.312;1.201;34.213000;1.140148
0.336;1.202;36.685000;0.259824
0.360;1.202;39.157000;0.005983
0.384;1.202;41.633000;0.364095
0.408;1.201;44.105000;0.451273
0.432;1.201;46.582000;0.337600
0.456;1.202;49.056000;3.145235
0.480;1.204;51.526000;6.873364
0.504;1.207;53.998000;4.007611
0.528;1.207;56.468000;2.962333
0.552;1.205;58.938000;2.711911
0.576;1.205;61.410000;2.333286
0.600;1.207;63.880000;0.427342
0.624;1.205;66.353000;0.411103
0.648;1.207;68.825000;2.929855
0.672;1.207;71.297000;3.276856
0.696;1.210;73.767000;3.776846
0.720;1.210;76.239000;0.801693
0.744;1.209;78.709000;0.423068
0.768;1.211;81.181000;3.210191
0.792;1.212;83.652000;2.243544
0.816;1.213;86.124000;0.545288
0.840;1.211;88.595000;1.410228
0.864;1.214;91.065000;3.643516
0.888;1.214;93.535000;0.328198
0.912;1.213;96.005000;1.943550
0.936;1.216;98.476000;3.893083
0.960;1.217;100.947000;0.278627
0.984;1.216;103.417000;3.725565
1.008;1.220;105.887000;4.338373
1.032;1.219;108.358000;2.288842
1.056;1.218;110.829000;0.718789
1.080;1.219;113.301000;6.110987
1.104;1.223;115.772000;3.528133
1.128;1.222;118.243000;2.899086
1.152;1.221;120.716000;0.803402
1.176;1.222;123.186000;5.137502
1.200;1.225;125.658000;1.788852
1.224;1.224;128.130000;1.013655
1.248;1.224;130.600000;2.396532
1.272;1.226;133.072000;3.120449
1.296;1.227;135.542000;0.826479
1.320;1.227;138.013000;1.130746
1.344;1.227;140.484000;2.074317
1.368;1.228;142.957000;2.431574
1.392;1.229;145.429000;0.748703
1.416;1.229;147.899000;0.309395
1.440;1.230;150.369000;3.400785
1.464;1.232;152.841000;3.092245
1.488;1.232;155.312000;0.434179
1.512;1.232;157.783000;0.482041
1.536;1.233;160.255000;2.967461
1.560;1.235;162.726000;1.664923
1.584;1.234;165.197000;0.993997
1.608;1.234;167.669000;0.723062
1.632;1.235;170.141000;2.557213
1.656;1.236;172.615000;4.287092
1.680;1.238;175.085000;2.231578
1.704;1.238;177.557000;0.803402
1.728;1.238;180.029000;1.448688
1.752;1.239;182.500000;3.819580
1.776;1.241;184.971000;3.310189
1.800;1.242;187.446000;1.385442
1.824;1.242;189.920000;0.264952
1.848;1.241;192.390000;1.783724
1.872;1.243;194.860000;4.042653
1.896;1.245;197.335000;2.313628
1.920;1.245;199.811000;0.580330
1.944;1.245;202.281000;0.083759
1.968;1.245;204.751000;2.909342
1.992;1.248;207.223000;4.403329
2.016;1.249;209.695000;0.051281
2.040;1.248;212.167000;0.433325
2.064;1.249;214.638000;2.140127
2.088;1.249;217.112000;3.681976
2.112;1.252;219.584000;3.295659
2.136;1.252;222.055000;0.423923
2.160;1.251;224.526000;1.938422
2.184;1.254;226.997000;4.029832
2.208;1.255;229.468000;0.220508
2.232;1.254;231.939000;0.232474
2.256;1.255;234.410000;3.818726
2.280;1.257;236.880000;3.176858
2.304;1.257;239.351000;0.270080
2.328;1.257;241.824000;0.590586
2.352;1.258;244.300000;1.964063
2.376;1.259;246.770000;2.912761
2.400;1.260;249.242000;2.764901
2.424;1.261;251.714000;0.278627
2.448;1.260;254.185000;0.450418
2.472;1.261;256.656000;2.593964
2.496;1.262;259.131000;2.958059
2.520;1.264;261.605000;3.594799
2.544;1.265;264.076000;1.830732
2.568;1.265;266.549000;0.746993
2.592;1.265;269.020000;0.721353
2.616;1.266;271.497000;3.676848
2.640;1.268;273.967000;5.630655
2.664;1.270;276.438000;2.852933
2.688;1.270;278.910000;1.676034
2.712;1.269;281.381000;0.266661
2.736;1.270;283.853000;3.928125
2.760;1.272;286.325000;3.269164
2.784;1.272;288.796000;0.579475
2.808;1.272;291.268000;0.602552
2.832;1.273;293.739000;4.128121
2.856;1.275;296.210000;3.987098
2.880;1.276;298.680000;0.491443
2.904;1.275;301.150000;2.967461
2.928;1.279;303.621000;4.098207
2.952;1.278;306.092000;1.705948
2.976;1.277;308.564000;1.682017
3.000;1.280;311.036000;4.778535
3.024;1.281;313.506000;1.564071
3.048;1.281;315.977000;0.433325
3.072;1.281;318.448000;2.592255
3.096;1.283;320.919000;2.780285
3.120;1.283;323.389000;0.497426
3.144;1.283;325.859000;2.442685
3.168;1.285;328.331000;3.999919
3.192;1.286;330.801000;0.856393
3.216;1.286;333.271000;1.116217
3.240;1.287;335.742000;0.277772
3.264;1.286;338.213000;1.487149
3.288;1.288;340.684000;3.469160
3.312;1.289;343.154000;3.706762
3.336;1.291;345.625000;3.192243
3.360;1.292;348.097000;0.762378
3.384;1.291;350.567000;1.205958
3.408;1.293;353.040000;5.899025
3.432;1.295;355.511000;3.681122
3.456;1.296;357.981000;1.089721
3.480;1.295;360.453000;1.302538
3.504;1.297;362.925000;3.580269
3.528;1.298;365.397000;1.588857
3.552;1.298;367.868000;0.334181
3.576;1.297;370.338000;4.965711
3.600;1.302;372.809000;4.754604
3.624;1.301;375.279000;2.025600
3.648;1.301;377.749000;1.823894
3.672;1.303;380.220000;5.442624
3.696;1.305;382.691000;1.054679
3.720;1.304;385.161000;2.485419
3.744;1.303;387.633000;1.358092
3.768;1.305;390.103000;4.567428
3.792;1.307;392.575000;2.458924
3.816;1.307;395.047000;0.231619
3.840;1.307;397.517000;0.231619
3.864;1.307;399.994000;3.189679
3.888;1.310;402.464000;4.547771
3.912;1.310;404.934000;0.354694
3.936;1.309;407.406000;2.865754
3.960;1.313;409.877000;5.501597
3.984;1.314;412.347000;0.646141
4.008;1.312;414.818000;0.132476
4.032;1.314;417.289000;3.814452
4.056;1.315;419.759000;0.911947
4.080;1.315;422.231000;2.264911
4.104;1.317;424.701000;5.556297
4.128;1.319;427.171000;0.264097
4.152;1.317;429.644000;1.938422
4.176;1.318;432.116000;3.192243
4.200;1.320;434.588000;4.486233
4.224;1.322;437.058000;0.064101
4.248;1.320;439.529000;2.940111
4.272;1.324;442.000000;4.884516
4.296;1.324;444.471000;0.946989
4.320;1.325;446.943000;0.731609
4.344;1.325;449.414000;1.993122
4.368;1.326;451.887000;3.250361
4.392;1.327;454.357000;0.043589
4.416;1.326;456.827000;1.553815
4.440;1.329;459.301000;3.973423
4.464;1.330;461.771000;2.599092
4.488;1.331;464.244000;0.207688
4.512;1.330;466.715000;0.466657
4.536;1.331;469.190000;2.644391
