ml;pH;sec;dpH/dml
0.000;1.469;2.095000;15.216784
0.024;1.462;4.563000;13.426222
0.048;1.457;7.045000;11.110885
0.072;1.453;9.516000;9.948515
0.096;1.449;11.987000;3.626422
0.120;1.450;14.457000;2.621314
0.144;1.447;16.927000;8.153680
0.168;1.443;19.397000;6.420382
0.192;1.442;21.868000;4.259742
0.216;1.440;24.341000;6.761401
0.240;1.436;26.813000;9.577583
0.264;1.432;29.285000;8.356240
0.288;1.429;31.756000;4.299058
0.312;1.428;34.227000;2.082009
0.336;1.427;36.701000;4.788791
0.360;1.424;39.173000;8.174193
0.384;1.421;41.644000;6.585336
0.408;1.419;44.119000;2.278586
0.432;1.419;46.597000;0.354694
0.456;1.418;49.067000;1.347836
0.480;1.418;51.538000;3.456340
0.504;1.416;54.010000;3.686250
0.528;1.415;56.480000;0.717079
0.552;1.416;58.953000;0.752121
0.576;1.414;61.426000;4.256324
0.600;1.413;63.901000;3.945219
0.624;1.411;66.375000;3.267455
0.648;1.410;68.846000;0.100853
0.672;1.411;71.320000;1.076901
0.696;1.411;73.793000;0.250422
0.720;1.410;76.265000;3.407623
0.744;1.408;78.736000;2.749517
0.768;1.408;81.208000;1.810220
0.792;1.410;83.681000;1.902525
0.816;1.410;86.154000;0.964083
0.840;1.409;88.627000;2.391404
0.864;1.408;91.097000;0.861521
0.888;1.408;93.572000;2.287133
0.912;1.410;96.042000;0.022222
0.936;1.408;98.513000;2.258074
0.960;1.408;100.984000;1.535866
0.984;1.409;103.455000;1.500824
1.008;1.409;105.928000;2.445249
1.032;1.407;108.399000;0.048717
1.056;1.409;110.869000;2.095684
1.080;1.409;113.341000;0.509391
1.104;1.408;115.812000;1.083739
1.128;1.408;118.284000;1.467491
1.152;1.410;120.756000;1.511935
1.176;1.409;123.229000;1.982011
1.200;1.408;125.699000;1.071773
1.224;1.408;128.171000;3.347795
1.248;1.411;130.642000;2.147820
1.272;1.410;133.115000;1.435014
1.296;1.412;135.587000;2.029019
1.320;1.412;138.058000;1.931585
1.344;1.414;140.528000;1.631591
1.368;1.413;143.002000;0.819641
1.392;1.413;145.472000;3.031562
1.416;1.416;147.943000;2.815327
1.440;1.415;150.414000;0.056409
1.464;1.416;152.890000;0.866649
1.488;1.416;155.365000;1.692273
1.512;1.417;157.836000;4.233247
1.536;1.420;160.311000;3.914450
1.560;1.420;162.782000;0.219654
1.584;1.420;165.255000;2.625588
1.608;1.418;167.727000;2.150384
1.632;1.418;170.203000;1.428176
1.656;1.419;172.675000;3.952911
1.680;1.421;175.147000;0.443581
1.704;1.420;177.607000;1.814493
1.728;1.420;180.082000;1.411937
1.752;1.421;182.553000;3.276002
1.776;1.422;185.025000;0.648705
1.800;1.420;187.496000;0.925622
1.824;1.422;189.966000;2.168332
1.848;1.422;192.438000;1.433304
1.872;1.420;194.910000;1.360656
1.896;1.421;197.384000;3.199080
1.920;1.423;199.855000;1.258094
1.944;1.422;202.325000;0.082050
1.968;1.423;204.798000;3.958894
1.992;1.425;207.271000;1.398262
2.016;1.424;209.741000;0.427342
2.040;1.425;212.217000;2.305081
2.064;1.426;214.690000;1.853808
2.088;1.427;217.160000;1.523901
2.112;1.425;219.633000;0.699131
2.136;1.427;222.104000;3.132415
2.160;1.428;224.578000;2.570888
2.184;1.425;227.050000;1.387151
2.208;1.426;229.521000;1.375186
2.232;1.426;231.994000;1.291427
2.256;1.425;234.466000;0.850410
2.280;1.427;236.940000;2.767465
2.304;1.428;239.411000;1.269205
2.328;1.428;241.882000;2.764901
2.352;1.430;244.353000;1.538430
2.376;1.429;246.824000;2.569178
