ml;pH;sec;dpH/dml
0.000;1.618;2.090000;2.246108
0.024;1.619;4.562000;0.075212
0.048;1.619;7.033000;2.499094
0.072;1.621;9.503000;2.903360
0.096;1.621;11.974000;0.832462
0.120;1.621;14.445000;1.853808
0.144;1.622;16.918000;1.218779
0.168;1.622;19.396000;1.135020
0.192;1.622;21.866000;0.111964
0.216;1.622;24.336000;1.514499
0.240;1.623;26.808000;0.199996
0.264;1.622;29.282000;1.324759
0.288;1.622;31.754000;3.312753
0.312;1.624;34.226000;3.729839
0.336;1.625;36.697000;0.643577
0.360;1.625;39.172000;2.011925
0.384;1.626;41.643000;0.916221
0.408;1.626;44.113000;0.191449
0.432;1.626;46.583000;2.463198
0.456;1.628;49.057000;2.765756
0.480;1.629;51.527000;0.950408
0.504;1.627;54.001000;2.252946
0.528;1.630;56.476000;4.804176
0.552;1.631;58.947000;0.594005
0.576;1.630;61.418000;0.470076
0.600;1.631;63.891000;2.088846
0.624;1.632;66.365000;0.707678
0.648;1.632;68.838000;2.395678
0.672;1.634;71.308000;2.910197
0.696;1.634;73.778000;0.014530
0.720;1.634;76.249000;1.535866
0.744;1.636;78.721000;1.617061
0.768;1.635;81.191000;0.211107
0.792;1.636;83.662000;5.134084
0.816;1.639;86.134000;2.876010
0.840;1.638;88.604000;0.965792
0.864;1.638;91.076000;2.220468
0.888;1.640;93.546000;0.441871
0.912;1.639;96.019000;1.655522
0.936;1.641;98.490000;3.071732
0.960;1.641;100.963000;1.376895
0.984;1.640;103.436000;5.954580
1.008;1.646;105.906000;6.273377
1.032;1.645;108.378000;0.431615
1.056;1.646;110.849000;2.143546
1.080;1.647;113.320000;0.180338
1.104;1.646;115.791000;0.632466
1.128;1.647;118.262000;3.112757
1.152;1.649;120.739000;3.849494
1.176;1.650;123.209000;1.576036
1.200;1.650;125.683000;1.970045
1.224;1.652;128.154000;4.897336
1.248;1.654;130.626000;2.420464
1.272;1.654;133.097000;0.587168
1.296;1.654;135.568000;5.369121
1.320;1.658;138.038000;3.142671
1.344;1.656;140.510000;1.540140
1.368;1.657;142.983000;3.529843
1.392;1.659;145.458000;2.370892
1.416;1.659;147.929000;1.406809
1.440;1.658;150.402000;3.924706
1.464;1.662;152.872000;3.784538
1.488;1.661;155.345000;1.078611
1.512;1.661;157.817000;5.025539
1.536;1.665;160.289000;3.148654
1.560;1.664;162.761000;1.679453
1.584;1.667;165.232000;4.312733
1.608;1.667;167.705000;0.480332
1.632;1.666;170.176000;2.738406
1.656;1.670;172.648000;5.300747
1.680;1.671;175.119000;0.522212
1.704;1.670;177.590000;0.216235
1.728;1.671;180.062000;2.280295
1.752;1.672;182.533000;4.946908
1.776;1.675;185.009000;3.325573
1.800;1.675;187.480000;0.381189
1.824;1.675;189.951000;2.260638
1.848;1.676;192.426000;1.528174
1.872;1.676;194.896000;1.672616
1.896;1.678;197.366000;5.308439
1.920;1.681;199.842000;2.378584
1.944;1.680;202.316000;1.299974
1.968;1.680;204.794000;0.805112
1.992;1.679;207.268000;2.535846
2.016;1.682;209.738000;3.094809
2.040;1.682;212.209000;1.205958
2.064;1.683;214.680000;7.701553
2.088;1.688;217.152000;6.757127
2.112;1.689;219.625000;0.301703
2.136;1.688;222.097000;0.741011
2.160;1.689;224.568000;3.319591
2.184;1.691;227.040000;0.467512
2.208;1.689;229.511000;0.561527
2.232;1.692;231.981000;5.725524
2.256;1.693;234.454000;0.480332
2.280;1.692;236.925000;1.268350
2.304;1.695;239.397000;4.359740
2.328;1.696;241.872000;1.988848
2.352;1.696;244.342000;0.440162
2.376;1.695;246.813000;3.558047
2.400;1.699;249.285000;4.290511
2.424;1.699;251.755000;2.489693
2.448;1.701;254.228000;8.639995
2.472;1.706;256.699000;3.837529
2.496;1.704;259.170000;2.093974
2.520;1.708;261.643000;3.419589
2.544;1.707;264.114000;0.068375
2.568;1.708;266.586000;1.925602
2.592;1.709;269.058000;4.109318
2.616;1.711;271.528000;2.205938
2.640;1.711;274.002000;2.138418
2.664;1.713;276.474000;5.557152
2.688;1.715;278.944000;3.012759
2.712;1.715;281.417000;2.499949
