ml;pH;sec;dpH/dml
0.000;2.155;2.095000;9.967318
0.024;2.159;4.562000;9.245111
0.048;2.163;7.033000;13.849291
0.072;2.171;9.505000;15.897967
0.096;2.176;11.977000;12.739057
0.120;2.182;14.452000;17.854337
0.144;2.191;16.924000;19.983354
0.168;2.198;19.395000;13.841599
0.192;2.202;21.865000;13.276653
0.216;2.209;24.337000;17.724425
0.240;2.217;26.820000;18.892778
0.264;2.225;29.290000;18.056897
0.288;2.232;31.752000;19.418408
0.312;2.241;34.225000;18.299627
0.336;2.247;36.697000;18.110742
0.360;2.256;39.173000;19.001323
0.384;2.263;41.648000;23.377302
0.408;2.275;44.311000;23.697808
0.432;2.283;46.785000;16.127022
0.456;2.289;49.264000;20.119249
0.480;2.299;51.725000;24.686677
0.504;2.309;54.386000;19.941474
0.528;2.316;56.857000;19.354307
0.552;2.325;59.329000;20.644879
0.576;2.333;61.822000;20.741458
0.600;2.342;64.273000;22.700393
0.624;2.352;66.744000;27.522517
0.648;2.365;69.405000;25.839645
0.672;2.373;72.067000;28.290022
0.696;2.389;74.727000;25.545634
0.720;2.394;77.197000;20.179076
0.744;2.405;80.243000;29.701959
0.768;2.419;83.094000;32.201909
0.792;2.432;85.946000;22.583301
0.816;2.438;88.431000;21.459392
0.840;2.450;91.462000;28.905394
0.864;2.462;93.932000;32.785657
0.888;2.477;96.973000;33.100181
0.912;2.489;99.634000;25.964429
0.936;2.499;102.675000;29.316497
0.960;2.514;105.717000;42.339309
0.984;2.534;108.757000;39.138519
1.008;2.546;111.608000;24.345658
1.032;2.554;114.080000;24.716591
1.056;2.566;117.120000;31.078000
1.080;2.580;119.972000;45.595653
1.104;2.604;122.633000;35.391587
1.128;2.609;125.106000;34.377078
1.152;2.633;128.337000;50.879306
1.176;2.651;131.569000;42.767505
1.200;2.668;134.611000;36.595836
1.224;2.681;137.464000;33.235221
1.248;2.696;140.317000;36.107812
1.272;2.711;143.362000;54.488634
1.296;2.741;146.212000;57.349260
1.320;2.759;149.443000;41.687185
1.344;2.776;152.484000;46.655460
1.368;2.798;155.719000;57.548401
1.392;2.823;158.570000;47.689627
1.416;2.837;161.422000;49.499847
1.440;2.864;164.273000;63.050853
1.464;2.889;168.454000;59.853482
1.488;2.914;171.688000;54.168983
1.512;2.934;174.919000;57.552674
1.536;2.962;177.960000;72.101096
1.560;2.994;181.001000;68.784070
1.584;3.019;184.231000;66.990089
1.608;3.050;187.082000;101.889379
1.632;3.103;192.592000;99.404814
1.656;3.132;195.633000;67.983231
1.680;3.160;198.868000;86.602510
