"","mL","pH","sec","dpHdml","dvdpH","dpHdv"
"1",0,1.579,2.093,3.683686,NA,NA
"2",0.024,1.577,4.562,3.833255,NA,NA
"3",0.048,1.576,7.034,2.267475,NA,NA
"4",0.072,1.576,9.505,0.236747,NA,NA
"5",0.096,1.576,11.976,3.36147,NA,NA
"6",0.12,1.573,14.447,4.188804,NA,NA
"7",0.144,1.572,16.918,0.520502,-28,-0.0357142857142857
"8",0.168,1.573,19.388,0.2829,-33.6000000000007,-0.0297619047619041
"9",0.192,1.572,21.859,2.681142,-33.5999999999992,-0.0297619047619055
"10",0.216,1.571,24.33,0.037606,-42,-0.0238095238095238
"11",0.24,1.572,26.801,5.461427,-167.999999999981,-0.00595238095238162
"12",0.264,1.575,29.272,1.141002,Inf,0
"13",0.288,1.573,31.743,4.689648,Inf,0
"14",0.312,1.572,34.214,1.817912,-168.000000000019,-0.0059523809523803
"15",0.336,1.572,36.688,2.137563,-83.9999999999999,-0.0119047619047619
"16",0.36,1.57,39.159,2.851224,-83.9999999999999,-0.0119047619047619
"17",0.384,1.569,41.629,1.165788,-167.999999999981,-0.00595238095238162
"18",0.408,1.571,44.1,1.470056,-42,-0.0238095238095238
"19",0.432,1.571,46.571,2.382857,-42,-0.0238095238095238
"20",0.456,1.569,49.041,0.999125,-83.9999999999999,-0.0119047619047619
"21",0.48,1.57,51.512,1.533302,-83.9999999999999,-0.0119047619047619
"22",0.504,1.57,53.982,1.493132,-83.9999999999999,-0.0119047619047619
"23",0.528,1.568,56.452,2.342687,55.9999999999979,0.0178571428571435
"24",0.552,1.572,58.922,2.505077,Inf,0
"25",0.576,1.571,61.392,4.105045,-83.9999999999999,-0.0119047619047619
"26",0.6,1.569,63.862,0.652123,167.999999999981,0.00595238095238162
"27",0.624,1.57,66.333,4.448627,83.9999999999999,0.0119047619047619
"28",0.648,1.572,68.803,0.929896,168.000000000019,0.0059523809523803
"29",0.672,1.571,71.273,3.41617,168.000000000018,0.0059523809523803
"30",0.696,1.569,73.744,0.603407,-167.999999999981,-0.00595238095238162
"31",0.72,1.571,76.215,3.735821,83.9999999999999,0.0119047619047619
"32",0.744,1.573,78.687,0.975194,167.999999999981,0.00595238095238162
"33",0.768,1.57,81.157,0.361531,83.9999999999999,0.0119047619047619
"34",0.792,1.572,83.628,1.414501,Inf,0
"35",0.816,1.572,86.107,1.946969,55.9999999999979,0.0178571428571435
"36",0.84,1.574,88.578,2.159785,42,0.0238095238095238
"37",0.864,1.573,91.049,1.156387,83.9999999999999,0.0119047619047619
"38",0.888,1.573,93.52,0.276917,167.999999999981,0.00595238095238162
"39",0.912,1.574,95.991,3.79394,28,0.0357142857142857
"40",0.936,1.576,98.462,4.020431,33.6000000000007,0.0297619047619041
"41",0.96,1.577,100.934,0.961519,56.000000000002,0.0178571428571422
"42",0.984,1.575,103.404,2.22645,168.000000000019,0.0059523809523803
"43",1.008,1.575,105.875,1.354673,55.9999999999979,0.0178571428571435
"44",1.032,1.576,108.348,2.699945,42,0.0238095238095238
"45",1.056,1.577,110.819,0.809385,56.000000000002,0.0178571428571422
"46",1.08,1.577,113.29,0.063247,168.000000000019,0.0059523809523803
"47",1.104,1.577,115.76,1.797399,83.9999999999999,0.0119047619047619
"48",1.128,1.579,118.234,4.558882,28,0.0357142857142858
"49",1.152,1.581,120.704,1.874321,33.5999999999992,0.0297619047619055
"50",1.176,1.58,123.176,2.51106,56.000000000002,0.0178571428571422
"51",1.2,1.579,125.648,0.143587,55.9999999999979,0.0178571428571435
"52",1.224,1.58,128.12,4.560591,28,0.0357142857142858
"53",1.248,1.583,130.59,2.339269,33.5999999999992,0.0297619047619055
"54",1.272,1.582,133.062,1.387151,55.9999999999979,0.0178571428571435
"55",1.296,1.582,135.532,1.005108,84,0.0119047619047619
"56",1.32,1.583,138.006,2.677723,42,0.0238095238095238
"57",1.344,1.584,140.478,0.550416,42,0.0238095238095238
"58",1.368,1.583,142.948,0.173501,41.9999999999999,0.0238095238095238
"59",1.392,1.584,145.42,3.138398,55.9999999999979,0.0178571428571435
"60",1.416,1.586,147.894,2.94182,41.9999999999999,0.0238095238095238
"61",1.44,1.586,150.366,0.909383,33.6000000000007,0.0297619047619041
"62",1.464,1.587,152.836,2.178588,33.5999999999992,0.0297619047619055
"63",1.488,1.588,155.307,2.093974,41.9999999999999,0.0238095238095238
"64",1.512,1.588,157.777,0.221363,33.5999999999992,0.0297619047619055
"65",1.536,1.588,160.25,1.239291,33.6000000000007,0.0297619047619041
"66",1.56,1.589,162.721,3.786248,33.6000000000007,0.0297619047619041
"67",1.584,1.591,165.192,2.026454,33.6000000000007,0.0297619047619041
"68",1.608,1.591,167.663,0.09316,33.5999999999992,0.0297619047619055
"69",1.632,1.592,170.135,1.508516,41.9999999999999,0.0238095238095238
"70",1.656,1.592,172.606,3.107629,28,0.0357142857142858
