FileCreation,22-03-2022 09:03:41
SetupFile,FCT_1A_CTvand
Comment,

TimeStamp,ConT0201 [muS/cm],PHT0201 [-],ConT0301 [muS/cm],FT0301 [ml/min],PT0301 [bar],PT0302 [bar],PT0501 [bar],ConT0501 [muS/cm],TT0501 [C],PT0601 [bar],TT0601 [C],CV0301 [%],PMP0301 [ml/min],PMP0501 [%],FT0301_Avg [ml/min],PT0301_Avg [bar],PT0302_Avg [bar],PT0501_Avg [bar],FT0302 [ml/min],FT0302_Weight [g],FT0501 [ml/min],FT0501_Weight [g],PHT0301 [-],PHT0501 [-]
22-03-2022 08:48:20,443.65,7.92,447.40,15.63,0.00,0.00,0.15,50.11,21.15,4.70,22.69,0.00,0.00,0.00,288.11,0.00,0.00,0.15,0.00,0.00,0.43,0.70,0.00,0.00
22-03-2022 09:03:41,969.45,8.09,455.64,1273.96,0.05,0.00,0.03,48.62,21.36,4.71,22.70,0.00,500.00,0.00,642.98,0.05,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:42,995.61,8.30,456.56,1237.34,0.04,0.00,0.03,48.52,21.36,4.73,22.70,0.00,500.00,0.00,686.13,0.05,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:43,999.39,8.46,452.28,1188.88,0.04,0.00,0.03,48.59,21.36,4.70,22.69,0.00,500.00,0.00,726.10,0.05,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:44,999.66,8.60,455.64,1219.64,0.03,0.00,0.03,48.37,21.36,4.71,22.69,0.00,500.00,0.00,767.84,0.05,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:45,999.66,8.68,455.64,1208.90,0.05,0.00,0.03,48.52,21.36,4.70,22.69,0.00,500.00,0.00,809.49,0.05,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:46,999.76,8.75,451.67,1231.85,0.04,0.00,0.03,48.59,21.36,4.71,22.70,0.00,500.00,0.00,849.87,0.05,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:47,999.73,8.80,452.59,1210.00,0.04,0.00,0.03,48.52,21.36,4.73,22.70,0.00,500.00,0.00,891.73,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:48,999.82,8.84,452.59,1243.93,0.01,0.00,0.03,48.59,21.35,4.71,22.69,0.00,500.00,0.00,934.03,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:49,999.82,8.87,452.59,1238.44,0.04,0.00,0.03,48.52,21.36,4.75,22.69,0.00,500.00,0.00,976.69,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:50,999.66,8.89,451.37,1243.93,0.04,0.00,0.03,48.62,21.36,4.70,22.69,0.00,500.00,0.00,1018.82,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:51,999.63,8.90,450.15,1202.06,0.05,0.00,0.03,48.49,21.36,4.71,22.69,0.00,500.00,0.00,1059.05,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:52,999.76,8.92,448.62,1178.26,0.05,0.00,0.03,48.59,21.36,4.73,22.69,0.00,500.00,0.00,1099.57,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:53,999.76,8.92,450.15,1195.59,0.04,0.00,0.03,48.43,21.36,4.71,22.69,0.00,500.00,0.00,1140.73,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:54,999.82,8.93,449.23,1201.33,0.04,0.00,0.03,48.52,21.36,4.71,22.69,0.00,500.00,0.00,1180.05,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:55,999.60,8.94,449.54,1221.47,0.05,0.00,0.03,48.40,21.36,4.71,22.69,0.00,500.00,0.00,1213.18,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:56,999.76,8.95,450.45,1213.90,0.04,0.00,0.03,48.62,21.36,4.71,22.69,0.00,500.00,0.00,1228.67,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:58,999.82,8.95,447.10,1228.92,0.04,0.00,0.03,48.49,21.36,4.70,22.69,0.00,500.00,0.00,1236.53,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:03:59,999.66,8.96,447.10,1218.42,0.03,0.00,0.03,48.52,21.36,4.71,22.69,0.00,500.00,0.00,1241.23,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:04:00,999.63,8.96,444.65,1166.78,0.00,0.00,0.03,48.52,21.36,4.71,22.69,0.00,500.00,0.00,1241.43,0.04,0.00,0.03,0.00,0.00,0.00,0.70,0.00,0.00
22-03-2022 09:04:01,999.82,8.97,445.57,667.26,0.00,0.00,0.03,48.71,21.37,4.71,22.69,0.00,500.00,0.00,1225.89,0.03,0.00,0.03,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:02,999.73,8.97,446.18,348.77,0.00,0.00,0.03,48.59,21.36,4.71,22.69,0.00,0.00,0.00,1193.05,0.03,0.00,0.03,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:03,999.54,8.98,447.71,178.59,0.00,0.00,0.03,48.49,21.36,4.71,22.69,0.00,0.00,0.00,1158.56,0.03,0.00,0.03,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:04,999.73,8.98,447.40,44.19,0.00,0.00,0.03,48.59,21.36,4.71,22.70,0.00,0.00,0.00,1119.03,0.02,0.00,0.03,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:05,1000.00,8.99,436.72,19.17,0.00,0.00,0.02,47.67,21.35,4.71,22.69,0.00,0.00,0.00,1078.56,0.02,0.00,0.03,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:06,998.17,8.99,454.12,0.00,0.00,0.00,0.03,48.83,21.36,4.70,22.68,0.00,0.00,0.00,1034.90,0.01,0.00,0.03,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:07,1000.00,8.99,495.62,0.00,0.00,0.00,0.02,47.12,21.36,4.71,22.70,0.00,0.00,0.00,992.72,0.01,0.00,0.03,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:08,999.39,8.99,451.67,0.00,0.00,0.00,0.02,47.88,21.36,4.73,22.69,0.00,0.00,0.00,952.65,0.00,0.00,0.03,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:09,999.42,9.00,450.45,15.38,0.00,0.00,0.03,50.20,21.37,4.71,22.71,0.00,0.00,0.00,909.63,0.00,0.00,0.03,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:10,999.76,9.00,450.45,15.50,0.00,0.00,0.02,47.67,21.35,4.73,22.71,0.00,0.00,0.00,865.00,0.00,0.00,0.03,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:11,1000.00,9.00,450.45,15.50,0.00,0.00,0.03,50.94,21.38,4.71,22.69,0.00,0.00,0.00,820.92,0.00,0.00,0.03,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:12,999.02,9.00,442.21,15.02,0.00,0.00,0.03,49.84,21.37,4.71,22.69,0.00,0.00,0.00,779.73,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:13,998.78,9.00,430.31,16.36,0.00,0.00,0.02,47.76,21.37,4.70,22.70,0.00,0.00,0.00,737.61,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:14,1000.00,9.00,445.57,15.14,0.00,0.00,0.02,48.19,21.36,4.71,22.69,0.00,0.00,0.00,696.36,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:15,999.82,9.00,442.52,15.87,0.00,0.00,0.03,48.95,21.37,4.72,22.71,0.00,0.00,0.00,656.27,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:16,999.08,9.00,431.23,15.50,0.00,0.00,0.03,48.95,21.36,4.70,22.70,0.00,0.00,0.00,613.97,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:17,1000.00,9.00,443.13,16.24,0.00,0.00,0.02,48.07,21.35,4.72,22.69,0.00,0.00,0.00,572.46,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:18,998.81,9.00,455.34,15.63,0.00,0.00,0.03,49.68,21.36,4.71,22.71,0.00,0.00,0.00,529.86,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:19,999.11,9.00,446.18,15.38,0.00,0.00,0.02,47.88,21.37,4.71,22.70,0.00,0.00,0.00,489.22,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:20,997.96,9.00,429.40,15.63,0.00,0.00,0.02,49.32,21.36,4.70,22.70,0.00,0.00,0.00,445.51,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:21,999.30,9.00,469.68,15.50,0.00,0.00,0.02,48.37,21.37,4.71,22.69,0.00,0.00,0.00,403.97,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:22,1000.00,9.00,425.73,16.24,0.00,0.00,0.02,47.91,21.37,4.71,22.70,0.00,0.00,0.00,364.96,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:23,1000.00,9.00,433.67,15.87,0.00,0.00,0.02,47.98,21.36,4.71,22.70,0.00,0.00,0.00,323.87,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:24,999.60,9.00,454.42,15.99,0.00,0.00,0.02,48.62,21.37,4.74,22.69,0.00,0.00,0.00,282.55,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:25,999.21,9.00,446.49,16.24,0.00,0.00,0.02,49.13,21.37,4.71,22.69,0.00,0.00,0.00,240.62,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:26,999.73,9.00,447.40,15.63,0.00,0.00,0.02,48.65,21.36,4.70,22.70,0.00,0.00,0.00,198.67,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:27,999.85,9.00,446.49,15.63,0.00,0.00,0.02,48.52,21.37,4.71,22.69,0.00,0.00,0.00,156.51,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:29,999.66,9.00,446.49,15.87,0.00,0.00,0.02,48.43,21.37,4.70,22.69,0.00,0.00,0.00,113.97,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:30,999.60,9.00,445.57,15.87,0.00,0.00,0.02,48.37,21.36,4.71,22.70,0.00,0.00,0.00,72.04,0.00,0.00,0.02,0.00,0.00,0.20,0.80,0.00,0.00
22-03-2022 09:04:31,999.66,9.00,446.49,15.87,0.00,0.00,0.02,48.62,21.36,4.72,22.70,0.00,0.00,0.00,42.18,0.00,0.00,0.02,0.00,0.00,0.00,0.80,0.00,0.00
22-03-2022 09:04:32,999.85,8.99,446.18,15.87,0.00,0.00,0.02,48.49,21.37,4.70,22.70,0.00,0.00,0.00,25.81,0.00,0.00,0.02,0.00,0.00,0.00,0.80,0.00,0.00
22-03-2022 09:04:33,999.60,9.00,447.71,15.87,0.00,0.00,0.02,48.40,21.37,4.74,22.70,0.00,0.00,0.00,17.63,0.00,0.00,0.02,0.00,0.00,0.00,0.80,0.00,0.00
22-03-2022 09:04:34,999.60,9.00,447.10,15.87,0.00,0.00,0.02,48.59,21.37,4.71,22.70,0.00,0.00,0.00,14.73,0.00,0.00,0.02,0.00,0.00,0.00,0.80,0.00,0.00
22-03-2022 09:04:35,999.54,8.99,447.10,15.50,0.00,0.00,0.02,48.40,21.37,4.71,22.69,0.00,0.00,0.00,14.28,0.00,0.00,0.02,0.00,0.00,0.00,0.80,0.00,0.00
22-03-2022 09:04:36,999.82,8.99,449.54,15.63,0.00,0.00,0.02,48.59,21.37,4.69,22.69,0.00,0.00,0.00,14.69,0.00,0.00,0.02,0.00,0.00,0.00,0.80,0.00,0.00
22-03-2022 09:04:37,999.73,8.99,445.57,15.87,0.00,0.00,0.02,48.59,21.37,4.70,22.69,0.00,0.00,0.00,15.21,0.00,0.00,0.02,0.00,0.00,0.00,0.80,0.00,0.00
22-03-2022 09:04:38,999.60,8.99,446.18,15.87,0.00,0.00,0.02,48.43,21.37,4.72,22.69,0.00,0.00,0.00,15.70,0.00,0.00,0.02,0.00,0.00,0.00,0.80,0.00,0.00
22-03-2022 09:04:39,999.60,9.00,447.71,15.63,0.00,0.00,0.02,48.49,21.37,4.70,22.70,0.00,0.00,0.00,15.77,0.00,0.00,0.02,0.00,0.00,0.00,0.80,0.00,0.00
22-03-2022 09:04:40,999.51,8.99,445.57,15.50,0.00,0.00,0.02,48.62,21.37,4.73,22.70,0.00,0.00,0.00,15.76,0.00,0.00,0.02,0.00,0.00,0.00,0.80,0.00,0.00
