//Comments
											
//Filter test
//Comment
//Data
TimeStamp	P_Misc.rLT0101 [m]	P_Misc.rConT0201 [muS/cm]	P_Misc.rPHT0201 [-]	P_Misc.rConT0301 [muS/cm]	P_Misc.rFT0301 [ml/min]	P_Misc.rPT0301 [bar]	P_Misc.rPT0302 [bar]	P_Misc.rPT0401 [bar]	P_Misc.rFT0401 [ml/min]	P_Misc.rPT0501 [bar]	P_Misc.rConT0501 [muS/cm]	P_Misc.rTT0501 [C]	P_Misc.rPT0601 [bar]	P_Misc.rTT0601 [C]	P_Misc.bPV0201 [1=open]	P_Misc.bPV0301 [1=open]	P_Misc.bPV0302 [1=open]	P_Misc.bPV0303 [1=open]	P_Misc.bPV0501 [1=open]	P_Misc.rCV0301 [%]	P_Misc.rPMP0201 [ml/min]	P_Misc.rPMP0301 [ml/min]	P_Misc.rPMP0401 [%]	P_Misc.rPMP0501 [%]	P_Misc.rFT0301_Avg [ml/min]	P_Misc.rPT0301_Avg [bar]	P_Misc.rPT0302_Avg [bar]	P_Misc.rPT0401_Avg [bar]	P_Misc.rFT0401_Avg [ml/min]	P_Misc.rPT0501_Avg [bar]	P_Misc.rFT0302 [ml/min]	P_Misc.rFT0302_Weight [g]	P_Misc.rFT0501 [ml/min]	P_Misc.rFT0501_Weight [g]	P_Misc.bPV0401 [1=open]	P_Misc.rPHT0301 [-]	P_Misc.rPHT0501 [-]	P_Misc.rConT0302 [muS/cm]	P_Misc.iSystemState [-]
23-09-2021 10:37:33	0.00000	415.05	8.02	417.49	1177.40	2.501	2.381	0.000	0.00	0.000	119.79	23.00	4.818	24.45	1	0	0	0	1	0.00	0.00	384.28	0.00	0.00	1173.98	2.535	2.423	0.000	0.00	0.000	0.00	147.699997	17.13	55.500000	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:34	0.00000	414.93	8.02	416.27	1158.12	2.505	2.397	0.000	0.00	0.000	119.79	23.01	4.799	24.45	1	0	0	0	1	0.00	0.00	384.28	0.00	0.00	1173.58	2.533	2.421	0.000	0.00	0.000	0.00	147.699997	17.93	55.900002	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:35	0.00000	413.92	8.02	404.37	1163.12	2.579	2.456	0.000	0.00	0.000	120.64	23.00	4.806	24.45	1	0	0	0	1	0.00	0.00	384.28	0.00	0.00	1173.52	2.531	2.419	0.000	0.00	0.000	0.00	147.699997	17.73	56.099998	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:36	0.00000	414.84	8.02	416.58	1169.59	2.544	2.433	0.000	0.00	0.000	120.67	23.01	4.777	24.45	1	0	0	0	1	0.00	0.00	384.28	0.00	0.00	1173.11	2.528	2.416	0.000	0.00	0.000	0.00	147.699997	17.34	56.299999	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:37	0.00000	414.87	8.03	417.49	1168.37	2.494	2.369	0.000	0.00	0.000	120.94	23.01	4.790	24.45	1	0	0	0	1	0.00	0.00	382.89	0.00	0.00	1173.42	2.524	2.412	0.000	0.00	0.000	0.00	147.699997	17.33	56.599998	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:38	0.00000	414.99	8.02	417.19	1147.13	2.414	2.323	0.000	0.00	0.000	121.56	23.01	4.791	24.45	1	0	0	0	1	0.00	0.00	382.89	0.00	0.00	1172.73	2.521	2.409	0.000	0.00	0.000	0.00	147.699997	17.32	57.000000	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:39	0.00000	414.75	8.02	416.58	1144.20	2.424	2.315	0.000	0.00	0.000	121.68	23.00	4.797	24.46	1	0	0	0	1	0.00	0.00	382.89	0.00	0.00	1171.37	2.518	2.406	0.000	0.00	0.000	0.00	147.699997	17.74	57.299999	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:40	0.00000	413.65	8.02	417.49	1141.27	2.473	2.360	0.000	0.00	0.000	121.89	23.00	4.797	24.45	1	0	0	0	1	0.00	0.00	382.89	0.00	0.00	1169.94	2.517	2.404	0.000	0.00	0.000	0.00	147.699997	17.14	57.599998	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:41	0.00000	414.93	8.02	417.80	1170.81	2.524	2.411	0.000	0.00	0.000	122.32	23.01	4.798	24.46	1	0	0	0	1	0.00	0.00	382.89	0.00	0.00	1168.84	2.515	2.403	0.000	0.00	0.000	0.00	147.699997	17.74	57.900002	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:42	0.00000	414.78	8.02	415.36	1153.36	2.561	2.453	0.000	0.00	0.000	122.75	23.01	4.813	24.45	1	0	0	0	1	0.00	0.00	382.89	0.00	0.00	1168.30	2.513	2.401	0.000	0.00	0.000	0.00	147.699997	17.74	58.200001	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:43	0.00000	414.84	8.02	417.49	1152.87	2.592	2.477	0.000	0.00	0.000	123.08	23.00	4.820	24.45	1	0	0	0	1	0.00	0.00	381.67	0.00	0.00	1166.82	2.510	2.398	0.000	0.00	0.000	0.00	147.699997	17.94	58.599998	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:44	0.00000	414.72	8.02	417.49	1166.66	2.560	2.460	0.000	0.00	0.000	123.66	23.01	4.787	24.45	1	0	0	0	1	0.00	0.00	381.67	0.00	0.00	1165.93	2.508	2.396	0.000	0.00	0.000	0.00	147.699997	17.74	58.900002	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:45	0.00000	414.08	8.02	420.55	1161.66	2.498	2.385	0.000	0.00	0.000	123.75	23.01	4.788	24.45	1	0	0	0	1	0.00	0.00	381.67	0.00	0.00	1165.55	2.505	2.393	0.000	0.00	0.000	0.00	147.699997	16.94	58.900002	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:46	0.00000	414.65	8.02	417.49	1180.21	2.421	2.323	0.000	0.00	0.000	124.18	23.00	4.793	24.45	1	0	0	0	1	0.00	0.00	381.67	0.00	0.00	1165.36	2.502	2.390	0.000	0.00	0.000	0.00	147.699997	17.50	59.500000	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:47	0.00000	414.72	8.02	416.58	1145.91	2.401	2.289	0.000	0.00	0.000	124.24	23.00	4.794	24.45	1	0	0	0	1	0.00	0.00	381.67	0.00	0.00	1164.87	2.499	2.388	0.000	0.00	0.000	0.00	147.699997	16.90	59.500000	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:48	0.00000	414.87	8.02	416.27	1180.09	2.395	2.310	0.000	0.00	0.000	124.61	23.01	4.796	24.45	1	0	0	0	1	0.00	0.00	381.05	0.00	0.00	1164.37	2.497	2.385	0.000	0.00	0.000	0.00	147.699997	17.56	59.799999	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:49	0.00000	414.84	8.02	416.27	1174.35	2.444	2.335	0.000	0.00	0.000	124.82	23.00	4.797	24.45	1	0	0	0	1	0.00	0.00	381.05	0.00	0.00	1164.60	2.495	2.384	0.000	0.00	0.000	0.00	147.699997	16.94	60.200001	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:50	0.00000	414.84	8.02	423.60	1171.42	2.499	2.389	0.000	0.00	0.000	125.28	23.00	4.801	24.45	1	0	0	0	1	0.00	0.00	381.05	0.00	0.00	1165.13	2.492	2.380	0.000	0.00	0.000	0.00	147.699997	17.54	60.500000	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:51	0.00000	414.93	8.02	417.80	1163.98	2.540	2.434	0.000	0.00	0.000	125.68	23.00	4.824	24.45	1	0	0	0	1	0.00	0.00	381.05	0.00	0.00	1165.39	2.489	2.377	0.000	0.00	0.000	0.00	147.699997	17.36	60.799999	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:52	0.00000	414.75	8.02	417.19	1151.89	2.563	2.449	0.000	0.00	0.000	125.86	23.00	4.798	24.45	1	0	0	0	1	0.00	0.00	380.62	0.00	0.00	1165.05	2.486	2.375	0.000	0.00	0.000	0.00	147.699997	17.54	61.200001	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:53	0.00000	414.62	8.02	415.66	1166.78	2.527	2.393	0.000	0.00	0.000	125.80	23.00	4.785	24.45	1	0	0	0	1	0.00	0.00	380.62	0.00	0.00	1164.85	2.484	2.373	0.000	0.00	0.000	0.00	147.699997	17.74	61.500000	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:54	0.00000	414.75	8.02	416.58	1166.42	2.511	2.361	0.000	0.00	0.000	126.50	23.00	4.792	24.45	1	0	0	0	1	0.00	0.00	380.62	0.00	0.00	1165.30	2.483	2.371	0.000	0.00	0.000	0.00	147.699997	17.53	61.700001	0.00	0.00	0.00	0.00	20
23-09-2021 10:37:55	0.00000	413.98	8.02	417.19	1159.22	2.446	2.332	0.000	0.00	0.000	126.44	23.00	4.798	24.46	1	0	0	0	1	0.00	0.00	380.62	0.00	0.00	1165.55	2.482	2.370	0.000	0.00	0.000	0.00	147.699997	17.53	61.900002	0.00	0.00	0.00	0.00	20
