"navn"	"SiO2 [mg/l]"	"Na  [mg/l]"	"Cl  [mg/l]"	"SO4 [mg/L]"	"Ca  [mg/l]"	"pH"	"Rej_Cl"	"Rej_SO4"	"Rej_Na"	"Rej_Ca"	"Rej_SiO2"	"state"
"ICR 20 F"	74	552.115525114155	169.941199841081	506.27151416122	19.1530769230769	9.77	-1.20049001500906	98.6828338880136	69.739433131012	77.4127474998996	36.7567567567568	"Batch"
"ICR 40 F"	73.6	560.604109589041	172.700437028208	521.165305010893	17.5838461538462	9.76	6.79454412025206	98.7493200412391	70.1650535177723	83.4200971171092	34.2391304347826	"Batch"
"ICR 60 F"	74.6	578.088127853881	174.538438617402	540.146786492375	15.7444230769231	9.75	-1.88504444152324	98.746154998011	70.2204479732831	82.7411415519537	31.9034852546917	"Batch"
"ICR 80 F"	74	593.371232876712	172.84147794994	561.252450980392	14.6828846153846	9.75	-3.1540058201277	98.754439160394	70.7729535515278	85.6884651150607	31.8918918918919	"Batch"
"ICR 100 F"	75.6	598.94200913242	169.192292411601	570.833061002179	14.6896153846154	9.75	-6.52361003811139	98.7444533869822	70.493594870102	85.2446783441992	32.010582010582	"Batch"
"ICR 120 F"	77.2	619.636073059361	169.559793404847	596.682734204793	14.4069230769231	9.74	8.51166403456566	98.7077930405898	71.5915882278816	85.8187837044156	33.6787564766839	"Batch"
"ICR 140 F"	80.2	635.97397260274	168.870480731029	621.448529411765	14.4367307692308	9.74	-7.50093519069657	98.879734473757	71.6323002219298	88.3550239106979	34.1645885286783	"Batch"
"ICR 160 F"	82	664.754794520548	170.653357171236	645.647875816994	14.4069230769231	9.74	6.26113851157474	98.6894824109306	72.8642689686107	84.9858508195846	34.1463414634146	"Batch"
"ICR 180 F"	81.6	670.019634703196	173.847139451728	679.139161220044	13.98	9.74	9.38042944809812	98.6936998531157	72.451022017347	84.9537801254539	34.8039215686274	"Batch"
"ICR 200 F"	81.6	688.83698630137	168.083829956297	684.988834422658	7.70019230769231	9.75	6.61715520236748	98.644225948692	73.0103615849095	73.5920681301666	32.5980392156863	"Batch"
"ICR 220 F"	84	715.7	165.797377830751	727.279139433551	13.3588461538462	9.76	-13.1813846714209	98.6636930182295	72.5783040903213	84.6428468603346	35	"Batch"
"ICR 240 F"	81.2	738.754794520548	169.855780691299	757.965413943355	14.1992307692308	9.77	-11.0580735251809	98.6398989095119	73.0052667916456	85.2619318489626	29.8029556650246	"Batch"
"ICR 270 F"	84.6	786.818721461187	166.805522447358	823.343954248366	13.9069230769231	9.77	-13.9862617437916	98.6461732949781	73.7988594031917	85.7099397090547	33.806146572104	"Batch"
"ICR 300 F"	86.8	828.937442922374	164.322407628129	885.22848583878	14.0098076923077	9.78	-17.4528740968014	98.6050245511618	74.1472964509222	86.9418401943693	33.8709677419355	"Batch"
"ICR 360 F"	92.4	958.225114155251	158.066448152563	1056.14079520697	14.5809615384615	9.8	-24.566533011858	98.5196803939199	75.5431345910175	84.6018912966065	33.982683982684	"Batch"
