FileCreation,17-03-2022 08:49:34
SetupFile,ICR_volume2_B
Comment,

TimeStamp,ConT0201 [muS/cm],PHT0201 [-],ConT0301 [muS/cm],FT0301 [ml/min],PT0301 [bar],PT0302 [bar],PT0501 [bar],ConT0501 [muS/cm],TT0501 [C],PT0601 [bar],TT0601 [C],CV0301 [%],PMP0301 [ml/min],PMP0501 [%],FT0301_Avg [ml/min],PT0301_Avg [bar],PT0302_Avg [bar],PT0501_Avg [bar],FT0302 [ml/min],FT0302_Weight [g],FT0501 [ml/min],FT0501_Weight [g],PHT0301 [-],PHT0501 [-]
17-03-2022 08:49:34,626.76,8.11,478.23,15.99,0.00,0.00,0.45,243.54,21.14,4.70,22.40,0.00,0.00,0.00,16.05,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00
17-03-2022 08:49:35,630.45,8.11,474.56,15.99,0.00,0.00,0.45,243.45,21.14,4.71,22.40,0.00,0.00,0.00,16.06,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00
17-03-2022 08:49:36,630.76,8.11,473.34,15.87,0.00,0.00,0.45,243.66,21.14,4.71,22.40,0.00,0.00,0.00,16.05,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00
17-03-2022 08:49:37,630.82,8.12,475.48,16.60,0.00,0.00,0.45,243.84,21.14,4.70,22.40,0.00,0.00,0.00,16.06,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00
17-03-2022 08:49:38,634.11,8.12,476.39,15.99,0.00,0.00,0.45,243.63,21.14,4.70,22.40,0.00,0.00,0.00,16.06,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00
17-03-2022 08:49:39,635.21,8.12,474.56,15.99,0.00,0.00,0.45,243.78,21.14,4.70,22.40,0.00,0.00,0.00,16.06,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00
17-03-2022 08:49:40,635.33,8.12,476.09,15.99,0.00,0.00,0.45,243.78,21.14,4.71,22.40,0.00,0.00,0.00,16.05,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00
17-03-2022 08:49:41,635.24,8.13,476.09,16.24,0.00,0.00,0.45,243.66,21.14,4.73,22.40,0.00,0.00,0.00,16.05,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00
17-03-2022 08:49:42,639.27,8.13,474.26,15.99,0.00,0.00,0.44,243.63,21.14,4.69,22.40,0.00,0.00,0.00,16.05,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00
17-03-2022 08:49:43,640.19,8.14,470.29,17.09,0.00,0.00,0.45,244.48,21.13,4.59,22.41,0.00,0.00,0.00,16.05,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00
