Summary							
							
Sequence Details							
Name:		cat_multi_salt_10_10.5_std_ufort			Created On:	02-nov-21 14:26:59	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	05-maj-22 13:32:47	
No. of Injections:		196			Updated By:	Administrator	
							
By Component		Calcium					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Calcium	Calcium	Calcium	Calcium	Calcium	Calcium
1	Stabil	9,134	12,754	30,462	49,350	24,99	 MB
2	Stabil	9,127	12,851	30,699	49,723	25,09	 MB
3	Vand	9,413	0,020	0,050	0,353	36,19	 MB
4	Vand	9,410	0,006	0,018	0,301	45,92	BMB
5	Blind	9,410	0,004	0,012	0,293	41,26	BMB
6	Blind	9,413	0,003	0,007	0,287	42,72	BMB
7	Std 1 mg/l	9,397	0,211	0,612	1,090	23,16	BMB
8	Std 1 mg/l	9,397	0,223	0,645	1,136	23,50	BMB
9	Std 2,5 mg/l	9,390	0,600	1,673	2,586	24,05	 MB*
10	Std 2,5 mg/l	9,390	0,605	1,688	2,604	24,11	 MB
11	Std 5 mg/l	9,370	1,264	3,455	5,140	24,88	 MB
12	Std 5 mg/l	9,370	1,261	3,450	5,128	24,78	 MB
13	Std 10 mg/l	9,337	2,511	6,751	9,937	24,89	 MB
14	Std 10 mg/l	9,353	2,534	7,543	10,027	24,79	 M 
15	Std 25 mg/l	9,250	6,423	16,524	24,989	24,97	 MB
16	Std 25 mg/l	9,243	6,442	16,580	25,063	24,96	 MB
17	Std 50 mg/l	9,133	12,686	30,411	49,086	25,10	 MB
18	Std 50 mg/l	9,130	12,857	30,777	49,747	25,10	 MB
19	Std 75 mg/l	9,043	19,329	43,268	74,647	25,20	 MB*
20	Std 75 mg/l	9,080	18,942	42,197	73,159	25,30	 MB*
21	Std 100 mg/l	8,967	26,056	55,044	100,529	25,35	 M *
22	Std 100 mg/l	8,967	25,993	54,900	100,289	25,38	 MB
23	F 0 5x Stu_21_10_2021 pH 10	9,417	0,060	0,172	0,509	0,39	BMB
24	F 0 5x	9,417	0,082	0,235	0,594	0,54	 MB
25	F 0 ufort	9,393	0,781	2,097	3,283	1,05	 M 
26	F 0 ufort	9,393	0,787	2,152	3,305	1,06	 M 
27	3 F 5x	9,400	0,480	1,389	2,124	2,47	BM 
28	3 F 5x	9,393	0,776	2,142	3,263	4,01	BM 
29	3 F ufort	9,350	2,632	7,110	10,404	2,80	 M 
30	3 F ufort	9,357	2,618	7,094	10,352	2,79	 M 
31	3 P 5x	9,410	0,160	0,449	0,892	2,77	BMB
32	3 P 5x	9,407	0,133	0,375	0,788	2,32	BMB
33	3 P ufort	9,397	0,454	1,242	2,023	1,60	 MB
34	3 P ufort	9,400	0,408	1,137	1,848	1,43	 M 
35	F 4 5x	9,390	0,738	2,034	3,116	3,35	BM 
36	F 4 5x	9,390	0,961	2,641	3,973	4,40	BM 
37	F 4 ufort	9,343	2,981	8,027	11,746	2,82	 M 
38	F 4 ufort	9,340	2,977	8,049	11,732	2,80	 M 
39	P 4 5x	9,397	0,168	0,472	0,924	2,62	BMB
40	P 4 5x	9,417	0,135	0,381	0,798	2,17	 MB
41	P 4 ufort	9,400	0,428	1,176	1,925	1,38	 MB
42	P 4 ufort	9,410	0,373	1,040	1,713	1,21	 M 
43	F 5 5x	9,387	0,954	2,622	3,949	3,73	BM 
44	F 5 5x	9,380	1,141	3,134	4,669	4,45	BM 
45	F 5 ufort	9,333	3,569	9,562	14,010	2,87	 M 
46	F 5 ufort	9,337	3,513	9,446	13,794	2,85	 M 
47	P 5 5x	9,410	0,161	0,451	0,895	2,26	BMB
48	P 5 5x	9,410	0,137	0,388	0,806	1,96	BMB
49	P 5 ufort	9,407	0,483	1,327	2,137	1,40	 M 
50	P 5 ufort	9,403	0,422	1,171	1,901	1,22	 M 
51	F 5,5 5x	9,383	1,117	3,061	4,576	3,87	BM 
52	F 5,5 5x	9,377	1,261	3,447	5,131	4,37	BM 
