Summary							
							
Sequence Details							
Name:		multi_salt_9.2_std			Created On:	26-okt-21 13:39:17	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	05-maj-22 13:46:58	
No. of Injections:		184			Updated By:	Administrator	
							
By Component		Calcium					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Calcium	Calcium	Calcium	Calcium	Calcium	Calcium
1	Stabil	9,237	6,439	16,576	25,117	24,87	 MB
2	Stabil	9,250	6,521	16,618	25,433	25,15	 M 
3	Vand	9,410	0,012	0,033	0,239	32,46	BMB
4	Vand	9,400	0,008	0,021	0,223	30,92	BMB
5	Blind	9,300	0,009	0,024	0,226	20,87	BMB
6	Blind	9,417	0,009	0,025	0,228	35,71	BMB
7	Std 1 mg/l	9,403	0,239	0,670	1,116	24,83	 MB
8	Std 1 mg/l	9,403	0,236	0,665	1,107	23,77	 MB
9	Std 2,5 mg/l	9,390	0,594	1,639	2,491	24,28	 MB
10	Std 2,5 mg/l	9,387	0,648	2,064	2,703	24,59	 MB
11	Std 5 mg/l	9,370	1,275	3,472	5,128	24,88	 MB
12	Std 5 mg/l	9,363	1,261	3,442	5,073	24,81	 MB
13	Std 10 mg/l	9,327	2,553	6,841	10,074	25,01	 MB
14	Std 10 mg/l	9,330	2,513	6,751	9,918	24,99	 MB
15	Std 25 mg/l	9,243	6,331	16,331	24,699	25,01	 MB
16	Std 25 mg/l	9,243	6,410	16,516	25,005	25,01	 MB
17	Std 50 mg/l	9,133	12,775	30,641	49,643	25,18	 MB
18	Std 50 mg/l	9,137	12,902	30,922	50,131	25,18	 MB
19	Std 75 mg/l	9,050	19,057	43,024	73,959	25,16	 M 
20	Std 75 mg/l	9,050	19,327	43,359	75,002	25,22	 MB*
21	Std 100 mg/l	8,983	26,224	55,220	101,700	25,46	 M 
22	Std 100 mg/l	8,970	25,591	54,289	99,250	25,40	 M *
23	F 0 5x Stu_20_10_2021 pH 9,2	9,397	0,394	1,101	1,717	2,84	 MB
24	F 0 5x	9,393	0,440	1,229	1,895	3,18	 MB
25	F 0 ufort	9,240	2,003	5,357	7,946	2,88	 MB
26	F 0 ufort	9,353	1,980	5,414	7,858	2,88	 M 
27	3,5 F 5x	9,323	1,387	3,862	5,560	8,37	BMB
28	3,5 F 5x	9,373	1,386	3,812	5,557	8,38	BMB
29	3,5 F ufort	9,267	6,188	16,226	24,143	7,62	 M 
30	3,5 F ufort	9,263	6,225	16,308	24,286	7,62	 M 
31	3,5 P 5x	9,397	0,406	1,140	1,766	5,01	BMB
32	3,5 P 5x	9,407	0,304	0,862	1,370	3,85	BMB
33	3,5 P ufort	9,370	1,303	3,550	5,236	3,32	 MB
34	3,5 P ufort	9,373	1,304	3,578	5,239	3,31	 MB
35	F 5 5x	9,360	1,646	4,513	6,566	8,75	BMB
36	F 5 5x	9,360	1,686	4,620	6,718	8,94	BMB
37	F 5 ufort	9,257	7,257	18,704	28,284	8,09	 M 
38	F 5 ufort	9,233	7,528	19,432	29,330	8,24	 M 
39	P 5 5x	9,397	0,484	1,355	2,065	5,35	BMB
40	P 5 5x	8,697	0,363	1,027	1,598	3,64	BMB
41	P 5 ufort	9,367	1,495	4,066	5,979	3,40	 MB
42	P 5 ufort	9,367	1,452	3,975	5,811	3,36	 MB
43	F 6 5x	9,360	1,898	5,187	7,538	9,17	BMB
44	F 6 5x	9,353	1,938	5,288	7,694	9,39	BMB
45	F 6 ufort	9,217	8,648	21,972	33,667	8,63	 M 
46	F 6 ufort	9,213	8,767	22,176	34,126	8,67	 M 
47	P 6 5x	9,397	0,450	1,262	1,936	4,82	BMB
48	P 6 5x	9,403	0,352	0,992	1,554	3,82	BMB
49	P 6 ufort	9,373	1,439	3,904	5,762	3,26	 MB
50	P 6 ufort	9,373	1,497	4,086	5,989	3,29	 MB
51	F 7 5x	9,263	0,002	0,014	0,202	0,01	 M 
52	F 7 5x	9,343	2,294	6,238	9,070	9,91	BMB
53	F 7 ufort	9,190	10,402	25,825	40,457	9,26	 M 
54	F 7 ufort	9,190	10,330	25,695	40,179	9,24	 M 
55	P 7 5x	9,390	0,509	1,420	2,161	4,92	BMB
56	P 7 5x	9,397	0,391	1,097	1,704	3,85	BMB
57	P 7 ufort	9,360	1,651	4,478	6,582	3,31	 MB
58	P 7 ufort	9,360	1,627	4,442	6,492	3,27	 MB
59	F 8  5x	9,333	2,546	6,901	10,047	10,01	BMB
60	F 8 5x	9,337	2,591	7,022	10,221	10,15	BMB
61	F 8 ufort	9,113	11,816	28,840	45,930	9,51	 M 
62	F 8 ufort	9,163	12,020	29,294	46,721	9,59	 M 
63	Kontrol 200x	9,367	1,317	3,594	5,292	46,59	 MB
64	Kontrol 200x	9,370	1,216	3,354	4,898	47,05	 MB
65	Kontrol 20x	9,127	12,745	30,472	49,527	51,26	 M 
66	Kontrol 20x	9,127	12,635	30,275	49,100	51,16	 M 
67	P 8 5x	9,403	0,200	0,570	0,966	1,78	BMB
68	P 8 5x	9,397	0,351	0,991	1,553	3,10	BMB
69	P 8 ufort	9,363	1,795	4,853	7,141	3,20	 MB
70	P 8 ufort	9,357	1,838	5,029	7,307	3,28	 M 
71	F 9 5x	9,363	1,712	4,677	6,820	5,85	BMB
72	F 9 5x	9,357	1,745	4,763	6,947	5,96	BMB
73	F 9 ufort	9,237	7,680	19,726	29,920	5,37	 M 
74	F 9 ufort	9,233	7,770	19,964	30,270	5,40	 M 
75	P 9 5x	9,397	0,549	1,530	2,316	4,60	BMB
76	P 9 5x	9,370	0,477	1,332	2,037	4,09	BMB
77	P 9 ufort	9,353	1,839	4,979	7,312	3,24	 MB
78	P 9 ufort	9,357	1,814	4,955	7,212	3,20	 M 
79	N3 5x 12_10_2021	9,407	0,212	0,603	1,012	3,34	BMB
80	N3 5x	9,400	0,177	0,498	0,876	2,80	 MB
81	N3 ufort	9,390	0,740	2,020	3,058	2,38	 MB
82	N3 ufort	9,383	0,724	1,997	2,994	2,33	 MB
83	N3 5x 19_10_2021	9,343	0,328	0,963	1,461	3,92	 M 
84	N3 5x	9,397	0,342	0,948	1,517	4,10	BMB
85	N3 ufort	9,370	1,517	4,129	6,065	3,71	 M 
86	N3 ufort	9,363	1,523	4,176	6,089	3,71	 M 
87	N3 5x 26_10_2021	9,403	0,385	1,081	1,685	4,19	BMB
88	N3 5x	9,400	0,348	0,966	1,538	3,78	BMB
89	N3 ufort	9,370	1,494	4,041	5,977	3,26	 MB
90	N3 ufort	9,373	1,465	4,012	5,862	3,21	 M 
91	CS_A 5x 12_10_2021	9,387	0,915	2,525	3,734	6,36	 MB
92	CS_A 5x	9,387	0,889	2,462	3,633	6,22	 M 
93	CS_A ufort	9,317	3,753	10,024	14,719	5,21	 M 
94	CS_A ufort	9,307	3,791	10,153	14,865	5,27	 M 
95	CS_B 5x 12_10_2021	9,383	0,971	2,674	3,951	7,04	 MB
96	CS_B 5x	9,363	0,896	2,464	3,662	6,58	 MB
97	CS_B ufort	9,293	4,159	11,065	16,291	6,24	 M 
98	CS_B ufort	9,293	4,145	11,064	16,236	6,26	 M 
99	CS_A 5x 19_10_2021	9,390	0,618	1,713	2,586	4,04	 MB
100	CS_A 5x	9,393	0,536	1,489	2,267	3,52	 MB
101	CS_A ufort	8,533	1,926	4,913	7,647	2,52	 M ^
102	CS_A ufort	9,363	1,911	5,180	7,588	2,53	 M 
103	CS_B 5x 19_10_2021	9,407	0,254	0,718	1,175	1,67	 MB
104	CS_B 5x	9,407	0,303	0,850	1,364	1,99	 MB
105	CS_B ufort	9,383	1,189	3,209	4,794	1,58	 M 
106	CS_B ufort	9,380	1,149	3,134	4,641	1,53	 M 
107	Kontrol 200x	9,367	1,272	3,484	5,118	47,50	 MB
108	Kontrol 200x	9,367	1,218	3,356	4,907	46,88	 MB
109	Kontrol 20x	9,130	12,618	30,131	49,033	51,18	 M 
110	Kontrol 20x	9,123	12,637	30,229	49,109	51,10	 M 
111	CS_A 5x 26_10_2021	9,403	0,160	0,451	0,813	1,15	 MB
112	CS_A 5x	9,410	0,213	0,599	1,019	1,53	 MB
113	CS_A ufort	9,377	1,121	3,000	4,532	1,58	 M 
114	CS_A ufort	9,377	1,088	2,957	4,403	1,55	 M 
115	CS_B 5x 26_10_2021	9,410	0,184	0,534	0,907	1,37	BMB
116	CS_B 5x	9,410	0,214	0,602	1,021	1,60	 MB
117	CS_B ufort	9,383	1,054	2,842	4,274	1,61	 M 
118	CS_B ufort	9,383	1,005	2,793	4,084	1,55	 M 
119	JP 1 5x	9,367	1,335	3,668	5,362	36,79	 M 
120	JP 1 5x	9,363	1,418	3,912	5,682	38,71	 M 
121	JP 1 ufort	9,250	6,623	17,215	25,831	37,49	 M 
122	JP 1 ufort	9,250	6,535	16,986	25,486	37,30	 M 
123	JP 2 5x	9,340	0,375	1,054	1,643	10,60	 M 
124	JP 2 5x	9,400	0,292	0,815	1,323	8,86	 M 
125	JP 2 ufort	9,373	1,373	3,770	5,506	8,24	 M 
126	JP 2 ufort	9,367	1,388	3,808	5,566	8,42	 M 
127	JP 3 5x	9,400	0,435	1,216	1,878	12,59	 M 
128	JP 3 5x	9,403	0,376	1,046	1,646	11,08	 M 
129	JP 3 ufort	9,353	1,765	4,818	7,024	10,51	 M 
130	JP 3 ufort	9,357	1,762	4,816	7,014	10,52	 M 
131	JP 4 5x	9,343	1,419	3,892	5,685	33,30	 M 
132	JP 4 5x	9,367	1,371	3,750	5,499	33,02	 M 
133	JP 4 ufort	9,257	6,330	16,377	24,696	32,27	 M 
134	JP 4 ufort	9,250	6,317	16,367	24,644	32,28	 M 
135	JP 5 5x	9,370	1,319	3,594	5,299	33,36	 M 
136	JP 5 5x	9,373	1,274	3,472	5,125	32,62	 M 
137	JP 5 ufort	9,267	5,753	14,886	22,462	31,35	 M 
138	JP 5 ufort	9,267	5,762	14,898	22,494	31,38	 M 
139	JP 6 5x	9,383	0,947	2,589	3,857	28,03	 M 
140	JP 6 5x	9,380	0,893	2,434	3,650	26,86	 M 
141	JP 6 ufort	9,300	3,997	10,503	15,666	25,42	 M 
142	JP 6 ufort	9,307	3,964	10,453	15,538	25,25	 M 
143	JP 7 5x	9,387	0,691	1,903	2,869	23,19	 M 
144	JP 7 5x	9,393	0,653	1,789	2,719	22,24	 M 
145	JP 7 ufort	9,320	3,127	8,373	12,298	21,46	 M 
146	JP 7 ufort	9,327	3,103	8,363	12,202	21,29	 M 
147	JP 8 5x	9,377	0,894	3,441	3,652	24,93	 M 
148	JP 8 5x	9,370	1,244	3,411	5,008	35,10	 M 
149	JP 8 ufort	9,267	5,702	14,932	22,264	34,01	 M 
150	JP 8 ufort	9,260	5,724	14,990	22,351	34,07	 M 
151	Kontrol 200x	9,347	1,265	3,467	5,090	47,64	 MB
152	Kontrol 200x	9,373	1,205	3,332	4,858	46,84	 MB
153	Kontrol 20x	9,120	12,637	30,183	49,107	51,18	 M 
154	Kontrol 20x	9,120	12,674	30,229	49,249	51,11	 M 
155	JP 9 5x	9,413	0,030	0,085	0,310	0,93	 MB
156	JP 9 5x	9,410	0,074	0,213	0,481	2,22	 MB
157	JP 9 ufort	9,387	0,819	2,249	3,363	4,91	 M 
158	JP 9 ufort	9,373	0,927	2,550	3,781	5,54	 M 
159	JP 10 5x	9,400	0,184	0,523	0,907	5,46	 M 
160	JP 10 5x	9,400	0,130	0,363	0,696	3,96	 M 
161	JP 10 ufort	9,383	0,823	2,272	3,378	5,11	 M 
162	JP 10 ufort	9,487	0,965	2,598	3,928	5,95	 M 
163	JP 11 5x	9,383	0,908	2,491	3,706	25,44	 M 
164	JP 11 5x	9,380	0,856	2,345	3,504	24,62	 M 
165	JP 11 ufort	9,300	3,800	10,079	14,903	23,33	 M 
166	JP 11 ufort	9,300	3,766	9,991	14,771	23,22	 M 
167	JP 12 5x	9,380	1,034	2,835	4,194	27,11	 M 
168	JP 12 5x	9,380	0,984	2,698	4,001	26,35	 M 
169	JP 12 ufort	9,283	4,683	12,305	18,321	25,47	 M 
170	JP 12 ufort	9,247	4,783	12,535	18,707	25,64	 M 
171	JP 13 5x	9,380	0,814	2,242	3,342	22,03	 M 
172	JP 13 5x	9,387	0,767	2,109	3,160	21,03	 M 
173	JP 13 ufort	9,320	3,402	9,058	13,362	19,33	 M 
174	JP 13 ufort	9,320	3,327	8,845	13,071	19,12	 M 
175	JP 14 5x	9,390	0,710	1,945	2,942	22,14	 M 
176	JP 14 5x	9,383	0,668	1,857	2,779	21,18	 M 
177	JP 14 ufort	9,317	3,170	8,441	12,462	20,47	 M 
178	JP 14 ufort	9,317	3,227	8,560	12,682	20,58	 M 
179	Kontrol 200x	9,370	1,259	3,428	5,067	47,34	 MB
180	Kontrol 200x	9,373	1,209	3,335	4,873	46,81	 MB
181	Kontrol 20x	9,130	12,552	29,926	48,777	51,13	 M 
182	Kontrol 20x	9,130	12,698	30,231	49,345	51,08	 M 
