Summary							
							
Sequence Details							
Name:		anion_multi_10_10_5_std			Created On:	02-nov-21 13:48:59	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	05-maj-22 13:52:24	
No. of Injections:		196			Updated By:	Administrator	
							
By Component		Chlorid					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Chlorid	Chlorid	Chlorid	Chlorid	Chlorid	Chlorid
1	Stabil	5,330	25,143	203,486	38,891	23,39	 M 
2	Stabil	5,330	25,178	203,555	38,945	23,44	 M 
3	Vand	5,317	0,006	0,044	0,400	3,22	 M 
4	Vand	5,313	0,002	0,015	0,395	1,12	 M 
5	Blind	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
6	Blind	5,320	0,002	0,018	0,395	83,25	 M 
7	Std 1 mg/l	5,313	0,479	4,192	1,125	21,76	BMB
8	Std 1 mg/l	5,317	0,484	4,245	1,132	21,90	BMB
9	Std 2,5 mg/l	5,320	1,506	12,960	2,698	25,90	 M 
10	Std 2,5 mg/l	5,317	1,559	13,423	2,779	26,18	 M 
11	Std 5 mg/l	5,323	2,602	22,161	4,376	22,61	 M 
12	Std 5 mg/l	5,317	2,648	22,568	4,447	22,81	 M 
13	Std 10 mg/l	5,327	6,398	53,884	10,188	27,06	 M 
14	Std 10 mg/l	5,320	6,442	54,253	10,256	27,07	 M 
15	Std 25 mg/l	5,323	12,381	103,349	19,349	22,82	 M 
16	Std 25 mg/l	5,323	12,486	104,211	19,510	22,86	 M 
17	Std 50 mg/l	5,330	25,149	205,458	38,900	23,53	 M 
18	Std 50 mg/l	5,330	25,081	204,976	38,795	23,51	 M 
19	Std 75 mg/l	5,343	37,636	299,252	58,020	23,99	 M 
20	Std 75 mg/l	5,347	37,897	301,155	58,419	24,03	 M 
21	Std 100 mg/l	5,350	50,567	388,541	77,819	24,38	 M 
22	Std 100 mg/l	5,343	50,740	388,770	78,085	24,46	 M 
23	F 0 5x Stu_21_10_2021 pH 10	5,327	13,300	110,038	20,757	67,18	BM 
24	F 0 5x	5,327	13,421	111,053	20,942	67,39	BM 
25	F 0 ufort	5,350	66,746	479,580	102,593	69,15	BM 
26	F 0 ufort	5,350	67,004	481,796	102,988	69,15	BM 
27	3 F 5x	5,323	12,447	102,519	19,451	56,86	BM 
28	3 F 5x	5,320	12,602	103,810	19,688	56,88	BM 
