Summary							
							
Sequence Details							
Name:		anion_multi_9.2_std			Created On:	26-okt-21 13:08:05	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	05-maj-22 14:12:22	
No. of Injections:		184			Updated By:	Administrator	
							
By Component		Chlorid					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Chlorid	Chlorid	Chlorid	Chlorid	Chlorid	Chlorid
1	Stabil	5,307	12,295	100,868	24,336	22,86	 MB
2	Stabil	5,317	12,469	102,653	24,683	22,84	 M 
3	Vand	5,300	0,008	0,064	n.a.	9,68	 M 
4	Vand	5,307	0,005	0,043	n.a.	4,92	BMB
5	Blind	5,310	0,002	0,016	n.a.	1,97	BMB
6	Blind	5,310	0,003	0,026	n.a.	19,34	 M 
7	Std 1 mg/l	5,310	0,491	4,209	0,879	22,45	BMB
8	Std 1 mg/l	5,317	0,493	4,214	0,882	22,45	BMB
9	Std 2,5 mg/l	5,320	1,543	13,068	2,970	26,17	 M 
10	Std 2,5 mg/l	5,320	1,559	13,205	3,001	26,37	 MB
11	Std 5 mg/l	5,317	2,597	21,812	5,064	22,61	 MB
12	Std 5 mg/l	5,320	2,630	22,133	5,129	22,71	 M 
13	Std 10 mg/l	5,323	5,070	42,372	9,978	22,59	 M 
14	Std 10 mg/l	5,327	4,988	41,604	9,816	22,14	 M 
15	Std 25 mg/l	5,323	12,497	103,340	24,738	22,79	 M 
16	Std 25 mg/l	5,330	12,436	103,010	24,617	22,77	 M 
17	Std 50 mg/l	5,337	25,012	203,424	49,611	23,50	 M 
18	Std 50 mg/l	5,333	25,153	204,908	49,891	23,50	 M 
19	Std 75 mg/l	5,347	37,763	300,387	74,951	23,98	 M 
20	Std 75 mg/l	5,340	37,862	301,146	75,147	23,99	 M 
21	Std 100 mg/l	5,353	50,509	387,739	100,282	24,40	 M 
22	Std 100 mg/l	5,343	50,389	387,634	100,043	24,41	 M 
23	F 0 5x Stu_20_10_2021 pH 9,2	5,327	13,729	112,978	27,186	68,48	BM 
24	F 0 5x	5,333	13,991	115,181	27,708	68,55	BM 
25	F 0 ufort	5,357	67,585	488,378	134,217	70,13	BM 
26	F 0 ufort	5,363	69,865	501,390	138,748	70,13	BM 
27	3,5 F 5x	5,330	13,221	108,489	26,177	61,24	BM 
28	3,5 F 5x	5,327	13,127	107,721	25,991	61,32	BM 
29	3,5 F ufort	5,360	64,779	463,496	128,641	62,77	BM 
30	3,5 F ufort	5,353	64,721	463,010	128,525	62,81	BM 
31	3,5 P 5x	5,333	13,293	109,921	26,321	90,09	BM 
32	3,5 P 5x	5,337	13,419	111,031	26,571	89,86	BM 
33	3,5 P ufort	5,370	64,935	488,300	128,951	92,15	BM 
34	3,5 P ufort	5,367	64,905	488,437	128,892	92,14	BM 
35	F 5 5x	5,333	12,942	106,203	25,622	55,26	BM 
36	F 5 5x	5,330	13,668	111,991	27,066	55,51	BM 
37	F 5 ufort	5,347	64,211	453,470	127,512	56,87	 M 
38	F 5 ufort	5,357	64,016	452,409	127,124	56,80	 M 
39	P 5 5x	5,327	13,327	110,317	26,388	89,12	BM 
40	P 5 5x	5,330	14,042	116,360	27,809	89,17	BM 
41	P 5 ufort	5,367	66,199	494,828	131,462	91,51	BM 
42	P 5 ufort	5,367	66,058	493,681	131,182	91,48	BM 
43	F 6 5x	5,330	12,731	104,337	25,203	51,19	BM 
44	F 6 5x	5,333	13,699	112,043	27,127	50,98	BM 
45	F 6 ufort	5,350	63,254	442,836	125,609	52,83	 M 
46	F 6 ufort	5,347	63,474	443,854	126,047	52,85	 M 
47	P 6 5x	5,333	13,526	111,834	26,783	89,21	BM 
48	P 6 5x	5,330	13,540	112,056	26,812	89,16	BM 
49	P 6 ufort	5,360	65,846	490,599	130,760	91,75	BM 
50	P 6 ufort	5,370	65,569	489,931	130,210	91,54	BM 
51	F 7 5x	5,330	12,634	103,185	25,011	46,38	BM 
52	F 7 5x	5,323	13,162	107,496	26,060	46,34	BM 
53	F 7 ufort	5,350	61,634	426,808	122,390	47,68	 M 
54	F 7 ufort	5,350	61,795	427,720	122,710	47,64	 M 
55	P 7 5x	5,337	13,150	108,927	26,036	88,05	BM 
56	P 7 5x	5,333	14,557	120,339	28,833	87,66	BM 
57	P 7 ufort	5,367	65,405	486,098	129,885	90,80	BM 
58	P 7 ufort	5,370	72,208	525,807	143,405	90,90	BM 
59	F 8  5x	5,327	12,138	99,098	24,026	40,97	BM 
60	F 8 5x	5,330	12,040	98,509	23,831	40,96	 M 
61	F 8 ufort	5,347	58,180	399,729	115,525	42,26	 M 
62	F 8 ufort	5,350	64,612	435,100	128,309	42,49	 M 
63	Kontrol 25x	5,323	2,692	22,826	5,252	7,72	BM 
64	Kontrol 25x	5,320	2,699	22,868	5,267	7,72	BM 
65	Kontrol 2,5x	5,327	3,043	25,822	5,951	7,75	BM 
66	Kontrol 2,5x	5,323	3,044	25,849	5,953	7,75	BM 
67	P 8 5x	5,333	13,627	113,273	26,985	85,98	BM 
68	P 8 5x	5,333	13,843	114,972	27,414	85,92	BM 
69	P 8 ufort	5,363	66,922	491,179	132,899	89,51	BM 
70	P 8 ufort	5,370	66,448	488,388	131,958	89,49	BM 
71	F 9 5x	5,327	10,832	88,399	21,430	32,00	 M 
72	F 9 5x	5,327	12,645	102,448	25,032	32,51	 M 
73	F 9 ufort	5,333	56,143	376,096	111,478	33,13	 M 
74	F 9 ufort	5,337	56,362	377,258	111,913	33,20	 M 
75	P 9 5x	5,333	13,847	115,182	27,421	85,39	BM 
76	P 9 5x	5,333	13,890	115,409	27,507	85,39	BM 
77	P 9 ufort	5,370	68,299	500,313	135,635	88,57	BM 
78	P 9 ufort	5,367	68,306	500,636	135,650	88,58	BM 
79	N3 5x 12_10_2021	5,327	4,117	34,719	8,084	47,57	BM 
80	N3 5x	5,320	4,104	34,634	8,060	47,54	BM 
81	N3 ufort	5,337	20,452	167,329	40,548	49,10	 M 
82	N3 ufort	5,333	20,437	167,244	40,518	49,03	BM 
83	N3 5x 19_10_2021	5,323	5,617	47,198	11,066	49,52	BM 
84	N3 5x	5,330	5,630	47,301	11,092	49,57	BM 
85	N3 ufort	5,340	27,598	221,357	54,749	51,15	BM 
86	N3 ufort	5,340	27,574	221,332	54,701	51,16	 M 
87	N3 5x 26_10_2021	5,327	6,624	55,656	13,067	53,51	BM 
88	N3 5x	5,330	6,655	55,745	13,129	53,52	BM 
89	N3 ufort	5,340	33,408	264,761	66,297	55,19	 M 
90	N3 ufort	5,343	33,275	264,010	66,031	55,12	 M 
