Summary							
							
Sequence Details							
Name:		cat_multi_salt_10_10.5_std_ufort			Created On:	02-nov-21 14:26:59	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	05-maj-22 13:32:47	
No. of Injections:		196			Updated By:	Administrator	
							
By Component		Natrium					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Natrium	Natrium	Natrium	Natrium	Natrium	Natrium
1	Stabil	3,074	11,054	109,706	50,176	21,66	BM 
2	Stabil	3,067	11,048	110,362	50,148	21,57	BM 
3	Vand	3,043	0,005	0,054	n.a.	9,24	BMB
4	Vand	3,040	0,001	0,007	n.a.	5,04	BMB
5	Blind	3,033	0,001	0,013	n.a.	12,53	BMB
6	Blind	3,040	0,001	0,006	n.a.	9,68	BMB
7	Std 1 mg/l	3,040	0,222	2,342	0,949	24,38	BMB*
8	Std 1 mg/l	3,037	0,227	2,385	0,969	23,86	BMB*
9	Std 2,5 mg/l	3,047	0,577	6,020	2,562	23,14	BMB*
10	Std 2,5 mg/l	3,047	0,582	6,051	2,583	23,21	BMB*
11	Std 5 mg/l	3,047	1,108	11,523	4,974	21,81	BMB*
12	Std 5 mg/l	3,047	1,118	11,617	5,021	21,98	BMB*
13	Std 10 mg/l	3,050	2,205	22,727	9,959	21,86	 MB
14	Std 10 mg/l	3,050	2,203	22,728	9,948	21,55	 M 
15	Std 25 mg/l	3,060	5,543	56,924	25,127	21,55	 M 
16	Std 25 mg/l	3,057	5,558	57,193	25,199	21,54	 M 
17	Std 50 mg/l	3,067	10,901	108,948	49,480	21,57	BM 
18	Std 50 mg/l	3,070	11,047	110,452	50,140	21,56	BM 
19	Std 75 mg/l	3,083	16,494	157,980	74,897	21,50	BM 
20	Std 75 mg/l	3,087	16,111	154,764	73,157	21,52	BM 
21	Std 100 mg/l	3,093	22,068	201,563	100,229	21,47	 M 
22	Std 100 mg/l	3,093	22,010	201,209	99,963	21,49	BM 
23	F 0 5x Stu_21_10_2021 pH 10	3,097	15,253	148,523	69,259	98,68	BM 
24	F 0 5x	3,097	15,164	147,903	68,850	98,69	BM 
25	F 0 ufort	3,217	72,808	467,569	330,820	97,56	 M *
26	F 0 ufort	3,217	72,636	467,583	330,036	97,79	 M *
27	3 F 5x	3,103	18,839	178,114	85,552	96,80	 M 
28	3 F 5x	3,107	18,438	175,052	83,730	95,22	 M 
29	3 F ufort	3,250	90,216	530,194	409,932	95,82	 M *
30	3 F ufort	3,250	90,495	531,316	411,197	96,29	 M *
31	3 P 5x	3,060	5,574	57,032	25,272	96,57	BM 
32	3 P 5x	3,057	5,553	56,948	25,176	97,21	 M 
33	3 P ufort	3,123	27,571	242,365	125,234	97,42	BM 
34	3 P ufort	3,123	27,832	243,723	126,421	97,73	BM 
35	F 4 5x	3,110	21,091	195,520	95,787	95,81	 M 
36	F 4 5x	3,113	20,694	192,826	93,982	94,78	 M 
37	F 4 ufort	3,267	101,357	564,986	460,560	95,96	 M *
38	F 4 ufort	3,260	102,301	567,804	464,852	96,24	 M *
39	P 4 5x	3,060	6,198	63,364	28,104	96,73	 M 
40	P 4 5x	3,067	6,088	62,359	27,605	97,41	 M 
41	P 4 ufort	3,130	30,191	260,140	137,143	97,32	BM 
42	P 4 ufort	3,137	30,210	259,993	137,230	97,63	BM 
43	F 5 5x	3,120	24,443	220,354	111,022	95,42	 M 
44	F 5 5x	3,117	24,329	219,495	110,504	94,75	 M 
45	F 5 ufort	3,290	119,239	617,500	541,827	96,00	 M *
46	F 5 ufort	3,290	118,408	615,624	538,053	96,09	 M *
47	P 5 5x	3,063	6,902	70,477	31,307	97,13	 M 
48	P 5 5x	3,063	6,849	69,819	31,062	97,61	 M 
49	P 5 ufort	3,147	33,636	281,063	152,798	97,29	BM 
50	P 5 ufort	3,140	33,803	281,979	153,559	97,56	BM 
51	F 5,5 5x	3,127	27,379	241,234	124,363	94,74	 M 
52	F 5,5 5x	3,123	27,223	239,803	123,654	94,27	BM 
