Summary							
							
Sequence Details							
Name:		multi_salt_10_10.5_std			Created On:	23-nov-21 11:03:09	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	05-maj-22 12:42:46	
No. of Injections:		180			Updated By:	Administrator	
							
By Component		Natrium					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Natrium	Natrium	Natrium	Natrium	Natrium	Natrium
1	Stabil	3,057	5,529	56,600	25,076	21,48	BM 
2	Stabil	3,050	5,521	56,519	25,038	21,47	BM 
3	Vand	3,040	0,001	0,007	n.a.	2,40	BMB
4	Vand	3,040	0,001	0,009	n.a.	4,30	BMB
5	Blind	3,037	0,001	0,005	n.a.	4,30	Ru
6	Blind	3,033	0,001	0,011	n.a.	9,85	BMB
7	Std 1 mg/l	3,037	0,235	2,430	0,969	24,50	 M 
8	Std 1 mg/l	3,037	0,233	2,413	0,962	23,51	 M 
9	Std 2,5 mg/l	3,043	0,568	5,842	2,485	22,62	BM 
10	Std 2,5 mg/l	3,043	0,568	5,849	2,484	22,44	BM 
11	Std 5 mg/l	3,040	1,119	11,475	4,997	22,00	 M 
12	Std 5 mg/l	3,040	1,132	11,624	5,054	22,01	 M 
13	Std 10 mg/l	3,043	2,191	22,431	9,876	21,77	BMB
14	Std 10 mg/l	3,047	2,191	22,464	9,876	21,73	 M 
15	Std 25 mg/l	3,053	5,551	56,735	25,174	21,54	BM 
16	Std 25 mg/l	3,053	5,512	56,396	24,997	21,56	 M 
17	Std 50 mg/l	3,070	11,047	109,511	50,203	21,50	BM 
18	Std 50 mg/l	3,073	11,006	109,453	50,014	21,49	BM 
19	Std 75 mg/l	3,080	16,498	157,090	75,023	21,50	BM 
20	Std 75 mg/l	3,087	16,521	157,463	75,127	21,57	 M 
21	Std 100 mg/l	3,090	21,974	199,807	99,957	21,49	 M 
22	Std 100 mg/l	3,097	21,940	200,086	99,803	21,49	BM 
23	10P 5x N5_21.1.1_9_11_2021 oml	3,063	5,760	58,773	26,128	95,84	BM 
