Summary							
							
Sequence Details							
Name:		multi_salt_9.2_std			Created On:	26-okt-21 13:39:17	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	05-maj-22 13:46:58	
No. of Injections:		184			Updated By:	Administrator	
							
By Component		Natrium					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Natrium	Natrium	Natrium	Natrium	Natrium	Natrium
1	Stabil	3,057	5,593	57,664	25,501	21,60	BM 
2	Stabil	3,057	5,566	57,478	25,379	21,47	BM 
3	Vand	3,040	0,005	0,055	n.a.	14,69	BMB
4	Vand	3,037	0,006	0,065	n.a.	24,78	BM 
5	Blind	3,067	0,015	0,151	n.a.	35,50	BM 
6	Blind	3,047	0,005	0,054	n.a.	20,57	BMB
7	Std 1 mg/l	3,047	0,230	2,390	0,923	23,90	BM 
8	Std 1 mg/l	3,047	0,239	2,471	0,965	24,02	BM 
9	Std 2,5 mg/l	3,047	0,560	5,801	2,439	22,91	BM 
10	Std 2,5 mg/l	3,043	0,579	6,003	2,526	21,97	BM 
11	Std 5 mg/l	3,050	1,123	11,633	5,017	21,91	 M 
12	Std 5 mg/l	3,043	1,118	11,583	4,993	21,99	 M 
13	Std 10 mg/l	3,047	2,225	22,995	10,067	21,80	 MB
14	Std 10 mg/l	3,047	2,191	22,670	9,912	21,79	 MB
15	Std 25 mg/l	3,057	5,459	56,285	24,886	21,56	BM 
16	Std 25 mg/l	3,057	5,528	57,019	25,203	21,56	 M 
17	Std 50 mg/l	3,070	10,919	109,400	49,908	21,52	BM 
18	Std 50 mg/l	3,077	11,029	110,583	50,412	21,52	 M 
19	Std 75 mg/l	3,090	16,259	157,120	74,380	21,46	BM 
20	Std 75 mg/l	3,090	16,467	158,743	75,332	21,49	BM 
21	Std 100 mg/l	3,093	22,045	201,648	100,897	21,41	 M 
22	Std 100 mg/l	3,093	21,662	198,668	99,140	21,50	 M 
23	F 0 5x Stu_20_10_2021 pH 9,2	3,087	13,157	130,594	60,163	95,05	BM 
24	F 0 5x	3,087	13,134	130,538	60,058	94,93	BM 
25	F 0 ufort	3,283	66,429	464,471	304,289	95,56	BM 
26	F 0 ufort	3,207	65,908	439,535	301,903	95,90	BM 
27	3,5 F 5x	3,100	15,013	147,408	68,672	90,61	 M 
28	3,5 F 5x	3,100	15,033	147,086	68,760	90,90	 M 
29	3,5 F ufort	3,227	73,849	471,891	338,294	90,98	BM *
30	3,5 F ufort	3,227	74,466	473,943	341,120	91,18	 M *
31	3,5 P 5x	3,067	7,617	77,954	34,776	93,95	BM 
32	3,5 P 5x	3,073	7,521	77,400	34,336	95,27	 M 
33	3,5 P ufort	3,150	37,157	302,981	170,147	94,77	BM 
34	3,5 P ufort	3,153	37,380	303,801	171,171	95,00	BM 
35	F 5 5x	3,100	17,024	164,183	77,884	90,47	 M 
36	F 5 5x	3,100	17,021	163,977	77,871	90,29	BM 
37	F 5 ufort	3,237	81,351	499,074	372,674	90,68	 M *
38	F 5 ufort	3,233	82,732	503,899	379,002	90,54	 M *
39	P 5 5x	3,073	8,477	86,419	38,718	93,87	BM 
40	P 5 5x	3,493	9,518	87,859	43,490	95,39	 M ^
41	P 5 ufort	3,160	41,765	328,221	191,262	94,89	BM *
42	P 5 ufort	3,157	41,336	325,113	189,297	95,56	BM *
43	F 6 5x	3,110	18,614	177,079	85,172	89,98	 M 
44	F 6 5x	3,103	18,541	176,152	84,836	89,79	 M 
45	F 6 ufort	3,247	90,077	529,729	412,658	89,89	 M *
46	F 6 ufort	3,247	91,117	532,552	417,426	90,10	 M *
47	P 6 5x	3,070	8,768	89,291	40,051	93,91	BM 
48	P 6 5x	3,077	8,755	89,286	39,992	95,05	 M 
49	P 6 ufort	3,167	41,649	327,550	190,733	94,34	BM *
50	P 6 ufort	3,170	43,106	334,779	197,412	94,64	BM *
51	F 7 5x	4,223	26,500	320,161	121,309	89,22	 M ^
52	F 7 5x	3,110	20,670	193,055	94,596	89,34	 M 
53	F 7 ufort	3,267	100,599	563,652	460,880	89,55	 M *
54	F 7 ufort	3,263	100,176	561,650	458,941	89,65	 M *
55	P 7 5x	3,073	9,748	98,702	44,541	94,25	BM 
56	P 7 5x	3,073	9,686	98,110	44,259	95,52	 M 
57	P 7 ufort	3,170	47,373	357,286	216,965	94,90	BM *
58	P 7 ufort	3,170	47,376	357,678	216,975	95,08	BM *
59	F 8  5x	3,113	22,706	208,372	103,925	89,24	 M 
60	F 8 5x	3,117	22,726	208,687	104,014	89,08	BM 
61	F 8 ufort	3,280	110,908	599,739	508,122	89,22	 M *
62	F 8 ufort	3,280	111,794	597,660	512,181	89,18	 M *
63	Kontrol 200x	3,040	0,256	2,664	1,043	9,04	 M 
64	Kontrol 200x	3,043	0,231	2,421	0,931	8,95	 M 
65	Kontrol 20x	3,037	2,246	22,071	10,164	9,03	 M 
66	Kontrol 20x	3,037	2,235	21,870	10,113	9,05	 M 
67	P 8 5x	3,077	10,918	110,006	49,905	97,16	 M 
68	P 8 5x	3,080	10,917	109,781	49,898	96,19	 M 
69	P 8 ufort	3,190	53,305	386,006	244,148	95,10	BM *
70	P 8 ufort	3,183	53,397	386,370	244,569	95,33	BM *
71	F 9 5x	3,133	27,334	241,328	125,134	93,33	 M 
72	F 9 5x	3,130	27,312	240,639	125,031	93,22	BM 
73	F 9 ufort	3,303	133,546	655,950	611,860	93,32	 M *
74	F 9 ufort	3,303	134,422	659,571	615,875	93,34	 M *
75	P 9 5x	3,087	11,273	113,059	51,531	94,56	 M 
76	P 9 5x	3,073	11,102	111,704	50,750	95,19	 M 
77	P 9 ufort	3,183	54,077	389,458	247,684	95,13	BM *
78	P 9 ufort	3,183	54,103	389,478	247,803	95,33	BM *
79	N3 5x 12_10_2021	3,067	6,075	62,262	27,709	95,93	 M 
80	N3 5x	3,060	6,086	62,668	27,762	96,58	 M 
81	N3 ufort	3,140	29,894	257,771	136,862	96,31	BM 
82	N3 ufort	3,133	29,985	258,518	137,283	96,55	BM 
83	N3 5x 19_10_2021	3,070	7,922	81,043	36,175	94,71	 M 
84	N3 5x	3,067	7,899	80,618	36,070	94,76	 M 
85	N3 ufort	3,160	38,668	310,294	177,070	94,45	BM 
86	N3 ufort	3,153	38,848	311,413	177,897	94,66	BM 
87	N3 5x 26_10_2021	3,077	8,705	88,760	39,761	94,58	 M 
88	N3 5x	3,073	8,745	89,014	39,948	95,08	 M 
89	N3 ufort	3,170	43,496	337,354	199,198	94,77	BM *
90	N3 ufort	3,170	43,393	336,456	198,723	95,04	BM *
91	CS_A 5x 12_10_2021	3,090	12,308	122,423	56,276	85,57	 M 
92	CS_A 5x	3,090	12,221	121,771	55,876	85,52	 M 
93	CS_A ufort	3,203	61,853	421,595	283,319	85,90	BM *
94	CS_A ufort	3,107	15,668	236,586	71,670	21,80	BM 
95	CS_B 5x 12_10_2021	3,087	12,106	120,705	55,350	87,82	 M 
96	CS_B 5x	3,073	12,039	120,234	55,042	88,41	 M 
97	CS_B ufort	3,183	58,998	408,871	270,237	88,52	BM *
98	CS_B ufort	3,180	58,696	407,676	268,852	88,66	BM *
99	CS_A 5x 19_10_2021	3,087	13,474	133,593	61,620	88,00	 M 
100	CS_A 5x	3,090	13,539	134,066	61,913	88,89	 M 
101	CS_A ufort	3,117	68,783	494,638	315,079	89,86	BM *
102	CS_A ufort	3,217	67,809	446,037	310,616	89,96	BM *
103	CS_B 5x 19_10_2021	3,097	14,714	144,187	67,301	96,56	 M 
104	CS_B 5x	3,097	14,604	143,323	66,794	96,21	 M 
105	CS_B ufort	3,220	72,224	464,118	330,848	96,06	 M *
106	CS_B ufort	3,213	72,101	463,090	330,280	96,29	 M *
107	Kontrol 200x	3,040	0,246	2,563	1,000	9,20	 M 
108	Kontrol 200x	3,037	0,234	2,433	0,943	9,01	 M 
109	Kontrol 20x	3,037	2,228	21,820	10,081	9,04	 M 
110	Kontrol 20x	3,030	2,240	21,872	10,137	9,06	 M 
111	CS_A 5x 26_10_2021	3,083	12,606	125,230	57,638	90,54	 M 
112	CS_A 5x	3,090	12,575	124,848	57,498	90,04	 M 
113	CS_A ufort	3,193	63,336	427,644	290,115	89,37	BM *
114	CS_A ufort	3,197	63,012	426,573	288,633	89,56	BM *
115	CS_B 5x 26_10_2021	3,087	12,532	124,683	57,300	93,30	 M 
116	CS_B 5x	3,087	12,435	123,708	56,857	93,07	 M 
117	CS_B ufort	3,193	60,813	416,875	278,556	93,13	BM *
118	CS_B ufort	3,193	60,525	416,011	277,236	93,35	BM *
119	JP 1 5x	3,043	1,840	19,032	8,302	50,68	 M 
120	JP 1 5x	3,047	1,808	18,652	8,157	49,35	 M 
121	JP 1 ufort	3,077	8,839	90,106	40,375	50,03	 M 
122	JP 1 ufort	3,077	8,800	89,711	40,200	50,23	 M 
123	JP 2 5x	3,067	2,964	29,469	13,453	83,84	 M 
124	JP 2 5x	3,050	2,820	29,196	12,792	85,51	 M 
125	JP 2 ufort	3,097	14,222	140,214	65,044	85,36	BM 
126	JP 2 ufort	3,090	14,052	138,526	64,265	85,28	 M 
127	JP 3 5x	3,057	2,725	28,173	12,361	78,79	 M 
128	JP 3 5x	3,053	2,720	28,180	12,334	80,22	 M 
129	JP 3 ufort	3,087	13,426	132,900	61,395	79,96	BM 
130	JP 3 ufort	3,087	13,405	132,776	61,300	80,04	 M 
131	JP 4 5x	3,060	2,066	21,208	9,340	48,49	 M 
132	JP 4 5x	3,047	2,040	21,108	9,219	49,13	 M 
133	JP 4 ufort	3,083	9,941	100,522	45,426	50,67	BM 
134	JP 4 ufort	3,077	9,930	100,504	45,377	50,75	 M 
135	JP 5 5x	3,047	2,068	21,323	9,346	52,30	 M 
136	JP 5 5x	3,053	2,068	21,381	9,348	52,95	 M 
137	JP 5 ufort	3,080	9,918	100,213	45,323	54,05	BM 
138	JP 5 ufort	3,080	9,926	100,274	45,357	54,06	 M 
139	JP 6 5x	3,053	2,011	20,735	9,087	59,56	 M 
140	JP 6 5x	3,047	2,011	20,754	9,087	60,48	 M 
141	JP 6 ufort	3,073	9,639	97,807	44,045	61,31	BM 
142	JP 6 ufort	3,080	9,646	97,829	44,075	61,43	 M 
143	JP 7 5x	3,047	1,938	19,957	8,753	65,03	 MB
144	JP 7 5x	3,053	1,935	19,925	8,737	65,92	 MB
145	JP 7 ufort	3,073	9,651	97,552	44,099	66,22	BM 
146	JP 7 ufort	3,080	9,649	97,530	44,090	66,22	 M 
147	JP 8 5x	3,043	1,827	18,795	8,246	50,98	 M 
148	JP 8 5x	3,047	1,817	18,748	8,197	51,27	 M 
149	JP 8 ufort	3,077	8,679	88,486	39,644	51,76	 M 
150	JP 8 ufort	3,070	8,692	88,595	39,701	51,72	 M 
151	Kontrol 200x	3,037	0,233	2,416	0,937	8,76	 M 
152	Kontrol 200x	3,043	0,229	2,392	0,921	8,91	 M 
153	Kontrol 20x	3,030	2,230	21,841	10,093	9,03	 M 
154	Kontrol 20x	3,030	2,241	21,910	10,142	9,04	 M 
155	JP 9 5x	3,057	2,951	30,410	13,396	90,28	 M 
156	JP 9 5x	3,057	2,949	30,539	13,386	88,10	 M 
157	JP 9 ufort	3,093	13,828	136,510	63,239	82,94	BM 
158	JP 9 ufort	3,087	13,801	136,371	63,116	82,52	 M 
159	JP 10 5x	3,050	2,807	28,929	12,733	83,07	 M 
160	JP 10 5x	3,050	2,806	28,933	12,731	85,52	 M 
161	JP 10 ufort	3,093	13,442	133,201	61,473	83,41	BM 
162	JP 10 ufort	3,087	13,430	133,150	61,418	82,81	 M 
163	JP 11 5x	3,053	2,089	21,523	9,444	58,54	 M 
164	JP 11 5x	3,050	2,078	21,390	9,392	59,78	 M 
165	JP 11 ufort	3,073	9,894	100,155	45,211	60,74	BM 
166	JP 11 ufort	3,073	9,884	100,021	45,164	60,93	 M 
167	JP 12 5x	3,053	2,021	20,834	9,135	53,02	 M 
168	JP 12 5x	3,050	2,009	20,706	9,079	53,82	 M 
169	JP 12 ufort	3,077	9,975	100,762	45,585	54,26	BM 
170	JP 12 ufort	3,107	10,109	101,237	46,195	54,19	 M 
171	JP 13 5x	3,047	2,310	23,813	10,456	62,54	 M 
172	JP 13 5x	3,053	2,311	23,830	10,461	63,41	 M 
173	JP 13 ufort	3,087	11,374	113,797	51,993	64,63	BM 
174	JP 13 ufort	3,087	11,301	113,180	51,661	64,96	 M 
175	JP 14 5x	3,053	2,103	21,671	9,509	65,56	 M 
176	JP 14 5x	3,047	2,093	21,584	9,460	66,34	 M 
177	JP 14 ufort	3,077	10,316	103,984	47,147	66,62	BM 
178	JP 14 ufort	3,077	10,428	105,024	47,659	66,51	 M 
179	Kontrol 200x	3,043	0,235	2,440	0,949	8,84	 M 
180	Kontrol 200x	3,043	0,230	2,395	0,926	8,91	 M 
181	Kontrol 20x	3,033	2,216	21,679	10,027	9,03	 M 
