Summary							
							
Sequence Details							
Name:		anion_multi_10_10_5_std			Created On:	02-nov-21 13:48:59	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	05-maj-22 14:06:37	
No. of Injections:		196			Updated By:	Administrator	
							
By Component		Sulfat					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Sulfat	Sulfat	Sulfat	Sulfat	Sulfat	Sulfat
1	Stabil	8,190	18,716	94,280	49,846	17,41	 M 
2	Stabil	8,193	18,764	94,331	49,972	17,47	 M 
3	Vand	8,233	0,077	0,140	0,209	44,31	 M 
4	Vand	8,227	0,076	0,148	0,206	43,78	 M 
5	Blind	8,233	0,080	0,148	0,216	45,29	 M 
6	Blind	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
7	Std 1 mg/l	8,350	0,379	2,337	1,012	17,22	 M *
8	Std 1 mg/l	8,347	0,381	2,347	1,018	17,25	 M *
9	Std 2,5 mg/l	8,347	0,911	6,253	2,428	15,66	 M 
10	Std 2,5 mg/l	8,343	0,930	6,406	2,480	15,62	 M 
11	Std 5 mg/l	8,340	1,886	13,112	5,025	16,39	 M 
12	Std 5 mg/l	8,330	1,899	13,184	5,059	16,35	 M 
13	Std 10 mg/l	8,317	3,732	25,375	9,942	15,78	 M 
14	Std 10 mg/l	8,313	3,767	25,591	10,035	15,83	 M 
15	Std 25 mg/l	8,263	9,236	55,827	24,599	17,03	 M 
16	Std 25 mg/l	8,263	9,298	56,151	24,765	17,02	 M 
17	Std 50 mg/l	8,197	18,640	94,001	49,644	17,44	 M 
18	Std 50 mg/l	8,197	18,645	93,986	49,655	17,48	 M 
19	Std 75 mg/l	8,150	27,803	123,729	74,043	17,72	 M 
20	Std 75 mg/l	8,143	27,934	124,196	74,393	17,72	 M 
21	Std 100 mg/l	8,103	36,919	149,023	98,322	17,80	 M 
22	Std 100 mg/l	8,100	36,953	148,958	98,410	17,81	 M 
23	F 0 5x Stu_21_10_2021 pH 10	8,287	5,436	27,999	14,479	27,46	 M 
24	F 0 5x	8,287	5,465	28,106	14,556	27,44	 M 
25	F 0 ufort	8,147	26,155	72,785	69,656	27,10	 M 
26	F 0 ufort	8,143	26,265	72,935	69,949	27,11	 M 
27	3 F 5x	8,260	8,517	40,218	22,685	38,91	 M 
28	3 F 5x	8,257	8,626	40,505	22,975	38,93	 M 
29	3 F ufort	8,080	41,305	99,947	110,001	38,81	 M 
30	3 F ufort	8,087	41,336	100,031	110,083	38,82	 M 
31	3 P 5x	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
32	3 P 5x	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
33	3 P ufort	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
34	3 P ufort	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
35	F 4 5x	8,237	10,139	45,835	27,004	42,96	 M 
36	F 4 5x	8,247	10,195	45,961	27,154	43,09	 M 
37	F 4 ufort	8,050	48,685	113,191	129,655	42,90	 M 
38	F 4 ufort	8,047	49,697	114,755	132,348	42,88	 M *
39	P 4 5x	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
40	P 4 5x	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
41	P 4 ufort	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
42	P 4 ufort	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
43	F 5 5x	8,223	12,569	53,453	33,476	47,89	 M 
44	F 5 5x	8,230	12,612	53,549	33,588	47,80	 M 
45	F 5 ufort	8,017	60,097	133,169	160,045	47,80	 M *
46	F 5 ufort	8,013	60,157	133,379	160,206	47,82	 M *
47	P 5 5x	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
48	P 5 5x	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
49	P 5 ufort	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
50	P 5 ufort	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
51	F 5,5 5x	8,203	15,079	60,816	40,159	52,69	 M 
52	F 5,5 5x	8,207	15,215	61,148	40,521	52,64	 M 
53	F 5,5 ufort	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
54	F 5,5 ufort	7,993	59,923	154,261	159,582	43,64	 M *
55	P 5,5 5x	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
56	P 5,5 5x	8,310	0,592	1,760	1,580	3,61	 MB
57	P 5,5 ufort	8,257	1,278	3,263	3,405	1,74	 M 
58	P 5,5 ufort	8,260	1,287	3,301	3,430	1,74	 M 
59	F 6  5x	8,193	16,586	64,748	44,174	55,73	 M 
60	F 6 5x	8,197	16,856	64,806	44,893	56,65	 M 
61	F 6 ufort	7,967	78,087	163,235	207,953	56,28	 M *
62	F 6 ufort	8,227	11,938	79,466	31,795	7,45	 M 
63	Kontrol 25x	8,330	2,194	15,022	5,845	30,22	 M 
64	Kontrol 25x	8,327	2,199	14,994	5,860	30,19	 M 
65	Kontrol 2,5x	8,183	21,633	105,463	57,613	29,26	 M 
66	Kontrol 2,5x	8,177	21,575	105,345	57,459	29,20	 M 
67	P 6 5x	8,327	0,471	1,419	1,257	3,06	 M 
68	P 6 5x	8,327	0,468	1,417	1,249	3,05	 M 
69	P 6 ufort	8,237	1,365	3,393	3,639	1,81	 M 
70	P 6 ufort	8,247	1,371	3,408	3,655	1,81	 M 
71	F 6,5 5x	8,177	20,250	73,820	53,929	60,97	 M 
72	F 6,5 5x	8,173	20,367	73,621	54,243	61,79	 M 
73	F 6,5 ufort	8,200	15,457	92,236	41,166	9,74	 M 
74	F 6,5 ufort	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
75	P 6,5 5x	8,323	0,537	1,584	1,434	3,37	 M 
76	P 6,5 5x	8,323	0,532	1,563	1,419	3,34	 M 
77	P 6,5 ufort	8,237	1,563	3,659	4,166	2,01	 M 
78	P 6,5 ufort	8,233	1,573	3,667	4,193	2,02	 M 
79	F 0 5x Stu_25_10_2021 pH 10,5	8,287	5,296	26,904	14,106	28,28	 M 
80	F 0 5x	8,283	5,313	27,002	14,153	28,02	 M 
81	F 0 ufort	8,140	25,568	69,079	68,092	28,19	 M 
82	F 0 ufort	8,140	25,599	69,070	68,175	28,20	 M 
83	2,5 F 5x	8,260	7,422	34,542	19,767	35,10	 M 
84	2,5 F 5x	8,257	7,453	34,649	19,852	35,04	 M 
85	2,5 F ufort	8,093	35,579	83,175	94,752	34,80	 M *
86	2,5 F ufort	8,097	35,644	83,369	94,925	34,82	 M *
87	2,5 P 5x	8,343	0,333	0,775	0,889	2,61	 MB
88	2,5 P 5x	8,343	0,328	0,774	0,876	2,55	 MB
89	2,5 P ufort	8,293	0,641	2,067	1,711	1,03	 M 
90	2,5 P ufort	8,293	0,603	2,079	1,608	0,96	 M 
91	F 4 5x	8,243	9,124	40,016	24,302	39,36	 M 
92	F 4 5x	8,247	9,118	39,913	24,286	39,44	 M 
93	F 4 ufort	8,063	43,637	94,635	116,212	39,32	 M *
94	F 4 ufort	8,057	43,552	94,346	115,986	39,29	 M *
95	P 4 5x	8,333	0,379	0,893	1,012	2,71	 MB
96	P 4 5x	8,333	0,383	0,925	1,024	2,73	 MB
97	P 4 ufort	8,283	0,741	2,306	1,976	1,11	 M 
98	P 4 ufort	8,287	0,734	2,285	1,957	1,11	 M 
99	F 5 5x	8,233	10,598	44,480	28,225	43,41	 M 
100	F 5 5x	8,243	10,516	44,239	28,008	43,05	 M 
101	F 5 ufort	8,047	50,166	103,270	133,599	42,92	 M 
102	F 5 ufort	8,043	49,776	102,712	132,560	42,96	 M 
103	P 5 5x	8,337	0,374	1,026	0,999	2,51	 MB
104	P 5 5x	8,340	0,400	1,005	1,067	2,67	 MB
105	P 5 ufort	8,287	0,868	2,544	2,314	1,21	 M 
106	P 5 ufort	8,283	0,859	2,527	2,290	1,20	 M 
107	Kontrol 25x	8,333	2,067	14,518	5,508	28,94	 M 
108	Kontrol 25x	8,337	2,127	14,643	5,668	29,78	 M 
109	Kontrol 2,5x	8,187	21,036	103,603	56,024	29,11	 M 
110	Kontrol 2,5x	8,187	20,875	103,023	55,595	29,09	 M 
111	F 6  5x	8,227	12,480	49,316	33,237	48,26	 M 
112	F 6 5x	8,223	12,521	49,411	33,346	48,33	 M 
113	F 6 ufort	8,100	1,629	7,568	4,342	1,30	Rd
114	F 6 ufort	8,097	1,591	7,441	4,241	1,27	Rd
115	P 6 5x	8,250	0,475	1,272	1,267	2,99	 MB
