Summary							
							
Sequence Details							
Name:		anion_multi_9.2_std			Created On:	26-okt-21 13:08:05	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	05-maj-22 14:17:03	
No. of Injections:		184			Updated By:	Administrator	
							
By Component		Sulfat					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Sulfat	Sulfat	Sulfat	Sulfat	Sulfat	Sulfat
1	Stabil	8,227	9,049	54,607	24,452	16,83	 MB
2	Stabil	8,237	9,233	55,508	24,950	16,91	 M 
3	Vand	8,193	0,060	0,116	0,175	74,69	 M 
4	Vand	8,200	0,055	0,126	0,160	51,82	 MB
5	Blind	8,203	0,052	0,113	0,152	53,61	 MB
6	Blind	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
7	Std 1 mg/l	8,343	0,360	2,410	0,985	16,45	 MB
8	Std 1 mg/l	8,347	0,351	2,392	0,960	15,99	 M 
9	Std 2,5 mg/l	8,347	0,887	6,455	2,407	15,03	 M 
10	Std 2,5 mg/l	8,347	0,887	6,451	2,408	15,00	 MB
11	Std 5 mg/l	8,333	1,849	13,014	5,007	16,10	 MB
12	Std 5 mg/l	8,337	1,876	13,094	5,078	16,20	 MB
13	Std 10 mg/l	8,317	3,647	25,189	9,863	16,25	 M 
14	Std 10 mg/l	8,323	3,705	25,332	10,020	16,45	 M 
15	Std 25 mg/l	8,270	9,265	55,865	25,036	16,90	 M 
16	Std 25 mg/l	8,273	9,245	55,726	24,982	16,92	 M 
17	Std 50 mg/l	8,210	18,495	93,115	49,965	17,38	 M *
18	Std 50 mg/l	8,207	18,617	93,454	50,293	17,39	 M 
19	Std 75 mg/l	8,160	27,798	123,044	75,090	17,65	 M 
20	Std 75 mg/l	8,153	27,902	123,093	75,371	17,68	 M 
21	Std 100 mg/l	8,113	37,008	147,960	99,966	17,88	 M 
22	Std 100 mg/l	8,107	36,861	147,629	99,567	17,86	 M 
23	F 0 5x Stu_20_10_2021 pH 9,2	8,290	5,182	25,101	14,008	25,85	 M 
24	F 0 5x	8,300	5,241	25,244	14,168	25,68	 M 
25	F 0 ufort	8,167	24,470	67,335	66,102	25,39	 M 
26	F 0 ufort	8,167	25,291	68,918	68,319	25,39	 M 
27	3,5 F 5x	8,277	7,264	33,339	19,631	33,65	 M 
28	3,5 F 5x	8,280	7,216	33,174	19,502	33,71	 M 
29	3,5 F ufort	8,123	34,460	89,939	93,083	33,39	 M 
30	3,5 F ufort	8,123	34,362	89,837	92,818	33,34	 M 
31	3,5 P 5x	8,343	0,542	1,422	1,477	3,68	 MB
32	3,5 P 5x	8,347	0,489	1,529	1,334	3,28	 M 
33	3,5 P ufort	8,303	1,413	3,149	3,830	2,01	 M 
34	3,5 P ufort	8,303	1,411	3,139	3,823	2,00	 M 
35	F 5 5x	8,270	9,112	40,037	24,623	38,91	 M 
36	F 5 5x	8,263	9,503	41,029	25,679	38,60	 M 
37	F 5 ufort	8,083	43,695	111,596	118,026	38,70	 M 
38	F 5 ufort	8,087	43,688	111,719	118,007	38,77	 M 
39	P 5 5x	8,333	0,516	1,530	1,407	3,45	 M 
40	P 5 5x	8,337	0,531	1,558	1,447	3,37	 M 
41	P 5 ufort	8,300	1,503	3,045	4,073	2,08	 M 
42	P 5 ufort	8,297	1,520	3,076	4,118	2,10	 M 
43	F 6 5x	8,257	10,734	45,958	29,004	43,16	 M 
44	F 6 5x	8,253	11,508	48,257	31,094	42,83	 M 
45	F 6 ufort	8,057	51,059	129,750	137,915	42,64	 M *
46	F 6 ufort	8,057	51,203	130,190	138,302	42,63	 M *
47	P 6 5x	8,343	0,545	1,546	1,485	3,60	 M 
48	P 6 5x	8,340	0,548	1,550	1,493	3,61	 M 
49	P 6 ufort	8,290	1,658	3,290	4,491	2,31	 M 
50	P 6 ufort	8,300	1,644	3,287	4,453	2,30	 M 
51	F 7 5x	8,247	13,179	53,716	35,608	48,38	 M 
52	F 7 5x	8,233	13,752	55,142	37,155	48,42	 M 
53	F 7 ufort	8,220	0,008	0,121	0,034	0,01	Rd
54	F 7 ufort	8,227	18,767	87,406	50,698	14,47	 M 
55	P 7 5x	8,343	0,604	1,668	1,644	4,04	 M 
56	P 7 5x	8,317	0,726	2,261	1,972	4,37	 M 
57	P 7 ufort	8,297	1,838	3,507	4,976	2,55	 M 
58	P 7 ufort	8,297	1,978	3,660	5,354	2,49	 M 
59	F 8  5x	8,220	15,880	62,985	42,901	53,59	 M *
60	F 8 5x	8,223	15,870	62,543	42,875	53,99	 M 
61	F 8 ufort	8,227	16,447	92,854	44,432	11,95	 M 
62	F 8 ufort	8,117	28,963	140,493	78,236	19,05	 M 
63	Kontrol 25x	8,277	10,190	60,424	27,534	29,22	 M 
64	Kontrol 25x	8,273	10,212	60,474	27,594	29,20	 M 
65	Kontrol 2,5x	8,270	11,524	66,270	31,137	29,36	 M 
66	Kontrol 2,5x	8,263	11,533	66,388	31,162	29,36	 M 
67	P 8 5x	8,307	0,756	2,278	2,054	4,77	 M 
68	P 8 5x	8,307	0,768	2,321	2,088	4,77	 M 
69	P 8 ufort	8,253	2,198	4,550	5,949	2,94	 M 
70	P 8 ufort	8,257	2,191	4,541	5,931	2,95	 M 
71	F 9 5x	8,190	21,517	80,405	58,127	63,57	 M 
72	F 9 5x	8,173	24,489	86,683	66,152	62,96	 M 
73	F 9 ufort	8,120	32,164	151,329	86,881	18,98	 M 
74	F 9 ufort	8,173	22,022	125,817	59,489	12,97	 M 
75	P 9 5x	8,337	0,723	1,951	1,964	4,46	 M 
76	P 9 5x	8,333	0,732	1,962	1,988	4,50	 M 
77	P 9 ufort	8,303	1,836	4,009	4,972	2,38	 M 
78	P 9 ufort	8,300	1,845	4,001	4,997	2,39	 M 
79	N3 5x 12_10_2021	8,327	3,574	20,337	9,666	41,30	 M 
80	N3 5x	8,317	3,575	20,311	9,668	41,40	 M 
81	N3 ufort	8,217	16,938	62,522	45,759	40,66	 M 
82	N3 ufort	8,217	16,960	62,552	45,819	40,69	 M 
83	N3 5x 19_10_2021	8,310	4,531	24,612	12,251	39,95	 M 
84	N3 5x	8,317	4,531	24,600	12,251	39,89	 M 
85	N3 ufort	8,193	21,280	70,745	57,485	39,44	 M *
86	N3 ufort	8,190	21,272	70,799	57,464	39,47	 M 
87	N3 5x 26_10_2021	8,313	4,523	24,072	12,229	36,54	 M 
88	N3 5x	8,317	4,548	24,145	12,295	36,57	 M 
89	N3 ufort	8,193	21,846	70,291	59,014	36,09	 M 
90	N3 ufort	8,190	21,829	70,260	58,969	36,16	 M 
91	CS_A 5x 12_10_2021	8,327	2,122	8,418	5,745	11,87	 M 
92	CS_A 5x	8,323	2,323	9,107	6,285	11,79	 M 
93	CS_A ufort	8,240	10,061	23,927	27,184	10,78	 M *
94	CS_A ufort	8,240	10,044	23,877	27,140	10,70	 M *
95	CS_B 5x 12_10_2021	8,347	1,792	10,370	4,853	4,34	 M 
96	CS_B 5x	8,347	1,790	10,344	4,846	4,35	 M 
97	CS_B ufort	8,263	8,681	36,041	23,458	4,34	 M 
98	CS_B ufort	8,257	8,665	36,023	23,414	4,32	 M 
99	CS_A 5x 19_10_2021	8,323	2,464	8,868	6,668	18,86	 M 
100	CS_A 5x	8,320	2,452	8,862	6,636	18,99	 M 
101	CS_A ufort	8,247	11,049	25,173	29,854	18,13	Rd*
102	CS_A ufort	8,247	10,921	25,080	29,509	17,93	Rd*
103	CS_B 5x 19_10_2021	8,320	2,486	9,727	6,726	11,54	 M 
104	CS_B 5x	8,320	2,484	9,720	6,722	11,54	 M 
