Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1			Created On:	04-maj-22 12:40:21	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	12-maj-22 14:34:47	
No. of Injections:		176			Updated By:	Administrator	
							
By Component		Calcium					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Calcium	Calcium	Calcium	Calcium	Calcium	Calcium
1	Stabil	9,260	2,481	6,143	9,678	24,71	 M 
2	Stabil	9,257	2,502	6,198	9,761	24,83	 M 
3	Vand	9,327	0,030	0,076	0,285	21,08	 MB
4	Vand	9,330	0,011	0,027	0,210	37,72	BMB
5	Blind	9,327	0,008	0,021	0,201	35,08	BMB
6	Blind	9,327	0,006	0,014	0,191	28,31	BMB
7	Std 1 mg/l	9,323	0,225	0,581	1,033	23,75	 MB
8	Std 1 mg/l	9,317	0,227	0,587	1,040	23,51	BMB
9	Std 2,5 mg/l	9,310	0,617	1,554	2,533	24,51	 M 
10	Std 2,5 mg/l	9,310	0,620	1,567	2,547	24,59	 M 
11	Std 5 mg/l	9,287	1,269	3,166	5,032	24,86	 M 
12	Std 5 mg/l	9,297	1,276	3,172	5,061	24,98	 M 
13	Std 10 mg/l	9,143	2,527	6,214	9,858	24,83	 M 
14	Std 10 mg/l	9,250	2,538	6,301	9,897	24,93	 M 
15	Std 25 mg/l	9,110	6,407	15,519	24,728	24,95	 M 
16	Std 25 mg/l	8,827	6,425	15,476	24,797	24,56	 M 
17	Std 50 mg/l	9,060	13,050	30,289	50,189	25,20	 M 
18	Std 50 mg/l	9,077	13,352	30,059	51,348	25,83	 M 
19	Std 75 mg/l	8,987	19,290	42,913	74,108	25,21	 M 
20	Std 75 mg/l	8,983	19,306	42,922	74,169	25,22	 M 
21	Std 100 mg/l	8,913	26,158	55,359	100,436	25,42	 M *
22	Std 100 mg/l	8,907	26,103	55,333	100,223	25,38	 M 
23	5x CS_køl_A_03_05_2022	9,400	0,248	0,632	1,118	1,55	 M 
24	5x CS_A	9,317	0,160	0,406	0,781	1,01	 MB
25	ufort CS_A	9,310	0,669	1,629	2,734	0,84	 M 
26	ufort CS_A	9,283	0,596	1,488	2,455	0,76	 M 
27	5x CS_B	9,327	0,037	0,095	0,311	0,29	BMB
28	5x CS_B	9,293	0,054	0,140	0,378	0,43	 MB
29	ufort CS_B	9,240	0,298	0,704	1,311	0,46	 M 
30	ufort CS_B	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
31	10x 0h Feed 8A	9,323	0,038	0,098	0,315	0,40	BMB
32	10x 0h	9,323	0,121	0,310	0,633	1,26	 M 
33	5x 0h	9,333	0,468	1,171	1,962	2,34	 M 
34	5x 0h	9,320	0,600	1,515	2,469	3,05	 M 
35	10x 0,5h Feed 8A	9,337	0,277	0,788	1,232	2,05	 M 
36	10x 0,5h	9,313	0,420	1,066	1,781	3,10	 M 
37	5x 0,5h	9,300	1,214	3,054	4,824	4,62	 M 
38	5x 0,5h	9,297	1,253	3,148	4,973	4,85	BM 
39	10x 0,5h Retentate 8A	9,320	0,518	1,304	2,156	3,65	 M 
40	10x 0,5h	9,310	0,594	1,500	2,447	4,19	 M 
41	5x 0,5h	9,293	1,414	3,550	5,590	5,19	BM 
42	5x 0,5h	9,293	1,413	3,549	5,587	5,20	BM 
43	5x 0,5h Perm 8A	9,283	1,573	3,952	6,199	10,22	BM 
44	5x 0,5h	9,317	1,720	4,737	6,763	11,23	BM 
45	ufort 0,5h	9,173	6,194	15,273	23,912	8,42	BM 
46	ufort 0,5h	9,200	6,197	15,294	23,924	8,45	BM 
47	10x 1h Feed 8A	9,247	1,144	3,083	4,553	7,65	BM 
48	10x 1h	9,303	0,858	2,166	3,457	5,88	BM 
49	5x 1h	9,287	1,605	4,037	6,322	5,72	BM 
50	5x 1h	9,293	1,527	3,833	6,023	5,47	BM 
51	10x 1h Retentate 8A	9,337	0,700	1,753	2,852	4,62	BM 
52	10x 1h	9,337	0,766	1,978	3,106	5,06	BM 
53	5x 1h	9,297	1,570	3,930	6,187	5,38	BM 
54	5x 1h	9,253	1,548	3,860	6,103	5,29	BM 
55	5x 1h Perm 8A	9,350	0,529	1,330	2,198	3,86	BM 
56	5x 1h	9,317	0,444	1,125	1,871	3,31	 M 
57	ufort 1h	9,297	1,812	4,508	7,116	2,75	 M 
58	ufort 1h	9,297	1,749	4,377	6,875	2,66	 M 
59	10x 1,5h Feed 8A	9,317	0,424	1,075	1,794	2,58	BM 
60	10x 1,5h	9,310	0,727	1,834	2,958	4,43	BM 
61	5x 1,5h	9,243	1,680	4,200	6,609	5,17	BM 
62	5x 1,5h	9,253	1,673	4,175	6,582	5,21	BM 
63	10x 1,5h Retentate 8A	9,313	0,942	2,370	3,781	5,38	BM 
64	10x 1,5h	9,303	1,027	2,584	4,107	5,83	BM 
65	5x 1,5h	9,293	1,730	4,325	6,801	5,00	 M 
66	5x 1,5h	9,287	1,741	4,364	6,843	5,16	BM 
67	5x 1,5h Perm 8A	9,317	0,662	1,672	2,708	4,31	BM 
68	5x 1,5h	9,323	0,588	1,476	2,423	3,92	BM 
69	ufort 1,5h	9,293	2,028	5,044	7,942	2,77	 M 
