Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1_anioner			Created On:	04-maj-22 12:39:34	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	12-maj-22 14:46:57	
No. of Injections:		176			Updated By:	Administrator	
							
By Component		Chlorid					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Chlorid	Chlorid	Chlorid	Chlorid	Chlorid	Chlorid
1	Stabil	5,190	4,864	40,614	9,840	22,04	 M 
2	Stabil	5,183	4,885	40,600	9,882	22,12	 M 
3	Vand	5,190	0,001	0,008	0,141	12,61	 M 
4	Vand	5,177	0,002	0,018	0,143	1,72	 M 
5	Blind	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
6	Blind	5,180	0,002	0,015	0,142	26,57	 M 
7	Std 1 mg/l	5,183	0,465	4,077	1,067	21,36	BMB
8	Std 1 mg/l	5,187	0,465	4,072	1,067	21,45	BMB
9	Std 2,5 mg/l	5,183	1,201	10,297	2,534	21,60	 MB
10	Std 2,5 mg/l	5,183	1,375	11,757	2,881	23,87	 MB
11	Std 5 mg/l	5,187	2,502	21,123	5,130	22,08	 MB
12	Std 5 mg/l	5,187	2,497	21,107	5,120	22,05	 MB
13	Std 10 mg/l	5,190	4,857	40,592	9,826	22,08	 MB
14	Std 10 mg/l	5,187	4,876	40,761	9,866	22,11	 MB
15	Std 25 mg/l	5,197	12,296	101,295	24,665	22,86	 M 
16	Std 25 mg/l	5,197	12,439	102,361	24,951	22,88	 M 
17	Std 50 mg/l	5,200	25,038	201,497	50,081	23,58	 M 
18	Std 50 mg/l	5,197	25,022	201,215	50,049	23,59	 M 
19	Std 75 mg/l	5,210	37,253	292,060	74,445	24,00	 M 
20	Std 75 mg/l	5,207	37,259	291,815	74,457	24,01	 M 
21	Std 100 mg/l	5,213	50,280	380,542	100,428	24,38	 M 
