Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1			Created On:	04-maj-22 12:40:21	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	12-maj-22 14:29:53	
No. of Injections:		176			Updated By:	Administrator	
							
By Component		Kalium					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Kalium	Kalium	Kalium	Kalium	Kalium	Kalium
1	Stabil	4,377	1,398	9,794	9,924	13,93	 M 
2	Stabil	4,373	1,395	9,814	9,904	13,84	 M 
3	Vand	4,400	0,011	0,080	0,209	8,05	BM 
4	Vand	4,403	0,001	0,006	0,135	3,20	BMB
5	Blind	4,397	0,001	0,008	0,137	4,89	BMB
6	Blind	4,397	0,001	0,010	0,139	7,35	BMB
7	Std 1 mg/l	4,393	0,126	0,907	1,011	13,28	BMB
8	Std 1 mg/l	4,387	0,128	0,923	1,028	13,28	BMB
9	Std 2,5 mg/l	4,390	0,339	2,413	2,503	13,47	 M 
10	Std 2,5 mg/l	4,390	0,339	2,413	2,501	13,42	 M 
11	Std 5 mg/l	4,380	0,697	4,928	5,014	13,66	 M 
12	Std 5 mg/l	4,380	0,696	4,932	5,004	13,62	 M 
13	Std 10 mg/l	4,377	1,398	9,818	9,921	13,73	 M 
14	Std 10 mg/l	4,373	1,397	9,841	9,917	13,72	 M 
15	Std 25 mg/l	4,390	3,534	25,205	24,893	13,76	 M 
16	Std 25 mg/l	4,537	3,577	28,429	25,195	13,68	 M 
17	Std 50 mg/l	4,353	7,201	50,161	50,584	13,91	 M 
18	Std 50 mg/l	4,357	7,114	49,594	49,971	13,76	 M 
19	Std 75 mg/l	4,350	10,608	73,687	74,455	13,86	 M 
20	Std 75 mg/l	4,350	10,616	73,787	74,514	13,87	 M 
21	Std 100 mg/l	4,350	14,299	99,145	100,314	13,90	 M 
22	Std 100 mg/l	4,343	14,279	99,189	100,175	13,88	 M 
23	5x CS_køl_A_03_05_2022	4,390	0,639	4,386	4,604	4,01	 MB
24	5x CS_A	4,383	0,642	4,456	4,625	4,05	 MB
25	ufort CS_A	4,397	3,526	23,092	24,836	4,45	 M 
26	ufort CS_A	4,387	3,338	22,992	23,515	4,23	 M 
27	5x CS_B	4,383	0,712	4,897	5,115	5,56	 MB
28	5x CS_B	4,370	0,676	4,727	4,867	5,36	 MB
29	ufort CS_B	4,427	3,600	24,465	25,351	5,61	 M 
30	ufort CS_B	4,443	2,126	13,500	15,022	2,70	 M 
31	10x 0h Feed 8A	4,390	0,073	0,519	0,644	0,77	 MB*
32	10x 0h	4,390	0,061	0,438	0,554	0,64	 MB*
33	5x 0h	4,393	0,190	1,312	1,461	0,95	 MB*
34	5x 0h	4,400	0,143	0,987	1,132	0,73	 MB*
35	10x 0,5h Feed 8A	4,393	0,089	0,572	0,751	0,66	 MB
36	10x 0,5h	4,390	0,088	0,561	0,743	0,65	 MB
37	5x 0,5h	4,393	0,202	1,283	1,547	0,77	 M *
38	5x 0,5h	4,390	0,165	1,116	1,283	0,64	 MB*
39	10x 0,5h Retentate 8A	4,397	0,095	0,609	0,794	0,67	 MB
40	10x 0,5h	4,390	0,091	0,576	0,764	0,64	 MB
41	5x 0,5h	4,390	0,199	1,158	1,525	0,73	 M *
42	5x 0,5h	4,390	0,166	1,115	1,289	0,61	 MB*
43	5x 0,5h Perm 8A	4,390	0,080	0,550	0,690	0,52	 MB*
44	5x 0,5h	4,387	0,078	0,527	0,674	0,51	 MB*
45	ufort 0,5h	4,387	0,538	2,916	3,896	0,73	 M *
46	ufort 0,5h	4,397	0,479	2,865	3,484	0,65	 M *
47	10x 1h Feed 8A	4,423	0,099	0,615	0,821	0,66	 M 
48	10x 1h	4,390	0,088	0,578	0,749	0,61	 MB
49	5x 1h	4,393	0,203	1,204	1,551	0,72	 M 
50	5x 1h	4,393	0,170	1,163	1,318	0,61	 MB*
51	10x 1h Retentate 8A	4,393	0,098	0,624	0,819	0,65	 MB
52	10x 1h	4,390	0,097	0,613	0,812	0,64	 MB
53	5x 1h	4,397	0,214	1,262	1,631	0,73	 M *
54	5x 1h	4,407	0,183	1,226	1,414	0,63	 MB*
55	5x 1h Perm 8A	4,397	0,080	0,503	0,688	0,58	 MB
56	5x 1h	4,390	0,079	0,504	0,685	0,59	 MB
57	ufort 1h	4,403	0,505	2,801	3,669	0,77	 M *
58	ufort 1h	4,400	0,463	2,765	3,376	0,71	 M *
59	10x 1,5h Feed 8A	4,390	0,115	0,706	0,935	0,70	 MB
60	10x 1,5h	4,390	0,105	0,672	0,868	0,64	 MB
61	5x 1,5h	4,403	0,265	1,448	1,987	0,82	 M *
62	5x 1,5h	4,407	0,255	1,401	1,916	0,79	 M 
63	10x 1,5h Retentate 8A	4,390	0,116	0,720	0,945	0,66	 MB
64	10x 1,5h	4,393	0,118	0,722	0,954	0,67	 MB
65	5x 1,5h	4,397	0,310	1,867	2,304	0,90	 M *
66	5x 1,5h	4,390	0,228	1,474	1,729	0,68	 MB*
67	5x 1,5h Perm 8A	4,397	0,096	0,597	0,802	0,62	 MB
68	5x 1,5h	4,390	0,093	0,583	0,783	0,62	 MB
69	ufort 1,5h	4,403	0,550	3,158	3,986	0,75	 M *
70	ufort 1,5h	4,387	0,529	3,107	3,833	0,73	 M *
71	Kontrol 200x	4,383	0,217	1,519	1,650	7,60	 MB
72	Kontrol 200x	4,387	0,159	1,126	1,243	6,33	 M 
73	Kontrol 20x	4,360	1,470	9,928	10,428	6,44	 M 
74	Kontrol 20x	4,367	1,459	9,900	10,355	6,41	 M 
75	10x 2h Feed 8A	4,390	0,157	0,847	1,226	0,82	 M 
76	10x 2h	4,397	0,137	0,821	1,086	0,69	 MB
77	5x 2h	4,400	0,294	1,735	2,189	0,76	 M *
78	5x 2h	4,400	0,285	1,714	2,127	0,74	 M *
79	10x 2h Retentate 8A	4,397	0,147	0,888	1,161	0,70	 MB
80	10x 2h	4,390	0,149	0,885	1,171	0,71	 MB
81	5x 2h	4,400	0,320	1,852	2,369	0,78	 M *
82	5x 2h	4,400	0,311	1,830	2,307	0,76	 M *
83	5x 2h Perm 8A	4,390	0,129	0,788	1,036	0,68	 MB
84	5x 2h	4,397	0,121	0,728	0,979	0,65	 MB
