Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1			Created On:	04-maj-22 12:40:21	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	12-maj-22 14:10:21	
No. of Injections:		176			Updated By:	Administrator	
							
By Component		Natrium					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Natrium	Natrium	Natrium	Natrium	Natrium	Natrium
1	Stabil	3,040	2,206	21,192	9,765	21,97	 M 
2	Stabil	3,037	2,194	21,143	9,711	21,77	 M 
3	Vand	3,037	0,059	0,586	n.a.	41,77	BM 
4	Vand	3,037	0,003	0,026	n.a.	9,61	BM 
5	Blind	3,027	0,004	0,034	n.a.	14,98	BM 
6	Blind	3,027	0,005	0,052	n.a.	26,76	BM 
7	Std 1 mg/l	3,037	0,240	2,335	0,817	25,34	BM 
8	Std 1 mg/l	3,030	0,240	2,330	0,814	24,80	 M 
9	Std 2,5 mg/l	3,037	0,569	5,509	2,314	22,62	 M 
10	Std 2,5 mg/l	3,037	0,571	5,517	2,323	22,64	 M 
11	Std 5 mg/l	3,033	1,122	10,838	4,829	21,98	 M 
12	Std 5 mg/l	3,033	1,123	10,856	4,834	21,97	 M 
13	Std 10 mg/l	3,033	2,237	21,159	9,904	21,97	 M 
14	Std 10 mg/l	3,037	2,207	21,238	9,771	21,68	 M 
15	Std 25 mg/l	3,090	5,587	52,884	25,153	21,75	 M 
16	Std 25 mg/l	3,267	5,956	53,338	26,833	22,77	 M 
17	Std 50 mg/l	3,057	11,117	104,482	50,326	21,47	 M 
18	Std 50 mg/l	3,057	10,998	103,407	49,785	21,28	 M 
19	Std 75 mg/l	3,070	16,438	150,168	74,546	21,48	 M 
20	Std 75 mg/l	3,070	16,449	150,165	74,596	21,48	 M 
21	Std 100 mg/l	3,087	22,029	194,110	99,994	21,41	 M 
22	Std 100 mg/l	3,080	22,065	194,099	100,160	21,46	 M 
23	5x CS_køl_A_03_05_2022	3,083	14,586	136,189	66,115	91,61	BM 
24	5x CS_A	3,077	14,759	137,736	66,905	93,22	BM 
