Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1_anioner			Created On:	04-maj-22 12:39:34	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	12-maj-22 15:08:27	
No. of Injections:		176			Updated By:	Administrator	
							
By Component		Sulfat					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Sulfat	Sulfat	Sulfat	Sulfat	Sulfat	Sulfat
1	Stabil	7,953	3,645	25,228	9,941	16,52	 M 
2	Stabil	7,947	3,640	25,131	9,925	16,48	 M 
3	Vand	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Vand	7,920	0,058	0,112	0,132	46,51	 M 
5	Blind	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
6	Blind	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
7	Std 1 mg/l	7,980	0,379	2,408	1,010	17,41	 M 
8	Std 1 mg/l	7,987	0,378	2,405	1,007	17,43	 M 
9	Std 2,5 mg/l	7,977	0,921	6,444	2,491	16,56	 M 
10	Std 2,5 mg/l	7,977	0,929	6,505	2,514	16,13	 M 
11	Std 5 mg/l	7,967	1,853	13,125	5,039	16,35	 M 
12	Std 5 mg/l	7,970	1,854	13,133	5,044	16,37	 M 
13	Std 10 mg/l	7,953	3,656	25,176	9,969	16,62	 M 
14	Std 10 mg/l	7,947	3,665	25,226	9,994	16,62	 M 
15	Std 25 mg/l	7,903	9,088	55,514	24,822	16,90	 M 
16	Std 25 mg/l	7,903	9,201	56,169	25,132	16,92	 M 
17	Std 50 mg/l	7,840	18,352	94,416	50,154	17,29	 M 
18	Std 50 mg/l	7,840	18,320	94,337	50,066	17,27	 M 
19	Std 75 mg/l	7,793	27,340	124,198	74,729	17,61	 M 
20	Std 75 mg/l	7,790	27,331	124,032	74,703	17,61	 M 
21	Std 100 mg/l	7,747	36,645	150,680	100,170	17,77	 M 
22	Std 100 mg/l	7,747	36,640	150,596	100,157	17,76	 M 
23	5x CS_køl_A_03_05_2022	7,927	2,789	9,400	7,599	19,57	 M 
24	5x CS_A	7,923	2,571	9,382	7,004	18,06	 M 
25	ufort CS_A	7,833	8,643	25,315	23,606	12,78	 M *
26	ufort CS_A	7,840	8,701	25,808	23,765	12,51	 M 
27	5x CS_B	7,960	0,889	3,778	2,404	2,40	 M 
