Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1			Created On:	04-maj-22 12:40:21	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	12-maj-22 14:38:03	
No. of Injections:		176			Updated By:	Administrator	
							
By Component		Magnesium					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Magnesium	Magnesium	Magnesium	Magnesium	Magnesium	Magnesium
1	Stabil	7,354	3,946	12,101	9,771	39,30	 M 
2	Stabil	7,350	3,985	12,223	9,869	39,54	 M 
3	Vand	7,403	0,040	0,111	0,081	27,80	 M 
4	Vand	7,403	0,012	0,036	0,012	40,90	BMB
5	Blind	7,397	0,008	0,025	0,003	35,26	BMB
6	Blind	7,393	0,005	0,016	n.a.	26,61	BMB
7	Std 1 mg/l	7,400	0,356	1,104	0,867	37,59	BM 
8	Std 1 mg/l	7,393	0,370	1,150	0,902	38,34	BMB
9	Std 2,5 mg/l	7,393	0,990	3,052	2,439	39,35	 M 
10	Std 2,5 mg/l	7,393	0,992	3,064	2,445	39,34	 M 
11	Std 5 mg/l	7,373	2,014	6,185	4,980	39,47	 M 
12	Std 5 mg/l	7,377	2,014	6,197	4,979	39,42	 M 
13	Std 10 mg/l	7,250	4,011	12,303	9,934	39,41	 M 
14	Std 10 mg/l	7,353	4,038	12,499	10,000	39,66	 M 
15	Std 25 mg/l	7,220	10,149	31,037	25,161	39,52	 M 
16	Std 25 mg/l	6,967	10,163	31,587	25,196	38,85	 M 
17	Std 50 mg/l	7,170	20,369	59,352	50,513	39,34	 M 
18	Std 50 mg/l	7,190	20,198	58,859	50,089	39,08	 M 
19	Std 75 mg/l	7,110	30,130	83,550	74,727	39,38	 M 
20	Std 75 mg/l	7,110	30,144	83,720	74,762	39,37	 M *
21	Std 100 mg/l	7,050	40,322	106,653	100,012	39,19	 M 
