Summary							
							
Sequence Details							
Name:		CS_køl_Stu_8A_8B_04_05_2022_1_anioner			Created On:	04-maj-22 12:39:34	
Directory:		LWS\Steffen og Lærke			Created By:	PD100854	
Data Vault:		ChromeleonLocal			Updated On:	12-maj-22 15:15:17	
No. of Injections:		176			Updated By:	Administrator	
							
By Component		Nitrat					
							
No. 	Injection Name	Ret.Time	Area	Height	Amount	Rel.Area 	Peak Type 
		min	µS*min	µS		%	
		CD_1	CD_1	CD_1	CD_1	CD_1	CD_1
		Nitrat	Nitrat	Nitrat	Nitrat	Nitrat	Nitrat
1	Stabil	7,193	2,641	18,610	9,899	11,97	 M 
2	Stabil	7,190	2,641	18,577	9,900	11,96	 M 
3	Vand	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Vand	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5	Blind	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
6	Blind	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
7	Std 1 mg/l	7,207	0,223	1,605	1,215	10,22	 M 
8	Std 1 mg/l	7,213	0,222	1,599	1,214	10,24	 M 
9	Std 2,5 mg/l	7,207	0,617	4,481	2,632	11,10	 M 
10	Std 2,5 mg/l	7,207	0,621	4,505	2,645	10,77	 M 
11	Std 5 mg/l	7,200	1,295	9,304	5,067	11,43	 M 
12	Std 5 mg/l	7,207	1,295	9,306	5,066	11,43	 M 
13	Std 10 mg/l	7,197	2,630	18,580	9,859	11,95	 M 
14	Std 10 mg/l	7,193	2,638	18,644	9,888	11,96	 M 
15	Std 25 mg/l	7,170	6,750	45,369	24,652	12,55	 M 
16	Std 25 mg/l	7,167	6,841	45,953	24,981	12,58	 M 
17	Std 50 mg/l	7,123	13,794	84,675	49,947	12,99	 M 
18	Std 50 mg/l	7,123	13,797	84,650	49,956	13,01	 M 
19	Std 75 mg/l	7,093	20,631	117,100	74,494	13,29	 M 
20	Std 75 mg/l	7,090	20,613	116,934	74,430	13,28	 M 
21	Std 100 mg/l	7,057	27,869	147,640	100,484	13,51	 M 
22	Std 100 mg/l	7,060	27,866	147,565	100,471	13,51	 M 
23	5x CS_køl_A_03_05_2022	7,157	4,722	34,128	17,370	33,14	 M 
24	5x CS_A	7,153	4,721	34,130	17,368	33,16	BM 
25	ufort CS_A	6,887	24,873	147,739	89,726	36,77	 M *^
26	ufort CS_A	6,887	25,481	144,368	91,910	36,65	 M ^
27	5x CS_B	7,073	31,017	158,142	111,787	83,84	 M 
28	5x CS_B	7,063	30,997	158,106	111,713	83,84	BM 
29	ufort CS_B	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
30	ufort CS_B	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
31	10x 0h Feed 8A	7,190	0,152	1,214	0,963	1,31	BM 
32	10x 0h	7,190	0,124	0,963	0,861	1,35	BM 
33	5x 0h	7,163	0,322	2,663	1,571	1,41	BM 
34	5x 0h	7,170	0,358	2,946	1,701	1,51	BM 
35	10x 0,5h Feed 8A	7,193	0,143	1,147	0,928	1,12	BM 
36	10x 0,5h	7,187	0,142	1,144	0,927	1,11	BM 
37	5x 0,5h	7,160	0,318	2,624	1,557	1,23	BM 
38	5x 0,5h	7,160	0,324	2,682	1,580	1,23	BM 
39	10x 0,5h Retentate 8A	7,187	0,137	1,101	0,906	1,04	BM 
40	10x 0,5h	7,190	0,136	1,099	0,905	1,04	BM 
41	5x 0,5h	7,160	0,302	2,497	1,499	1,16	BM 
42	5x 0,5h	7,163	0,302	2,489	1,499	1,16	BM 
43	5x 0,5h Perm 8A	7,190	0,363	2,888	1,720	1,45	BM 
44	5x 0,5h	7,193	0,418	3,337	1,918	1,56	BM 
45	ufort 0,5h	7,080	2,046	22,471	7,762	1,66	 M 
46	ufort 0,5h	7,077	2,051	22,579	7,779	1,67	 M 
47	10x 1h Feed 8A	7,187	0,134	1,090	0,898	0,99	BM 
48	10x 1h	7,183	0,134	1,091	0,897	0,99	BM 
49	5x 1h	7,153	0,294	2,442	1,471	1,11	BM 
50	5x 1h	7,153	0,345	2,856	1,655	1,21	BM 
51	10x 1h Retentate 8A	7,190	0,129	1,055	0,881	0,93	BM 
52	10x 1h	7,187	0,129	1,059	0,881	0,93	BM 
53	5x 1h	7,153	0,289	2,408	1,455	1,06	BM 
54	5x 1h	7,153	0,292	2,419	1,463	1,06	BM 
55	5x 1h Perm 8A	7,187	0,357	2,876	1,698	1,94	BM 
56	5x 1h	7,183	0,357	2,875	1,698	1,94	BM 
57	ufort 1h	7,047	1,921	22,813	7,315	2,16	 M *
58	ufort 1h	7,043	1,959	22,818	7,450	2,22	 M *
59	10x 1,5h Feed 8A	7,180	0,123	1,005	0,857	0,85	BM 
60	10x 1,5h	7,177	0,152	1,260	0,963	0,95	BM 
61	5x 1,5h	7,150	0,276	2,302	1,408	0,96	BM 
62	5x 1,5h	7,153	0,317	2,637	1,556	1,07	BM 
63	10x 1,5h Retentate 8A	7,177	0,123	1,011	0,856	0,78	BM 
64	10x 1,5h	7,177	0,122	1,010	0,854	0,78	BM 
65	5x 1,5h	7,140	0,267	2,230	1,376	0,90	BM 
66	5x 1,5h	7,137	0,353	3,003	1,684	1,07	BM 
67	5x 1,5h Perm 8A	7,183	0,302	2,675	1,499	1,52	Ru
68	5x 1,5h	7,180	0,302	2,684	1,501	1,52	Ru
69	ufort 1,5h	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
70	ufort 1,5h	7,283	1,077	4,684	4,282	1,14	 M *
71	Kontrol 25x	7,200	0,993	7,213	3,981	13,58	 M 
72	Kontrol 25x	7,197	0,989	7,200	3,968	13,57	 M 
