//Comments
											
//Filter test
//Comment
//Data
TimeStamp	P_Misc.rLT0101 [m]	P_Misc.rConT0201 [muS/cm]	P_Misc.rPHT0201 [-]	P_Misc.rConT0301 [muS/cm]	P_Misc.rFT0301 [ml/min]	P_Misc.rPT0301 [bar]	P_Misc.rPT0302 [bar]	P_Misc.rPT0401 [bar]	P_Misc.rFT0401 [ml/min]	P_Misc.rPT0501 [bar]	P_Misc.rConT0501 [muS/cm]	P_Misc.rTT0501 [C]	P_Misc.rPT0601 [bar]	P_Misc.rTT0601 [C]	P_Misc.bPV0201 [1=open]	P_Misc.bPV0301 [1=open]	P_Misc.bPV0302 [1=open]	P_Misc.bPV0303 [1=open]	P_Misc.bPV0501 [1=open]	P_Misc.rCV0301 [%]	P_Misc.rPMP0201 [ml/min]	P_Misc.rPMP0301 [ml/min]	P_Misc.rPMP0401 [%]	P_Misc.rPMP0501 [%]	P_Misc.rFT0301_Avg [ml/min]	P_Misc.rPT0301_Avg [bar]	P_Misc.rPT0302_Avg [bar]	P_Misc.rPT0401_Avg [bar]	P_Misc.rFT0401_Avg [ml/min]	P_Misc.rPT0501_Avg [bar]	P_Misc.rFT0302 [ml/min]	P_Misc.rFT0302_Weight [g]	P_Misc.rFT0501 [ml/min]	P_Misc.rFT0501_Weight [g]	P_Misc.bPV0401 [1=open]	P_Misc.rPHT0301 [-]	P_Misc.rPHT0501 [-]	P_Misc.rConT0302 [muS/cm]	P_Misc.iSystemState [-]
18-11-2021 11:22:10	0.00000	957.30	9.43	967.13	15.87	0.000	0.000	0.000	0.00	2.977	360.94	20.71	4.720	22.62	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.94	0.000	0.000	0.000	0.00	3.007	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:11	0.00000	957.21	9.43	965.61	15.87	0.000	0.000	0.000	0.00	3.034	360.48	20.71	4.724	22.62	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.94	0.000	0.000	0.000	0.00	3.007	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:12	0.00000	957.24	9.43	965.61	16.24	0.000	0.000	0.000	0.00	3.060	360.42	20.71	4.725	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.94	0.000	0.000	0.000	0.00	3.006	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:13	0.00000	957.12	9.43	964.08	15.99	0.000	0.000	0.000	0.00	3.005	359.97	20.71	4.733	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.94	0.000	0.000	0.000	0.00	3.006	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:14	0.00000	957.30	9.43	964.38	15.87	0.000	0.000	0.000	0.00	2.944	359.63	20.71	4.733	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.94	0.000	0.000	0.000	0.00	3.005	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:15	0.00000	957.43	9.43	965.30	15.99	0.000	0.000	0.000	0.00	2.978	358.59	20.71	4.735	22.62	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.95	0.000	0.000	0.000	0.00	3.005	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:16	0.00000	957.15	9.43	963.47	15.87	0.000	0.000	0.000	0.00	3.034	357.46	20.71	4.759	22.62	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.95	0.000	0.000	0.000	0.00	3.005	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:17	0.00000	956.94	9.43	964.08	15.99	0.000	0.000	0.000	0.00	3.057	357.07	20.72	4.715	22.62	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.95	0.000	0.000	0.000	0.00	3.005	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:18	0.00000	957.12	9.43	964.08	15.99	0.000	0.000	0.000	0.00	3.001	358.96	20.71	4.721	22.62	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.95	0.000	0.000	0.000	0.00	3.004	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:19	0.00000	956.91	9.43	962.55	15.99	0.000	0.000	0.000	0.00	2.941	359.17	20.71	4.728	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.94	0.000	0.000	0.000	0.00	3.003	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:20	0.00000	957.00	9.43	961.03	16.24	0.000	0.000	0.000	0.00	2.977	356.49	20.72	4.730	22.62	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.94	0.000	0.000	0.000	0.00	3.003	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:21	0.00000	956.88	9.43	963.16	15.87	0.000	0.000	0.000	0.00	3.033	355.97	20.72	4.731	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.94	0.000	0.000	0.000	0.00	3.003	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:22	0.00000	957.09	9.43	963.47	15.87	0.000	0.000	0.000	0.00	3.054	355.75	20.72	4.733	22.62	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.95	0.000	0.000	0.000	0.00	3.003	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:23	0.00000	957.15	9.43	964.38	15.99	0.000	0.000	0.000	0.00	2.996	356.12	20.72	4.735	22.63	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.95	0.000	0.000	0.000	0.00	3.002	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
18-11-2021 11:22:24	0.00000	957.12	9.43	965.30	16.24	0.000	0.000	0.000	0.00	2.939	356.61	20.72	4.759	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.95	0.000	0.000	0.000	0.00	3.002	0.00	0.000000	0.00	56.500000	0.00	0.00	0.00	0.00	-1
