//Comments
											
//Filter test
//Comment
//Data
TimeStamp	P_Misc.rLT0101 [m]	P_Misc.rConT0201 [muS/cm]	P_Misc.rPHT0201 [-]	P_Misc.rConT0301 [muS/cm]	P_Misc.rFT0301 [ml/min]	P_Misc.rPT0301 [bar]	P_Misc.rPT0302 [bar]	P_Misc.rPT0401 [bar]	P_Misc.rFT0401 [ml/min]	P_Misc.rPT0501 [bar]	P_Misc.rConT0501 [muS/cm]	P_Misc.rTT0501 [C]	P_Misc.rPT0601 [bar]	P_Misc.rTT0601 [C]	P_Misc.bPV0201 [1=open]	P_Misc.bPV0301 [1=open]	P_Misc.bPV0302 [1=open]	P_Misc.bPV0303 [1=open]	P_Misc.bPV0501 [1=open]	P_Misc.rCV0301 [%]	P_Misc.rPMP0201 [ml/min]	P_Misc.rPMP0301 [ml/min]	P_Misc.rPMP0401 [%]	P_Misc.rPMP0501 [%]	P_Misc.rFT0301_Avg [ml/min]	P_Misc.rPT0301_Avg [bar]	P_Misc.rPT0302_Avg [bar]	P_Misc.rPT0401_Avg [bar]	P_Misc.rFT0401_Avg [ml/min]	P_Misc.rPT0501_Avg [bar]	P_Misc.rFT0302 [ml/min]	P_Misc.rFT0302_Weight [g]	P_Misc.rFT0501 [ml/min]	P_Misc.rFT0501_Weight [g]	P_Misc.bPV0401 [1=open]	P_Misc.rPHT0301 [-]	P_Misc.rPHT0501 [-]	P_Misc.rConT0302 [muS/cm]	P_Misc.iSystemState [-]
29-11-2021 09:08:44	0.00000	419.29	7.87	429.70	1170.32	0.969	0.861	0.000	0.00	0.000	580.95	20.98	4.722	22.62	1	0	0	0	1	0.00	0.00	387.23	0.00	0.00	1190.49	0.979	0.858	0.000	0.00	0.000	0.00	0.000000	16.89	92.699997	0.00	0.00	0.00	0.00	20
29-11-2021 09:09:19	0.00000	419.29	7.87	428.17	1164.71	0.965	0.853	0.000	0.00	0.000	583.94	20.97	4.717	22.61	1	0	0	0	1	0.00	0.00	368.93	0.00	0.00	1173.61	0.978	0.859	0.000	0.00	0.000	0.00	0.000000	5.98	96.300003	0.00	0.00	0.00	0.00	20
29-11-2021 09:09:19	0.00000	419.32	7.87	428.17	1167.64	0.967	0.848	0.000	0.00	0.000	584.31	20.97	4.728	22.61	1	0	0	0	1	0.00	0.00	368.93	0.00	0.00	1173.35	0.978	0.859	0.000	0.00	0.000	0.00	0.000000	5.98	96.300003	0.00	0.00	0.00	0.00	20
29-11-2021 09:09:20	0.00000	417.95	7.87	422.38	1162.02	0.982	0.862	0.000	0.00	0.000	587.02	20.97	4.716	22.61	1	0	0	0	1	0.00	0.00	367.34	0.00	0.00	1172.47	0.978	0.860	0.000	0.00	0.000	0.00	0.000000	5.78	96.400002	0.00	0.00	0.00	0.00	20
29-11-2021 09:09:21	0.00000	419.32	7.87	430.62	1144.81	0.988	0.867	0.000	0.00	0.000	586.20	20.97	4.716	22.61	1	0	0	0	1	0.00	0.00	367.34	0.00	0.00	1170.52	0.979	0.861	0.000	0.00	0.000	0.00	0.000000	5.78	96.500000	0.00	0.00	0.00	0.00	20
29-11-2021 09:09:22	0.00000	419.45	7.87	427.56	1160.92	0.980	0.864	0.000	0.00	0.000	586.50	20.97	4.722	22.61	1	0	0	0	1	0.00	0.00	367.34	0.00	0.00	1169.06	0.980	0.861	0.000	0.00	0.000	0.00	0.000000	5.78	96.500000	0.00	0.00	0.00	0.00	20
29-11-2021 09:09:23	0.00000	419.32	7.87	430.62	1142.37	0.992	0.874	0.000	0.00	0.000	586.66	20.97	4.720	22.61	1	0	0	0	1	0.00	0.00	367.34	0.00	0.00	1167.56	0.981	0.862	0.000	0.00	0.000	0.00	0.000000	5.39	96.500000	0.00	0.00	0.00	0.00	20
29-11-2021 09:09:24	0.00000	419.20	7.87	428.79	1132.85	0.993	0.878	0.000	0.00	0.000	586.41	20.98	4.727	22.61	1	0	0	0	1	0.00	0.00	367.34	0.00	0.00	1166.08	0.981	0.863	0.000	0.00	0.000	0.00	0.000000	5.19	96.500000	0.00	0.00	0.00	0.00	20
29-11-2021 09:09:25	0.00000	418.20	7.87	432.75	1149.82	1.040	0.875	0.000	0.00	0.000	587.36	20.98	4.763	22.60	1	0	0	0	1	0.00	0.00	367.34	0.00	0.00	1164.58	0.982	0.864	0.000	0.00	0.000	0.00	0.000000	5.19	96.699997	0.00	0.00	0.00	0.00	20
29-11-2021 09:09:26	0.00000	419.05	7.87	431.53	1141.88	0.985	0.870	0.000	0.00	0.000	586.41	20.97	4.744	22.61	1	0	0	0	1	0.00	0.00	366.33	0.00	0.00	1162.81	0.983	0.865	0.000	0.00	0.000	0.00	0.000000	5.20	96.800003	0.00	0.00	0.00	0.00	20
