//Comments
											
//Filter test
//Comment
//Data
TimeStamp	P_Misc.rLT0101 [m]	P_Misc.rConT0201 [muS/cm]	P_Misc.rPHT0201 [-]	P_Misc.rConT0301 [muS/cm]	P_Misc.rFT0301 [ml/min]	P_Misc.rPT0301 [bar]	P_Misc.rPT0302 [bar]	P_Misc.rPT0401 [bar]	P_Misc.rFT0401 [ml/min]	P_Misc.rPT0501 [bar]	P_Misc.rConT0501 [muS/cm]	P_Misc.rTT0501 [C]	P_Misc.rPT0601 [bar]	P_Misc.rTT0601 [C]	P_Misc.bPV0201 [1=open]	P_Misc.bPV0301 [1=open]	P_Misc.bPV0302 [1=open]	P_Misc.bPV0303 [1=open]	P_Misc.bPV0501 [1=open]	P_Misc.rCV0301 [%]	P_Misc.rPMP0201 [ml/min]	P_Misc.rPMP0301 [ml/min]	P_Misc.rPMP0401 [%]	P_Misc.rPMP0501 [%]	P_Misc.rFT0301_Avg [ml/min]	P_Misc.rPT0301_Avg [bar]	P_Misc.rPT0302_Avg [bar]	P_Misc.rPT0401_Avg [bar]	P_Misc.rFT0401_Avg [ml/min]	P_Misc.rPT0501_Avg [bar]	P_Misc.rFT0302 [ml/min]	P_Misc.rFT0302_Weight [g]	P_Misc.rFT0501 [ml/min]	P_Misc.rFT0501_Weight [g]	P_Misc.bPV0401 [1=open]	P_Misc.rPHT0301 [-]	P_Misc.rPHT0501 [-]	P_Misc.rConT0302 [muS/cm]	P_Misc.iSystemState [-]
23-11-2021 08:32:08	0.00000	425.92	8.21	433.67	18.19	0.000	0.000	0.000	0.00	0.000	105.26	21.18	4.743	22.57	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	21.06	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	106.000000	0.00	0.00	0.00	0.00	-1
23-11-2021 08:32:09	0.00000	425.86	8.21	431.23	18.31	0.000	0.000	0.000	0.00	0.000	105.35	21.18	4.720	22.57	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	21.06	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	106.000000	0.00	0.00	0.00	0.00	-1
23-11-2021 08:32:10	0.00000	425.82	8.21	432.75	18.31	0.000	0.000	0.000	0.00	0.000	105.44	21.18	4.719	22.57	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	21.06	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	106.000000	0.00	0.00	0.00	0.00	-1
23-11-2021 08:32:11	0.00000	425.79	8.21	431.23	18.31	0.000	0.000	0.000	0.00	0.000	105.26	21.18	4.725	22.57	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	20.90	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	106.000000	0.00	0.00	0.00	0.00	-1
23-11-2021 08:32:12	0.00000	425.95	8.21	433.67	18.56	0.000	0.000	0.000	0.00	0.000	105.35	21.18	4.732	22.56	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.78	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	106.000000	0.00	0.00	0.00	0.00	-1
23-11-2021 08:32:13	0.00000	425.95	8.21	431.53	17.94	0.000	0.000	0.000	0.00	0.000	105.26	21.17	4.745	22.57	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.32	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	106.000000	0.00	0.00	0.00	0.00	-1
23-11-2021 08:32:14	0.00000	425.92	8.22	432.14	18.31	0.000	0.000	0.000	0.00	0.000	104.95	21.18	4.709	22.56	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.28	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	106.000000	0.00	0.00	0.00	0.00	-1
23-11-2021 08:32:15	0.00000	425.92	8.22	430.31	18.31	0.000	0.000	0.000	0.00	0.000	105.23	21.18	4.701	22.57	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.28	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	106.000000	0.00	0.00	0.00	0.00	-1
23-11-2021 08:32:16	0.00000	426.07	8.22	432.14	18.31	0.000	0.000	0.000	0.00	0.000	105.26	21.18	4.715	22.56	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.27	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	106.000000	0.00	0.00	0.00	0.00	-1
23-11-2021 08:32:17	0.00000	426.01	8.22	433.36	18.31	0.000	0.000	0.000	0.00	0.000	105.14	21.17	4.719	22.57	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.27	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	106.000000	0.00	0.00	0.00	0.00	-1
