//Comments
											
//Filter test
//Comment
//Data
TimeStamp	P_Misc.rLT0101 [m]	P_Misc.rConT0201 [muS/cm]	P_Misc.rPHT0201 [-]	P_Misc.rConT0301 [muS/cm]	P_Misc.rFT0301 [ml/min]	P_Misc.rPT0301 [bar]	P_Misc.rPT0302 [bar]	P_Misc.rPT0401 [bar]	P_Misc.rFT0401 [ml/min]	P_Misc.rPT0501 [bar]	P_Misc.rConT0501 [muS/cm]	P_Misc.rTT0501 [C]	P_Misc.rPT0601 [bar]	P_Misc.rTT0601 [C]	P_Misc.bPV0201 [1=open]	P_Misc.bPV0301 [1=open]	P_Misc.bPV0302 [1=open]	P_Misc.bPV0303 [1=open]	P_Misc.bPV0501 [1=open]	P_Misc.rCV0301 [%]	P_Misc.rPMP0201 [ml/min]	P_Misc.rPMP0301 [ml/min]	P_Misc.rPMP0401 [%]	P_Misc.rPMP0501 [%]	P_Misc.rFT0301_Avg [ml/min]	P_Misc.rPT0301_Avg [bar]	P_Misc.rPT0302_Avg [bar]	P_Misc.rPT0401_Avg [bar]	P_Misc.rFT0401_Avg [ml/min]	P_Misc.rPT0501_Avg [bar]	P_Misc.rFT0302 [ml/min]	P_Misc.rFT0302_Weight [g]	P_Misc.rFT0501 [ml/min]	P_Misc.rFT0501_Weight [g]	P_Misc.bPV0401 [1=open]	P_Misc.rPHT0301 [-]	P_Misc.rPHT0501 [-]	P_Misc.rConT0302 [muS/cm]	P_Misc.iSystemState [-]
18-11-2021 10:10:31	0.00000	601.52	8.18	607.01	18.31	0.000	0.000	0.000	0.00	0.000	59.18	21.34	4.728	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:32	0.00000	601.73	8.18	606.40	18.19	0.000	0.000	0.000	0.00	0.000	58.99	21.34	4.719	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:33	0.00000	601.34	8.18	605.79	18.19	0.000	0.000	0.000	0.00	0.000	59.11	21.33	4.724	22.72	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:34	0.00000	601.52	8.18	607.01	18.19	0.000	0.000	0.000	0.00	0.000	58.96	21.33	4.725	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:35	0.00000	601.61	8.18	605.18	18.19	0.000	0.000	0.000	0.00	0.000	59.05	21.34	4.725	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:36	0.00000	601.46	8.18	605.79	18.31	0.000	0.000	0.000	0.00	0.000	59.05	21.33	4.722	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:37	0.00000	601.46	8.18	606.10	18.19	0.000	0.000	0.000	0.00	0.000	58.96	21.34	4.748	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:38	0.00000	601.67	8.18	607.01	17.94	0.000	0.000	0.000	0.00	0.000	58.96	21.34	4.712	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:39	0.00000	601.55	8.18	603.96	18.31	0.000	0.000	0.000	0.00	0.000	59.18	21.33	4.716	22.72	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:40	0.00000	601.64	8.18	605.79	18.19	0.000	0.000	0.000	0.00	0.000	59.21	21.33	4.719	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:41	0.00000	601.67	8.18	606.40	18.56	0.000	0.000	0.000	0.00	0.000	59.18	21.34	4.723	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:42	0.00000	601.34	8.18	607.01	18.19	0.000	0.000	0.000	0.00	0.000	59.05	21.34	4.726	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:43	0.00000	601.61	8.18	605.18	18.31	0.000	0.000	0.000	0.00	0.000	59.08	21.33	4.727	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:44	0.00000	601.55	8.18	605.79	18.56	0.000	0.000	0.000	0.00	0.000	59.11	21.33	4.739	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:45	0.00000	601.46	8.18	605.18	18.31	0.000	0.000	0.000	0.00	0.000	58.90	21.34	4.752	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:46	0.00000	601.43	8.18	605.18	18.31	0.000	0.000	0.000	0.00	0.000	58.90	21.33	4.737	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:47	0.00000	601.61	8.18	607.32	18.56	0.000	0.000	0.000	0.00	0.000	58.87	21.34	4.706	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:48	0.00000	601.64	8.18	605.18	18.19	0.000	0.000	0.000	0.00	0.000	58.99	21.34	4.713	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:49	0.00000	601.43	8.18	607.32	18.31	0.000	0.000	0.000	0.00	0.000	58.78	21.34	4.720	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:50	0.00000	601.61	8.18	606.40	18.19	0.000	0.000	0.000	0.00	0.000	59.08	21.33	4.722	22.72	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:51	0.00000	601.55	8.18	606.40	18.31	0.000	0.000	0.000	0.00	0.000	59.08	21.33	4.725	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:52	0.00000	601.73	8.18	605.18	18.31	0.000	0.000	0.000	0.00	0.000	58.87	21.34	4.721	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:53	0.00000	601.73	8.18	607.32	18.56	0.000	0.000	0.000	0.00	0.000	58.99	21.34	4.747	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:54	0.00000	601.61	8.18	607.01	18.19	0.000	0.000	0.000	0.00	0.000	58.96	21.34	4.737	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:55	0.00000	601.61	8.18	606.10	18.31	0.000	0.000	0.000	0.00	0.000	58.96	21.34	4.717	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:56	0.00000	601.64	8.18	607.01	18.31	0.000	0.000	0.000	0.00	0.000	59.11	21.33	4.722	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:57	0.00000	601.61	8.18	607.01	18.19	0.000	0.000	0.000	0.00	0.000	59.08	21.34	4.723	22.72	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:58	0.00000	601.46	8.18	607.01	18.19	0.000	0.000	0.000	0.00	0.000	59.08	21.34	4.725	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:10:59	0.00000	601.52	8.18	606.40	18.31	0.000	0.000	0.000	0.00	0.000	58.99	21.34	4.727	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:11:00	0.00000	601.55	8.18	606.10	18.31	0.000	0.000	0.000	0.00	0.000	58.99	21.34	4.724	22.72	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:11:01	0.00000	601.55	8.18	605.79	18.19	0.000	0.000	0.000	0.00	0.000	58.90	21.34	4.745	22.72	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:11:02	0.00000	601.61	8.18	607.32	18.19	0.000	0.000	0.000	0.00	0.000	59.08	21.34	4.750	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:11:03	0.00000	601.61	8.18	606.40	18.31	0.000	0.000	0.000	0.00	0.000	58.99	21.34	4.727	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:11:04	0.00000	601.61	8.18	605.18	18.56	0.000	0.000	0.000	0.00	0.000	59.33	21.34	4.718	22.72	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:11:05	0.00000	601.55	8.18	605.18	18.31	0.000	0.000	0.000	0.00	0.000	58.99	21.33	4.722	22.72	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:11:06	0.00000	601.64	8.18	607.32	18.19	0.000	0.000	0.000	0.00	0.000	58.99	21.34	4.723	22.72	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:11:07	0.00000	601.73	8.18	607.32	18.31	0.000	0.000	0.000	0.00	0.000	58.84	21.33	4.725	22.72	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
18-11-2021 10:11:08	0.00000	601.73	8.18	607.01	18.31	0.000	0.000	0.000	0.00	0.000	59.18	21.33	4.739	22.73	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	18.29	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	0.000000	0.00	0.00	0.00	0.00	0
