//Comments
											
//Filter test
//Comment
//Data
TimeStamp	P_Misc.rLT0101 [m]	P_Misc.rConT0201 [muS/cm]	P_Misc.rPHT0201 [-]	P_Misc.rConT0301 [muS/cm]	P_Misc.rFT0301 [ml/min]	P_Misc.rPT0301 [bar]	P_Misc.rPT0302 [bar]	P_Misc.rPT0401 [bar]	P_Misc.rFT0401 [ml/min]	P_Misc.rPT0501 [bar]	P_Misc.rConT0501 [muS/cm]	P_Misc.rTT0501 [C]	P_Misc.rPT0601 [bar]	P_Misc.rTT0601 [C]	P_Misc.bPV0201 [1=open]	P_Misc.bPV0301 [1=open]	P_Misc.bPV0302 [1=open]	P_Misc.bPV0303 [1=open]	P_Misc.bPV0501 [1=open]	P_Misc.rCV0301 [%]	P_Misc.rPMP0201 [ml/min]	P_Misc.rPMP0301 [ml/min]	P_Misc.rPMP0401 [%]	P_Misc.rPMP0501 [%]	P_Misc.rFT0301_Avg [ml/min]	P_Misc.rPT0301_Avg [bar]	P_Misc.rPT0302_Avg [bar]	P_Misc.rPT0401_Avg [bar]	P_Misc.rFT0401_Avg [ml/min]	P_Misc.rPT0501_Avg [bar]	P_Misc.rFT0302 [ml/min]	P_Misc.rFT0302_Weight [g]	P_Misc.rFT0501 [ml/min]	P_Misc.rFT0501_Weight [g]	P_Misc.bPV0401 [1=open]	P_Misc.rPHT0301 [-]	P_Misc.rPHT0501 [-]	P_Misc.rConT0302 [muS/cm]	P_Misc.iSystemState [-]
25-11-2021 10:25:30	0.00000	413.77	8.42	509.05	15.87	0.000	0.000	0.000	0.00	2.996	282.08	20.44	4.720	22.72	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.85	0.000	0.000	0.000	0.00	2.980	0.00	0.000000	0.00	200.500000	0.00	0.00	0.00	0.00	-1
25-11-2021 10:25:30	0.00000	413.71	8.42	510.57	15.63	0.000	0.000	0.000	0.00	2.951	282.27	20.44	4.718	22.73	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.85	0.000	0.000	0.000	0.00	2.980	0.00	0.000000	0.00	200.500000	0.00	0.00	0.00	0.00	-1
25-11-2021 10:25:31	0.00000	413.68	8.42	510.27	15.63	0.000	0.000	0.000	0.00	2.902	281.14	20.44	4.714	22.73	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.85	0.000	0.000	0.000	0.00	2.980	0.00	0.000000	0.00	200.500000	0.00	0.00	0.00	0.00	-1
25-11-2021 10:25:32	0.00000	413.86	8.42	510.27	15.87	0.000	0.000	0.000	0.00	2.944	281.01	20.45	4.714	22.73	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.85	0.000	0.000	0.000	0.00	2.981	0.00	0.000000	0.00	200.500000	0.00	0.00	0.00	0.00	-1
25-11-2021 10:25:33	0.00000	413.89	8.42	511.19	15.87	0.000	0.000	0.000	0.00	3.020	279.18	20.44	4.714	22.72	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.85	0.000	0.000	0.000	0.00	2.982	0.00	0.000000	0.00	200.500000	0.00	0.00	0.00	0.00	-1
25-11-2021 10:25:34	0.00000	413.65	8.42	509.96	15.63	0.000	0.000	0.000	0.00	3.055	279.58	20.45	4.717	22.73	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.85	0.000	0.000	0.000	0.00	2.982	0.00	0.000000	0.00	200.500000	0.00	0.00	0.00	0.00	-1
25-11-2021 10:25:35	0.00000	413.71	8.42	512.41	15.63	0.000	0.000	0.000	0.00	2.986	280.31	20.46	4.722	22.72	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.85	0.000	0.000	0.000	0.00	2.982	0.00	0.000000	0.00	200.500000	0.00	0.00	0.00	0.00	-1
25-11-2021 10:25:36	0.00000	413.56	8.42	510.27	15.99	0.000	0.000	0.000	0.00	2.903	279.58	20.45	4.722	22.73	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.85	0.000	0.000	0.000	0.00	2.982	0.00	0.000000	0.00	200.500000	0.00	0.00	0.00	0.00	-1
25-11-2021 10:25:37	0.00000	413.65	8.42	509.35	15.63	0.000	0.000	0.000	0.00	2.948	279.18	20.45	4.725	22.73	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.85	0.000	0.000	0.000	0.00	2.982	0.00	0.000000	0.00	200.500000	0.00	0.00	0.00	0.00	-1
25-11-2021 10:25:38	0.00000	413.89	8.42	509.35	15.99	0.000	0.000	0.000	0.00	3.032	278.30	20.46	4.759	22.73	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.85	0.000	0.000	0.000	0.00	2.983	0.00	0.000000	0.00	200.500000	0.00	0.00	0.00	0.00	-1
