//Comments
											
//Filter test
//Comment
//Data
TimeStamp	P_Misc.rLT0101 [m]	P_Misc.rConT0201 [muS/cm]	P_Misc.rPHT0201 [-]	P_Misc.rConT0301 [muS/cm]	P_Misc.rFT0301 [ml/min]	P_Misc.rPT0301 [bar]	P_Misc.rPT0302 [bar]	P_Misc.rPT0401 [bar]	P_Misc.rFT0401 [ml/min]	P_Misc.rPT0501 [bar]	P_Misc.rConT0501 [muS/cm]	P_Misc.rTT0501 [C]	P_Misc.rPT0601 [bar]	P_Misc.rTT0601 [C]	P_Misc.bPV0201 [1=open]	P_Misc.bPV0301 [1=open]	P_Misc.bPV0302 [1=open]	P_Misc.bPV0303 [1=open]	P_Misc.bPV0501 [1=open]	P_Misc.rCV0301 [%]	P_Misc.rPMP0201 [ml/min]	P_Misc.rPMP0301 [ml/min]	P_Misc.rPMP0401 [%]	P_Misc.rPMP0501 [%]	P_Misc.rFT0301_Avg [ml/min]	P_Misc.rPT0301_Avg [bar]	P_Misc.rPT0302_Avg [bar]	P_Misc.rPT0401_Avg [bar]	P_Misc.rFT0401_Avg [ml/min]	P_Misc.rPT0501_Avg [bar]	P_Misc.rFT0302 [ml/min]	P_Misc.rFT0302_Weight [g]	P_Misc.rFT0501 [ml/min]	P_Misc.rFT0501_Weight [g]	P_Misc.bPV0401 [1=open]	P_Misc.rPHT0301 [-]	P_Misc.rPHT0501 [-]	P_Misc.rConT0302 [muS/cm]	P_Misc.iSystemState [-]
23-11-2021 11:12:08	0.00000	475.57	8.24	2429.58	1225.14	0.000	0.000	0.000	0.00	0.000	502.79	19.46	4.736	22.68	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1223.49	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	253.199997	0.00	0.00	0.00	0.00	40
23-11-2021 11:12:09	0.00000	474.11	8.24	2427.44	1226.11	0.000	0.000	0.000	0.00	0.000	502.85	19.46	4.730	22.68	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1223.13	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	253.199997	0.00	0.00	0.00	0.00	40
23-11-2021 11:12:10	0.00000	473.80	8.24	2416.46	1229.04	0.000	0.000	0.000	0.00	0.000	502.85	19.46	4.727	22.67	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1222.76	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	253.199997	0.00	0.00	0.00	0.00	40
23-11-2021 11:12:11	0.00000	471.76	8.23	2411.27	1225.38	0.000	0.000	0.000	0.00	0.000	502.79	19.46	4.732	22.68	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1222.64	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	253.199997	0.00	0.00	0.00	0.00	40
23-11-2021 11:12:12	0.00000	471.63	8.22	2398.45	1221.11	0.000	0.000	0.000	0.00	0.000	502.85	19.46	4.735	22.67	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1222.68	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	253.199997	0.00	0.00	0.00	0.00	40
23-11-2021 11:12:13	0.00000	471.66	8.22	2395.09	1226.60	0.000	0.000	0.000	0.00	0.000	502.98	19.46	4.734	22.68	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1222.25	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	253.199997	0.00	0.00	0.00	0.00	40
23-11-2021 11:12:14	0.00000	471.63	8.21	2369.46	1233.44	0.000	0.000	0.000	0.00	0.000	502.85	19.46	4.737	22.68	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1222.15	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	253.199997	0.00	0.00	0.00	0.00	40
23-11-2021 11:12:15	0.00000	471.02	8.21	2363.66	1236.85	0.000	0.000	0.000	0.00	0.000	502.98	19.46	4.737	22.68	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1222.14	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	253.199997	0.00	0.00	0.00	0.00	40
23-11-2021 11:12:16	0.00000	470.17	8.20	2318.19	1235.27	0.000	0.000	0.000	0.00	0.000	502.79	19.47	4.751	22.68	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1222.40	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	253.199997	0.00	0.00	0.00	0.00	40
23-11-2021 11:12:17	0.00000	469.83	8.20	2291.33	1216.83	0.000	0.000	0.000	0.00	0.000	502.76	19.47	4.731	22.67	1	0	0	1	0	0.00	0.00	500.00	0.00	0.00	1222.39	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	0.00	253.199997	0.00	0.00	0.00	0.00	40
