//Comments
											
//Filter test
//Comment
//Data
TimeStamp	P_Misc.rLT0101 [m]	P_Misc.rConT0201 [muS/cm]	P_Misc.rPHT0201 [-]	P_Misc.rConT0301 [muS/cm]	P_Misc.rFT0301 [ml/min]	P_Misc.rPT0301 [bar]	P_Misc.rPT0302 [bar]	P_Misc.rPT0401 [bar]	P_Misc.rFT0401 [ml/min]	P_Misc.rPT0501 [bar]	P_Misc.rConT0501 [muS/cm]	P_Misc.rTT0501 [C]	P_Misc.rPT0601 [bar]	P_Misc.rTT0601 [C]	P_Misc.bPV0201 [1=open]	P_Misc.bPV0301 [1=open]	P_Misc.bPV0302 [1=open]	P_Misc.bPV0303 [1=open]	P_Misc.bPV0501 [1=open]	P_Misc.rCV0301 [%]	P_Misc.rPMP0201 [ml/min]	P_Misc.rPMP0301 [ml/min]	P_Misc.rPMP0401 [%]	P_Misc.rPMP0501 [%]	P_Misc.rFT0301_Avg [ml/min]	P_Misc.rPT0301_Avg [bar]	P_Misc.rPT0302_Avg [bar]	P_Misc.rPT0401_Avg [bar]	P_Misc.rFT0401_Avg [ml/min]	P_Misc.rPT0501_Avg [bar]	P_Misc.rFT0302 [ml/min]	P_Misc.rFT0302_Weight [g]	P_Misc.rFT0501 [ml/min]	P_Misc.rFT0501_Weight [g]	P_Misc.bPV0401 [1=open]	P_Misc.rPHT0301 [-]	P_Misc.rPHT0501 [-]	P_Misc.rConT0302 [muS/cm]	P_Misc.iSystemState [-]
29-11-2021 08:39:26	0.00000	440.78	8.47	465.41	17.58	0.000	0.000	0.000	0.00	0.000	999.33	20.81	4.718	22.59	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.93	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:27	0.00000	440.78	8.47	466.63	17.82	0.000	0.000	0.000	0.00	0.000	999.33	20.81	4.748	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.93	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:28	0.00000	440.75	8.47	467.24	17.82	0.000	0.000	0.000	0.00	0.000	999.45	20.80	4.728	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.93	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:29	0.00000	441.05	8.47	466.32	17.82	0.000	0.000	0.000	0.00	0.000	999.33	20.80	4.721	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.93	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:30	0.00000	440.84	8.47	466.63	17.94	0.000	0.000	0.000	0.00	0.000	999.54	20.81	4.714	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.93	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:31	0.00000	440.93	8.47	467.24	17.94	0.000	0.000	0.000	0.00	0.000	999.21	20.81	4.718	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.93	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:32	0.00000	440.72	8.47	466.32	17.94	0.000	0.000	0.000	0.00	0.000	999.42	20.81	4.725	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.93	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:33	0.00000	440.78	8.47	467.24	17.82	0.000	0.000	0.000	0.00	0.000	999.24	20.81	4.726	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.93	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:34	0.00000	440.96	8.47	465.71	17.94	0.000	0.000	0.000	0.00	0.000	999.36	20.81	4.723	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.92	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:35	0.00000	440.66	8.47	465.71	17.82	0.000	0.000	0.000	0.00	0.000	999.27	20.81	4.732	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.92	0.000	0.000	0.000	0.00	0.000	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:36	0.00000	440.66	8.47	467.24	17.82	0.000	0.000	0.000	0.00	0.011	999.45	20.80	4.737	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.92	0.000	0.000	0.000	0.00	0.001	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:37	0.00000	440.78	8.47	465.71	17.94	0.000	0.000	0.000	0.00	0.022	999.27	20.81	4.709	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.92	0.000	0.000	0.000	0.00	0.002	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:38	0.00000	440.75	8.47	468.15	0.00	0.000	0.000	0.000	0.00	0.028	999.42	20.81	4.724	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.56	0.000	0.000	0.000	0.00	0.005	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:39	0.00000	440.84	8.47	467.24	14.40	0.000	0.000	0.000	0.00	0.032	999.45	20.81	4.726	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.33	0.000	0.000	0.000	0.00	0.008	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:40	0.00000	440.87	8.48	465.41	15.87	0.000	0.000	0.000	0.00	0.038	999.45	20.81	4.728	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.25	0.000	0.000	0.000	0.00	0.012	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:41	0.00000	440.96	8.48	465.71	15.87	0.000	0.000	0.000	0.00	0.050	999.54	20.81	4.730	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.18	0.000	0.000	0.000	0.00	0.016	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:42	0.00000	440.84	8.48	466.63	15.87	0.000	0.000	0.000	0.00	0.062	999.15	20.80	4.730	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.11	0.000	0.000	0.000	0.00	0.022	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:43	0.00000	440.87	8.48	466.32	15.63	0.000	0.000	0.000	0.00	0.068	999.27	20.81	4.750	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.52	0.000	0.000	0.000	0.00	0.029	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:44	0.00000	440.66	8.48	466.32	15.87	0.000	0.000	0.000	0.00	0.070	999.45	20.81	4.755	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	17.01	0.000	0.000	0.000	0.00	0.035	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:45	0.00000	441.05	8.48	465.10	15.87	0.000	0.000	0.000	0.00	0.079	999.45	20.81	4.733	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	16.85	0.000	0.000	0.000	0.00	0.043	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:46	0.00000	440.87	8.48	466.63	0.00	0.000	0.000	0.000	0.00	0.092	999.27	20.81	4.718	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	16.37	0.000	0.000	0.000	0.00	0.051	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:47	0.00000	440.78	8.48	466.32	0.00	0.000	0.000	0.000	0.00	0.105	999.27	20.81	4.728	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.89	0.000	0.000	0.000	0.00	0.060	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:48	0.00000	440.63	8.48	464.49	15.63	0.000	0.000	0.000	0.00	0.112	999.51	20.81	4.726	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.75	0.000	0.000	0.000	0.00	0.068	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:49	0.00000	440.78	8.48	466.63	15.63	0.000	0.000	0.000	0.00	0.113	999.45	20.81	4.733	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.68	0.000	0.000	0.000	0.00	0.076	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:50	0.00000	440.99	8.48	465.10	15.87	0.000	0.000	0.000	0.00	0.122	999.21	20.81	4.733	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.61	0.000	0.000	0.000	0.00	0.084	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:51	0.00000	440.75	8.48	466.63	15.87	0.000	0.000	0.000	0.00	0.136	999.54	20.81	4.749	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.53	0.000	0.000	0.000	0.00	0.093	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:52	0.00000	440.96	8.48	468.15	15.87	0.000	0.000	0.000	0.00	0.149	999.51	20.81	4.749	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.48	0.000	0.000	0.000	0.00	0.102	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:53	0.00000	440.78	8.48	468.15	15.63	0.000	0.000	0.000	0.00	0.156	999.42	20.81	4.740	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.41	0.000	0.000	0.000	0.00	0.110	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:54	0.00000	440.93	8.48	465.10	15.87	0.000	0.000	0.000	0.00	0.157	999.21	20.81	4.724	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.34	0.000	0.000	0.000	0.00	0.119	0.00	0.000000	16.89	45.500000	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:55	0.00000	440.66	8.48	466.32	15.63	0.000	0.000	0.000	0.00	0.167	999.51	20.81	4.730	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.27	0.000	0.000	0.000	0.00	0.128	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:57	0.00000	441.08	8.48	465.41	15.99	0.000	0.000	0.000	0.00	0.202	999.24	20.81	4.736	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.09	0.000	0.000	0.000	0.00	0.150	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:58	0.00000	440.53	8.48	465.41	15.63	0.000	0.000	0.000	0.00	0.203	999.51	20.82	4.732	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	15.06	0.000	0.000	0.000	0.00	0.155	0.00	0.000000	16.89	45.299999	0.00	0.00	0.00	0.00	-1
29-11-2021 08:39:59	0.00000	440.75	8.48	464.49	15.87	0.000	0.000	0.000	0.00	0.205	999.11	20.81	4.729	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.99	0.000	0.000	0.000	0.00	0.164	0.00	0.000000	16.89	45.299999	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:00	0.00000	440.78	8.48	466.63	15.99	0.000	0.000	0.000	0.00	0.216	999.24	20.81	4.755	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.91	0.000	0.000	0.000	0.00	0.174	0.00	0.000000	16.89	45.500000	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:01	0.00000	440.87	8.48	467.24	15.63	0.000	0.000	0.000	0.00	0.232	999.36	20.81	4.744	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.84	0.000	0.000	0.000	0.00	0.183	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:02	0.00000	440.87	8.48	466.32	15.63	0.000	0.000	0.000	0.00	0.247	999.51	20.81	4.724	22.61	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.77	0.000	0.000	0.000	0.00	0.193	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:03	0.00000	440.75	8.48	467.24	15.63	0.000	0.000	0.000	0.00	0.254	999.27	20.81	4.726	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.70	0.000	0.000	0.000	0.00	0.203	0.00	0.000000	16.89	45.299999	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:04	0.00000	440.75	8.48	466.32	15.63	0.000	0.000	0.000	0.00	0.255	999.05	20.81	4.730	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.63	0.000	0.000	0.000	0.00	0.212	0.00	0.000000	16.89	45.299999	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:05	0.00000	440.78	8.48	466.63	15.87	0.000	0.000	0.000	0.00	0.267	999.42	20.81	4.733	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.56	0.000	0.000	0.000	0.00	0.222	0.00	0.000000	16.89	45.400002	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:06	0.00000	440.84	8.48	467.24	15.87	0.000	0.000	0.000	0.00	0.286	999.33	20.81	4.733	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.49	0.000	0.000	0.000	0.00	0.233	0.00	0.000000	16.89	45.299999	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:07	0.00000	440.72	8.48	465.71	15.87	0.000	0.000	0.000	0.00	0.302	999.36	20.81	4.744	22.59	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.42	0.000	0.000	0.000	0.00	0.243	0.00	0.000000	16.89	45.299999	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:08	0.00000	440.72	8.48	466.63	15.99	0.000	0.000	0.000	0.00	0.308	999.33	20.81	4.764	22.59	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.71	0.000	0.000	0.000	0.00	0.254	0.00	0.000000	16.89	45.299999	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:09	0.00000	440.66	8.48	465.71	15.63	0.000	0.000	0.000	0.00	0.309	999.36	20.82	4.749	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.88	0.000	0.000	0.000	0.00	0.264	0.00	0.000000	16.89	45.299999	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:10	0.00000	440.87	8.49	465.71	15.99	0.000	0.000	0.000	0.00	0.322	999.33	20.81	4.725	22.60	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.88	0.000	0.000	0.000	0.00	0.275	0.00	0.000000	16.89	45.299999	0.00	0.00	0.00	0.00	-1
29-11-2021 08:40:11	0.00000	440.72	8.48	467.24	15.87	0.000	0.000	0.000	0.00	0.342	999.33	20.81	4.718	22.59	0	1	0	0	0	0.00	0.00	0.00	0.00	17.00	14.88	0.000	0.000	0.000	0.00	0.285	0.00	0.000000	16.89	45.299999	0.00	0.00	0.00	0.00	-1
