//Comments
											
//Filter test
//Comment
//Data
TimeStamp	P_Misc.rLT0101 [m]	P_Misc.rConT0201 [muS/cm]	P_Misc.rPHT0201 [-]	P_Misc.rConT0301 [muS/cm]	P_Misc.rFT0301 [ml/min]	P_Misc.rPT0301 [bar]	P_Misc.rPT0302 [bar]	P_Misc.rPT0401 [bar]	P_Misc.rFT0401 [ml/min]	P_Misc.rPT0501 [bar]	P_Misc.rConT0501 [muS/cm]	P_Misc.rTT0501 [C]	P_Misc.rPT0601 [bar]	P_Misc.rTT0601 [C]	P_Misc.bPV0201 [1=open]	P_Misc.bPV0301 [1=open]	P_Misc.bPV0302 [1=open]	P_Misc.bPV0303 [1=open]	P_Misc.bPV0501 [1=open]	P_Misc.rCV0301 [%]	P_Misc.rPMP0201 [ml/min]	P_Misc.rPMP0301 [ml/min]	P_Misc.rPMP0401 [%]	P_Misc.rPMP0501 [%]	P_Misc.rFT0301_Avg [ml/min]	P_Misc.rPT0301_Avg [bar]	P_Misc.rPT0302_Avg [bar]	P_Misc.rPT0401_Avg [bar]	P_Misc.rFT0401_Avg [ml/min]	P_Misc.rPT0501_Avg [bar]	P_Misc.rFT0302 [ml/min]	P_Misc.rFT0302_Weight [g]	P_Misc.rFT0501 [ml/min]	P_Misc.rFT0501_Weight [g]	P_Misc.bPV0401 [1=open]	P_Misc.rPHT0301 [-]	P_Misc.rPHT0501 [-]	P_Misc.rConT0302 [muS/cm]	P_Misc.iSystemState [-]
14-09-2021 09:06:13	0.00000	445.57	8.11	447.40	1220.25	0.000	0.000	0.000	0.00	0.240	13.21	23.26	4.808	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1223.21	0.000	0.000	0.000	0.00	0.243	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:14	0.00000	445.54	8.11	449.23	1225.87	0.000	0.000	0.000	0.00	0.240	13.25	23.26	4.801	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1223.18	0.000	0.000	0.000	0.00	0.242	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:15	0.00000	445.23	8.11	448.32	1217.20	0.000	0.000	0.000	0.00	0.240	13.34	23.26	4.801	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1223.21	0.000	0.000	0.000	0.00	0.242	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:16	0.00000	445.54	8.11	447.71	1198.77	0.000	0.000	0.000	0.00	0.240	13.25	23.26	4.804	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1222.59	0.000	0.000	0.000	0.00	0.241	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:17	0.00000	445.36	8.11	447.71	1194.25	0.000	0.000	0.000	0.00	0.239	13.25	23.26	4.805	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1221.90	0.000	0.000	0.000	0.00	0.241	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:18	0.00000	445.33	8.12	446.49	1208.53	0.000	0.000	0.000	0.00	0.238	13.12	23.26	4.807	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1221.39	0.000	0.000	0.000	0.00	0.240	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:19	0.00000	445.54	8.11	447.10	1221.84	0.000	0.000	0.000	0.00	0.237	13.37	23.27	4.825	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1221.30	0.000	0.000	0.000	0.00	0.240	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:20	0.00000	445.33	8.11	448.62	1223.06	0.000	0.000	0.000	0.00	0.237	13.34	23.26	4.830	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1221.62	0.000	0.000	0.000	0.00	0.240	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:21	0.00000	445.30	8.11	447.10	1225.14	0.000	0.000	0.000	0.00	0.237	13.34	23.27	4.792	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1221.64	0.000	0.000	0.000	0.00	0.239	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:22	0.00000	445.45	8.11	446.49	1229.29	0.000	0.000	0.000	0.00	0.237	13.31	23.27	4.799	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1221.72	0.000	0.000	0.000	0.00	0.239	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:23	0.00000	445.30	8.11	447.71	1230.63	0.000	0.000	0.000	0.00	0.236	14.04	23.26	4.803	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1222.03	0.000	0.000	0.000	0.00	0.238	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:24	0.00000	445.45	8.11	446.18	1223.06	0.000	0.000	0.000	0.00	0.236	13.15	23.26	4.806	24.43	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1222.08	0.000	0.000	0.000	0.00	0.238	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:25	0.00000	445.42	8.11	448.32	1231.73	0.000	0.000	0.000	0.00	0.235	13.15	23.27	4.807	24.41	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1221.96	0.000	0.000	0.000	0.00	0.237	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:26	0.00000	445.51	8.11	449.23	1230.26	0.000	0.000	0.000	0.00	0.234	13.43	23.27	4.807	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1222.11	0.000	0.000	0.000	0.00	0.237	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:27	0.00000	445.45	8.11	446.49	1231.60	0.000	0.000	0.000	0.00	0.234	13.61	23.27	4.807	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1222.55	0.000	0.000	0.000	0.00	0.236	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:28	0.00000	445.36	8.11	447.40	1230.51	0.000	0.000	0.000	0.00	0.233	13.55	23.27	4.808	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1222.89	0.000	0.000	0.000	0.00	0.236	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:29	0.00000	445.51	8.11	447.71	1221.84	0.000	0.000	0.000	0.00	0.233	13.55	23.26	4.824	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1222.89	0.000	0.000	0.000	0.00	0.235	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:30	0.00000	445.51	8.11	448.62	1226.23	0.000	0.000	0.000	0.00	0.233	13.43	23.26	4.813	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1223.09	0.000	0.000	0.000	0.00	0.235	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:31	0.00000	445.36	8.11	446.49	1227.70	0.000	0.000	0.000	0.00	0.232	13.37	23.26	4.801	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1223.33	0.000	0.000	0.000	0.00	0.234	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:32	0.00000	445.54	8.11	448.62	1230.26	0.000	0.000	0.000	0.00	0.232	13.67	23.27	4.805	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1223.52	0.000	0.000	0.000	0.00	0.234	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:33	0.00000	445.23	8.11	448.32	1228.06	0.000	0.000	0.000	0.00	0.231	13.43	23.27	4.804	24.43	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1223.75	0.000	0.000	0.000	0.00	0.233	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:34	0.00000	445.23	8.11	447.10	1230.51	0.000	0.000	0.000	0.00	0.230	13.34	23.27	4.809	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1223.88	0.000	0.000	0.000	0.00	0.233	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:35	0.00000	445.14	8.11	447.40	1231.73	0.000	0.000	0.000	0.00	0.230	13.52	23.26	4.815	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1223.87	0.000	0.000	0.000	0.00	0.232	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:36	0.00000	445.23	8.11	448.62	1225.87	0.000	0.000	0.000	0.00	0.230	13.52	23.27	4.822	24.42	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1223.52	0.000	0.000	0.000	0.00	0.232	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
14-09-2021 09:06:37	0.00000	445.42	8.11	447.71	1222.21	0.000	0.000	0.000	0.00	0.230	13.46	23.27	4.804	24.41	1	0	0	1	0	0.00	0.00	400.00	0.00	0.00	1223.53	0.000	0.000	0.000	0.00	0.231	0.00	147.699997	0.00	0.000000	0.00	0.00	0.00	0.00	40
