ml;pH;sec;dpH/dml
0.000;2.045;2.095000;23.392686
0.024;2.055;4.562000;15.783439
0.048;2.058;7.034000;27.272949
0.072;2.077;10.265000;7.285322
0.096;2.064;12.736000;9.768177
0.120;2.069;15.966000;3.986244
0.144;2.067;18.437000;0.511101
0.168;2.069;20.911000;9.256222
0.192;2.075;23.382000;14.483466
0.216;2.081;26.045000;16.484280
0.240;2.089;29.087000;11.219430
0.264;2.090;31.561000;4.059746
0.288;2.092;34.035000;4.281109
0.312;2.087;36.508000;2.881138
0.336;2.095;39.549000;9.175882
0.360;2.094;42.024000;5.952870
0.384;2.100;44.498000;9.566472
0.408;2.102;46.968000;11.378401
0.432;2.109;49.440000;14.151849
0.456;2.114;52.103000;2.199955
0.480;2.111;54.573000;5.833215
0.504;2.119;57.615000;20.948291
0.528;2.128;60.465000;6.398160
0.552;2.124;62.935000;1.340144
0.576;2.129;65.595000;7.087035
0.600;2.130;68.255000;16.128731
0.624;2.143;70.916000;20.614110
0.648;2.147;73.767000;5.351173
0.672;2.138;76.239000;11.552756
0.696;2.137;81.754000;10.091248
0.720;2.147;84.986000;23.720030
0.744;2.157;88.407000;15.111658
0.768;2.159;90.878000;1.461509
0.792;2.156;93.349000;4.586231
0.816;2.163;96.201000;11.900612
0.840;2.166;98.677000;16.668037
0.864;2.177;101.907000;6.281923
0.888;2.161;104.378000;6.146029
0.912;2.172;106.849000;13.579211
0.936;2.172;109.320000;2.647809
0.960;2.174;111.792000;10.443377
0.984;2.180;114.643000;19.044911
1.008;2.190;117.116000;15.735577
1.032;2.193;119.779000;5.058871
1.056;2.194;122.250000;1.635864
1.080;2.195;124.720000;19.882501
1.104;2.210;127.380000;14.665513
1.128;2.207;129.852000;4.941780
1.152;2.214;132.514000;0.730754
1.176;2.208;134.985000;2.940111
1.200;2.212;137.457000;10.857044
1.224;2.217;139.933000;26.402881
1.248;2.234;143.164000;22.437150
1.272;2.235;145.825000;6.529782
1.296;2.228;148.296000;3.411042
1.320;2.232;150.767000;13.189475
1.344;2.239;153.427000;9.387843
1.368;2.240;155.900000;20.890173
1.392;2.257;158.753000;12.253597
1.416;2.250;161.223000;0.281191
1.440;2.256;163.695000;14.706538
1.464;2.263;166.166000;14.519363
1.488;2.268;168.827000;13.138194
1.512;2.273;171.298000;19.293624
1.536;2.284;173.770000;20.609837
1.560;2.290;176.241000;4.372561
1.584;2.281;178.717000;3.782829
1.608;2.294;181.379000;28.995136
1.632;2.305;184.420000;25.080686
1.656;2.314;187.085000;14.454407
1.680;2.317;189.556000;2.434993
1.704;2.316;192.030000;14.565515
1.728;2.329;194.882000;14.245864
1.752;2.328;197.354000;8.729737
1.776;2.322;199.824000;5.186219
1.800;2.333;202.678000;31.380558
1.824;2.348;205.533000;26.171262
1.848;2.354;208.005000;8.193850
1.872;2.355;210.666000;4.617000
1.896;2.358;213.517000;12.007448
1.920;2.345;218.650000;14.186036
1.944;2.370;221.500000;23.871309
1.968;2.364;223.971000;7.464805
1.992;2.376;226.631000;8.481024
2.016;2.371;229.101000;12.207444
2.040;2.386;232.525000;36.644553
2.064;2.402;235.186000;12.608290
2.088;2.397;237.658000;4.463157
2.112;2.405;240.129000;18.726969
2.136;2.412;242.796000;16.020187
2.160;2.419;246.029000;3.737531
2.184;2.409;251.161000;9.704076
2.208;2.427;254.012000;33.565983
2.232;2.437;256.672000;12.815124
2.256;2.437;259.527000;10.456197
2.280;2.446;262.192000;6.352862
2.304;2.443;264.667000;12.133086
2.328;2.456;267.330000;11.221139
2.352;2.452;272.273000;22.402108
2.376;2.474;275.124000;44.050385
2.400;2.489;278.354000;1.852954
2.424;2.476;280.825000;12.376671
2.448;2.499;284.057000;25.378116
2.472;2.497;286.909000;8.620337
2.496;2.506;289.950000;19.282513
2.520;2.513;292.802000;4.446063
2.544;2.510;297.559000;14.009971
2.568;2.524;300.221000;34.056572
2.592;2.538;303.451000;47.198184
2.616;2.563;306.114000;24.071305
2.640;2.558;308.777000;0.803402
2.664;2.564;311.631000;9.625445
2.688;2.566;314.296000;10.752773
2.712;2.573;317.148000;23.291833
2.736;2.585;320.003000;18.326977
2.760;2.588;322.477000;37.881280
2.784;2.617;325.327000;52.457052
2.808;2.632;328.560000;2.723876
2.832;2.614;333.121000;24.946501
2.856;2.652;335.971000;46.976821
2.880;2.653;339.393000;29.945544
2.904;2.677;342.054000;14.871492
2.928;2.666;344.716000;2.370037
2.952;2.679;347.381000;24.193525
2.976;2.686;350.422000;46.327262
3.000;2.718;353.655000;14.184327
3.024;2.697;359.742000;8.874178
3.048;2.710;365.448000;32.524979
3.072;2.724;367.920000;56.799698
3.096;2.757;370.770000;61.817545
3.120;2.776;373.621000;6.679351
3.144;2.763;379.516000;22.010663
3.168;2.794;382.749000;87.575140
3.192;2.836;385.790000;61.052603
3.216;2.844;388.830000;17.504772
3.240;2.850;392.062000;13.007427
3.264;2.834;397.575000;32.770273
3.288;2.877;400.617000;43.300828
3.312;2.870;406.131000;44.130725
3.336;2.914;408.981000;40.905150
3.360;2.903;415.254000;61.768828
3.384;2.965;418.485000;53.839075
3.408;2.948;423.615000;4.660589
3.432;2.969;429.128000;53.255326
3.456;2.992;437.113000;79.123175
3.480;3.034;440.534000;55.509981
3.504;3.038;447.566000;47.255448
3.528;3.074;450.607000;66.521723
3.552;3.093;458.020000;63.100425
3.576;3.126;465.441000;78.571050
3.600;3.159;472.093000;75.719826
3.624;3.189;477.795000;85.796544
3.648;3.230;483.306000;98.003133
3.672;3.270;488.819000;88.446063
3.696;3.303;497.374000;117.607007
3.720;3.368;500.414000;112.880608
3.744;3.397;506.688000;96.859567
3.768;3.448;513.912000;138.688629
3.792;3.512;517.145000;300.487899
3.816;3.697;520.375000;171.531551
3.840;3.654;529.876000;161.339450
3.864;3.831;533.106000;184.513338
3.888;3.807;541.471000;234.123439
3.912;4.025;545.271000;244.478783
3.936;4.010;552.306000;174.801569
3.960;4.170;558.770000;291.711155
3.984;4.251;568.661000;279.413970
4.008;4.401;579.303000;352.338126
4.032;4.544;586.717000;314.111554
4.056;4.662;596.978000;268.185138
4.080;4.766;606.672000;232.473045
4.104;4.855;615.989000;219.981846
4.128;4.948;625.303000;208.394903
4.152;5.027;637.278000;177.168188
4.176;5.095;646.782000;156.047250
4.200;5.157;659.136000;167.058992
4.224;5.234;671.116000;383.261428
4.248;5.475;674.726000;115.679696
4.272;5.330;687.463000;104.495308
4.296;5.388;698.486000;115.460043
4.320;5.425;712.168000;101.104779
4.344;5.472;724.150000;108.567020
4.368;5.515;736.123000;93.871593
4.392;5.550;748.287000;80.534258
4.416;5.582;761.213000;99.480881
4.440;5.632;773.569000;95.803178
4.464;5.662;785.541000;72.919883
4.488;5.692;798.465000;69.860971
4.512;5.719;809.300000;77.318939
4.536;5.757;822.983000;79.953073
4.560;5.786;835.906000;84.099143
4.584;5.826;851.327000;79.141978
4.608;5.851;864.431000;57.636433
4.632;5.874;878.873000;64.947396
4.656;5.905;891.612000;74.274556
4.680;5.936;905.297000;1052.540965
4.704;6.778;909.099000;65.420890
4.728;5.990;924.507000;917.499269
4.752;6.017;939.318000;60.348344
4.776;6.040;953.953000;56.227915
4.800;6.064;966.498000;63.858529
4.824;6.093;980.756000;69.540465
4.848;6.121;993.872000;65.298671
4.872;6.147;1007.367000;62.455139
4.896;6.173;1021.625000;1585.893354
4.920;7.462;1026.376000;81.341079
4.944;6.241;1041.771000;1445.379975
4.968;6.264;1057.167000;50.493844
4.992;6.283;1070.658000;76.942023
5.016;6.327;1086.053000;81.780386
5.040;6.350;1101.448000;47.849453
5.064;6.367;1115.132000;63.114100
5.088;6.403;1130.529000;82.017988
5.112;6.435;1145.926000;83.600862
5.136;6.472;1161.327000;66.222583
5.160;6.490;1176.725000;62.387619
5.184;6.524;1192.117000;74.066868
5.208;6.551;1207.512000;90.816954
5.232;6.599;1222.911000;82.353024
5.256;6.620;1238.310000;81.526545
5.280;6.667;1253.705000;111.450722
5.304;6.712;1269.100000;115.433547
5.328;6.762;1284.497000;79.527441
5.352;6.778;1299.896000;1065.376601
5.376;7.646;1303.697000;154.083188
5.400;6.906;1319.091000;855.574034
5.424;6.936;1334.483000;1015.653681
5.448;7.748;1339.428000;147.864511
5.472;7.059;1354.844000;797.155566
5.496;7.087;1370.221000;191.585843
5.520;7.218;1385.614000;858.565426
5.544;7.799;1390.938000;259.813514
5.568;7.433;1406.334000;400.296124
5.592;7.467;1421.727000;245.879610
5.616;7.637;1437.126000;1017.580992
5.640;8.311;1441.116000;427.432324
5.664;7.991;1456.512000;102.229543
5.688;8.226;1465.444000;243.369404
5.712;8.193;1480.842000;121.106081
5.736;8.326;1493.577000;433.645018
5.760;8.553;1497.571000;267.154390
5.784;8.548;1501.943000;376.147898
5.808;8.865;1506.316000;433.903132
5.832;8.907;1510.498000;127.266640
5.856;8.759;1521.144000;41.198307
5.880;8.873;1528.559000;141.474043
5.904;8.876;1538.063000;207.889785
5.928;9.046;1541.674000;262.686105
5.952;9.094;1545.669000;155.493416
5.976;9.175;1549.851000;23.958487
6.000;9.114;1552.892000;90.082781
6.024;9.100;1561.639000;89.828086
6.048;9.188;1564.872000;74.748051
6.072;9.162;1573.804000;133.965649
6.096;9.300;1578.179000;173.727232
6.120;9.306;1581.794000;4.178547
6.144;9.303;1585.405000;31.861744
6.168;9.332;1589.018000;167.985469
6.192;9.442;1593.009000;67.685801
6.216;9.388;1596.241000;84.118800
6.240;9.373;1605.365000;2.382003
6.264;9.386;1611.452000;74.401049
6.288;9.434;1615.062000;118.528356
6.312;9.485;1619.244000;77.904397
6.336;9.499;1622.666000;53.969841
6.360;9.529;1626.846000;8.467349
6.384;9.506;1636.158000;25.206324
6.408;9.550;1639.769000;191.211492
6.432;9.664;1643.191000;27.216540
6.456;9.573;1651.935000;82.140208
6.480;9.596;1657.826000;58.621883
6.504;9.622;1662.197000;120.163366
6.528;9.696;1666.188000;88.922121
6.552;9.695;1669.992000;48.188763
6.576;9.736;1673.225000;7.906677
6.600;9.702;1679.877000;3.504202
6.624;9.739;1683.869000;71.778026
6.648;9.761;1687.102000;35.277060
6.672;9.768;1690.714000;32.444639
6.696;9.788;1693.946000;41.229930
6.720;9.802;1696.986000;44.670031
6.744;9.825;1700.597000;28.795140
6.768;9.826;1703.069000;64.686717
6.792;9.879;1707.059000;47.318695
6.816;9.865;1710.103000;37.897519
6.840;9.910;1713.334000;103.480799
6.864;9.951;1716.754000;57.687714
6.888;9.958;1720.560000;34.993305
6.912;9.922;1728.546000;30.180582
6.936;9.983;1732.349000;83.932479
6.960;9.992;1736.341000;29.607090
6.984;10.008;1740.142000;2.581144
7.008;9.990;1748.885000;87.970859
7.032;10.081;1753.071000;96.005738
7.056;10.069;1755.731000;6.279359
7.080;10.086;1759.154000;66.341384
7.104;10.124;1762.576000;20.377363
7.128;10.103;1765.049000;3.346940
7.152;10.121;1768.280000;5.011009
7.176;10.107;1775.882000;50.376752
7.200;10.163;1779.114000;79.719745
7.224;10.173;1783.295000;6.477646
7.248;10.158;1791.277000;3.627277
7.272;10.176;1797.744000;108.955901
7.296;10.248;1801.165000;114.663478
7.320;10.271;1804.965000;29.245558
7.344;10.272;1808.196000;9.783562
7.368;10.279;1811.427000;70.460104
7.392;10.331;1814.467000;42.992287
7.416;10.315;1817.887000;19.219267
7.440;10.315;1821.307000;57.085163
7.464;10.362;1825.487000;64.297836
7.488;10.368;1828.722000;73.614741
7.512;10.423;1832.332000;41.497446
7.536;10.403;1836.133000;46.281964
7.560;10.385;1843.545000;76.366821
7.584;10.466;1847.157000;111.746443
7.608;10.477;1850.009000;17.630410
7.632;10.480;1853.431000;27.059278
7.656;10.500;1857.041000;9.518610
7.680;10.488;1859.702000;49.630614
7.704;10.541;1864.074000;76.054007
7.728;10.551;1867.875000;38.789809
7.752;10.573;1870.918000;11.127979
7.776;10.542;1877.766000;20.071386
7.800;10.590;1880.807000;103.511568
7.824;10.628;1884.237000;2.559777
7.848;10.592;1891.832000;11.858733
7.872;10.638;1894.875000;64.641419
7.896;10.646;1898.486000;43.338434
7.920;10.674;1901.910000;58.138987
7.944;10.694;1905.901000;33.924950
7.968;10.702;1909.705000;30.380578
7.992;10.719;1912.748000;21.147433
8.016;10.719;1915.980000;72.077165
8.040;10.779;1919.401000;91.699842
8.064;10.795;1922.633000;10.362182
8.088;10.787;1925.674000;17.097943
8.112;10.810;1929.285000;76.480494
8.136;10.851;1932.326000;32.174559
8.160;10.836;1935.556000;22.799536
8.184;10.832;1938.598000;6.877638
8.208;10.831;1944.299000;46.505036
8.232;10.870;1947.719000;101.515882
8.256;10.915;1950.951000;21.236320
8.280;10.888;1953.992000;6.563969
8.304;10.909;1957.417000;46.760586
8.328;10.927;1960.457000;25.357603
8.352;10.930;1963.498000;15.941556
8.376;10.940;1967.298000;35.965934
8.400;10.960;1970.718000;46.927250
8.424;10.979;1974.138000;26.833642
8.448;10.982;1977.752000;6.240044
8.472;10.984;1981.364000;9.056226
8.496;10.990;1984.786000;25.036242
8.520000;11.004807;1988.018000;
