ml;pH;sec;dpH/dml
0.000;2.162;2.094000;17.719297
0.024;2.170;4.560000;8.565638
0.048;2.169;7.032000;5.560571
0.072;2.165;9.505000;0.532468
0.096;2.169;11.978000;5.471683
0.120;2.169;14.450000;3.538390
0.144;2.166;16.921000;0.646995
0.168;2.170;19.392000;2.517897
0.192;2.168;21.863000;7.704971
0.216;2.176;24.338000;3.356342
0.240;2.171;26.810000;3.002503
0.264;2.174;29.280000;2.459779
0.288;2.173;31.750000;0.323925
0.312;2.174;34.223000;2.159785
0.336;2.175;36.697000;6.456279
0.360;2.179;39.170000;6.588755
0.384;2.180;41.640000;0.749557
0.408;2.179;44.111000;3.657191
0.432;2.183;46.583000;0.994852
0.456;2.180;49.054000;0.833316
0.480;2.182;51.525000;2.930710
0.504;2.182;53.995000;0.054700
0.528;2.182;56.465000;5.891333
0.552;2.187;58.937000;10.649356
0.576;2.191;61.409000;2.182862
0.600;2.189;63.881000;4.904174
0.624;2.195;66.351000;9.910909
0.648;2.197;68.821000;2.556358
0.672;2.193;72.244000;5.863128
0.696;2.192;76.049000;1.999959
0.720;2.195;79.471000;13.070674
0.744;2.203;81.944000;4.269144
0.768;2.198;84.416000;0.283755
0.792;2.203;86.887000;24.768727
0.816;2.219;89.359000;5.123827
0.840;2.207;91.831000;12.250178
0.864;2.209;94.302000;5.216133
0.888;2.211;96.772000;15.391994
0.912;2.222;99.628000;5.257158
0.936;2.216;102.098000;3.683686
0.960;2.225;104.759000;2.166623
0.984;2.218;108.372000;2.668322
1.008;2.222;110.843000;6.504141
1.032;2.223;113.316000;6.992165
1.056;2.228;115.788000;12.391201
1.080;2.233;118.451000;3.441810
1.104;2.231;120.922000;1.080320
1.128;2.234;123.394000;10.250219
1.152;2.240;126.055000;0.064101
1.176;2.234;129.668000;7.911805
1.200;2.246;132.710000;14.081765
1.224;2.246;135.180000;3.989662
1.248;2.249;137.843000;0.880324
1.272;2.247;140.314000;6.024664
1.296;2.244;144.685000;1.730734
1.320;2.245;149.058000;3.665737
1.344;2.247;151.529000;8.326326
1.368;2.252;154.001000;8.292139
1.392;2.254;156.472000;8.676746
1.416;2.259;159.132000;16.264626
1.440;2.268;162.363000;7.649417
1.464;2.266;164.835000;4.675118
1.488;2.264;167.308000;2.851224
1.512;2.268;169.781000;11.207464
1.536;2.273;172.252000;2.343542
1.560;2.270;174.722000;1.395698
1.584;2.272;177.192000;10.810891
1.608;2.279;179.662000;13.436479
1.632;2.283;182.325000;8.188722
1.656;2.286;184.796000;2.990537
1.680;2.281;187.266000;7.108402
1.704;2.291;189.927000;11.310026
1.728;2.290;192.401000;1.342708
1.752;2.293;194.873000;0.317942
1.776;2.290;197.344000;3.580269
1.800;2.296;199.815000;7.866507
1.824;2.296;203.809000;3.760607
1.848;2.299;206.279000;13.142467
1.872;2.307;208.940000;11.751043
1.896;2.308;211.412000;1.775178
1.920;2.306;214.833000;2.967461
1.944;2.306;217.303000;4.211880
1.968;2.309;219.776000;6.303290
1.992;2.311;222.247000;8.693840
2.016;2.317;224.721000;10.398079
2.040;2.320;227.193000;6.398160
2.064;2.322;229.667000;2.366618
2.088;2.322;232.138000;4.446918
2.112;2.325;234.608000;11.261309
2.136;2.331;237.081000;5.260577
2.160;2.330;239.552000;10.036548
2.184;2.339;242.022000;9.187847
2.208;2.337;244.492000;3.275147
2.232;2.342;246.963000;8.421196
2.256;2.344;249.436000;8.042571
2.280;2.349;251.909000;3.155491
2.304;2.347;254.379000;4.218718
2.328;2.352;256.850000;9.032295
2.352;2.355;260.464000;6.516961
2.376;2.358;262.935000;9.649376
2.400;2.363;265.406000;7.745996
2.424;2.364;267.877000;3.185405
2.448;2.365;271.107000;6.438330
2.472;2.369;275.478000;5.966545
2.496;2.370;277.948000;9.624590
2.520;2.377;280.418000;10.758755
2.544;2.379;282.889000;4.549480
2.568;2.381;285.359000;7.388738
2.592;2.385;288.969000;12.351031
2.616;2.391;291.444000;7.691296
2.640;2.392;293.915000;4.211880
2.664;2.395;296.385000;7.799841
2.688;2.398;298.855000;7.185324
